site_abrev,site,lat,long,elevation,ready_collect
BH,Ben Hur,37.40985,-119.96458,511.4294422,
CP2,Carsons Pass 2,38.66169,-120.13065,2244.132886,
KC2,Kings Canyon,36.82301,-118.83542,902,
LV3,Lassen,40.47929,-121.50282,2767,
SQ3,Seqouia,36.72109,-118.84933,2347,
TM2,Table Mountain 2,39.59255,-121.55072,379.1526973,june
WL2,Wright's Lake 2,38.8263,-120.25242,2020.115818,
YOSE1,Yosemite 1,37.66374,-119.62484,2140.505943,
