year,month,cwd,pck,ppt,str,tmx,tmn,pop,latitude,longitude,elevation,taxon_name
1899,8,135.3000031,0,21.09000015,67.05000305,21.51000023,9.289999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,12,15.96000004,109.75,354.6700134,149.5,8.569999695,-0.920000017,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,2,22.07999992,103.1500015,48.56999969,149.5,8.31000042,-2.8499999049999998,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,1,15.18999958,125.1699982,314.8299866,149.5,8.229999542,-1.639999986,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,7,120.8199997,0,0,45.95999908,26.32999992,8.859999657,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,6,73.12999725,0,27.549999239999998,95.08000183,22.98999977,8.789999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,3,21.92000008,364.9599915,597.5800171,149.5,6.900000095,-1.269999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,5,57.77000046,0,103.2799988,149.5,13.899999619999999,1.610000014,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,11,23.80999947,0,330.25,149.5,10.399999619999999,2.210000038,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,10,60.29999924,0,357.25,149.5,13.149999619999999,3.4400000570000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1899,9,89.68000031,0,2.569999933,47.52000046,24.54000092,7.650000095,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,4,48.81000137,0,164.3399963,149.5,11.02999973,0.170000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,8,136.3000031,0,0,38.75999832,22.87000084,8.680000305,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,12,17.31999969,0,166.1999969,149.5,10.36999989,-0.959999979,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,2,23.05999947,115.1699982,114.9300003,149.5,9.300000191,-1.450000048,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,1,16.36000061,125.6399994,217.3899994,149.5,10.13000011,-0.01,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,7,128.3099976,0,0.629999995,45.58000183,28.30999947,11.27000046,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,6,85.69000244,0,14.17000008,93.45999908,23.27000046,9.050000191,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,3,35.81999969,0,247.7799988,149.5,13.22000027,1.549999952,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,5,70.75,0,70.54000092,149.5,17.64999962,4.360000134,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,11,24.299999239999998,0,270.1000061,149.5,11.5,2.549999952,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,10,53.72999954,0,255.6100006,149.5,13.75,3.789999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1900,9,98.69999695,0,29.53000069,68.29000092,18.87000084,5.46999979,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,4,48.47000122,0,176.8899994,149.5,13.78999996,1.230000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,8,148,0,1.299999952,37.75999832,28.12999916,12.42000008,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,12,17.5,0,192.4700012,149.5,10.89000034,-0.649999976,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,2,19.47999954,401.4400024,437.2999878,149.5,7.420000076,-1.809999943,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,1,13.97999954,193.2799988,365.230011,149.5,7.409999847,-2.5599999429999998,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,7,162.8099976,0,0,43.86000061,28.22999954,11.13000011,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,6,85.79000092,0,0,59.29000092,23.63999939,7.139999866,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,3,34.63999939,253.1199951,97.59999847,149.5,11.75,0.730000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,5,70.58999634,0,37.50999832,127.0999985,18.07999992,3.7300000190000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,11,26.48999977,0,169.4199982,149.5,12.52000046,4.079999924,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,10,52.06000137,0,124.0899963,149.5,19.06999969,6.1300001140000004,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1901,9,102.5999985,0,116.0400009,149.5,21.20999908,6.6199998859999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
