year,month,str
1923,4,149.5
1923,8,53.25
1923,12,149.5
1923,2,149.5
1923,1,149.5
1923,7,46.18000031
1923,6,101.1399994
1923,3,149.5
1923,5,128.0599976
1923,11,149.5
1923,10,149.5
1923,9,138.5099945
1924,4,149.3200073
1924,8,30.81999969
1924,12,149.5
1924,2,149.5
1924,1,149.5
1924,7,37.81000137
1924,6,46.15999985
1924,3,149.5
1924,5,87.86000061
1924,11,149.5
1924,10,149.5
1924,9,31.04999924
1925,4,149.5
1925,8,62.97000122
1925,12,149.5
1925,2,149.5
1925,1,149.5
1925,7,45.93000031
1925,6,97.62000275
1925,3,149.5
1925,5,149.5
1925,11,149.5
1925,10,149.5
1925,9,77.34999847
1926,4,149.5
1926,8,39.81999969
1926,12,149.5
1926,2,149.5
1926,1,149.5
1926,7,44.75
1926,6,76.65000153
1926,3,149.5
1926,5,148.5800018
1926,11,149.5
1926,10,105.2300034
1926,9,36.63999939
1927,4,149.5
1927,8,39.20999908
1927,12,149.5
1927,2,149.5
1927,1,149.5
1927,7,46.15000153
1927,6,107.3799973
1927,3,149.5
1927,5,149.5
1927,11,149.5
1927,10,139.9299927
1927,9,44.13999939
1928,4,149.5
1928,8,31.63999939
1928,12,149.5
1928,2,149.5
1928,1,149.5
1928,7,38.99000168
1928,6,47.13000107
1928,3,149.5
1928,5,96.77999878
1928,11,149.5
1928,10,46.25999832
1928,9,33.40999985
1929,4,149.5
1929,8,45.79000092
1929,12,149.5
1929,2,149.5
1929,1,149.5
1929,7,72.01999664
1929,6,149.5
1929,3,149.5
1929,5,118.1699982
1929,11,42.45000076
1929,10,44.04000092
1929,9,40.61999893
1930,4,149.5
1930,8,43.08000183
1930,12,149.5
1930,2,149.5
1930,1,149.5
1930,7,44.84000015
1930,6,77.41000366
1930,3,149.5
1930,5,149
1930,11,149.5
1930,10,80.30999756
1930,9,76.51999664
1931,4,149.5
1931,8,38.99000168
1931,12,149.5
1931,2,149.5
1931,1,149.5
1931,7,46.33000183
1931,6,117.0599976
1931,3,149.5
1931,5,149.5
1931,11,149.5
1931,10,149.5
1931,9,57.04999924
1932,4,149.5
1932,8,38.11999893
1932,12,109.1600037
1932,2,149.5
1932,1,149.5
1932,7,45.22000122
1932,6,79.91999817
1932,3,149.5
1932,5,149.5
1932,11,80.76999664
1932,10,41.59000015
1932,9,33.79999924
1933,4,149.5
1933,8,37.65000153
1933,12,149.5
1933,2,149.5
1933,1,149.5
1933,7,45.02000046
1933,6,85.73000336
1933,3,149.5
1933,5,149.5
1933,11,149.5
1933,10,149.5
1933,9,44.72000122
1934,4,149.5
1934,8,42.65000153
1934,12,149.5
1934,2,149.5
1934,1,149.5
1934,7,46.09000015
1934,6,105.9899979
1934,3,149.5
1934,5,140.9900055
1934,11,149.5
1934,10,149.5
1934,9,92.54000092
1935,4,149.5
1935,8,37.72000122
1935,12,149.5
1935,2,149.5
1935,1,149.5
