year,month,tmn
1916,3,0.769999981
1916,5,3.599999905
1916,11,-1.070000052
1916,10,2.630000114
1916,9,8.729999542
1917,4,0.529999971
1917,8,12.67000008
1917,12,1.620000005
1917,2,-1.669999957
1917,1,-4.619999886
1917,7,14.05000019
1917,6,8.880000114
1917,3,-3.930000067
1917,5,2.869999886
1917,11,2.720000029
1917,10,8.359999657
1917,9,10.01000023
1918,4,0.519999981
1918,8,12.31999969
1918,12,-2.039999962
1918,2,-1.850000024
1918,1,-0.569999993
1918,7,11.17000008
1918,6,12.23999977
1918,3,-0.409999996
1918,5,2.49000001
1918,11,-0.850000024
1918,10,5.699999809
1918,9,8.899999619
1919,4,1.929999948
1919,8,11.72000027
1919,12,-2.130000114
1919,2,-2.549999952
1919,1,-1.470000029
1919,7,10.90999985
1919,6,7.099999905
1919,3,-1.899999976
1919,5,5.380000114
1919,11,0.029999999
1919,10,2.319999933
1919,9,6.96999979
1920,4,0.129999995
1920,8,13.80000019
1920,12,-2.319999933
1920,2,-1.580000043
1920,1,-0.230000004
1920,7,10.82999992
1920,6,7.179999828
1920,3,-2.809999943
1920,5,3.099999905
1920,11,-0.050000001
1920,10,1.570000052
1920,9,9.079999924
1921,4,-0.230000004
1921,8,9.159999847
1921,12,-0.74000001
1921,2,-1.730000019
1921,1,-2.700000048
1921,7,11.86999989
1921,6,8.369999886
1921,3,0.159999996
1921,5,2.890000105
1921,11,0.439999998
1921,10,5.119999886
1921,9,7.880000114
1922,4,-2.599999905
1922,8,8.449999809
1922,12,-1.529999971
1922,2,-4.510000229
1922,1,-5.949999809
1922,7,11.36999989
1922,6,8.300000191
1922,3,-4.460000038
1922,5,3.390000105
1922,11,-1.75999999
1922,10,3.029999971
1922,9,7.800000191
1923,4,-0.100000001
1923,8,9.010000229
1923,12,-3.099999905
1923,2,-3.279999971
1923,1,-3.75
1923,7,10.21000004
1923,6,4.889999866
1923,3,-1.519999981
1923,5,3.420000076
1923,11,2.160000086
1923,10,3.289999962
1923,9,8.119999886
1924,4,0.930000007
1924,8,7.489999771
1924,12,-3.769999981
1924,2,-0.029999999
1924,1,-4.800000191
1924,7,9.729999542
1924,6,5.869999886
1924,3,-2.779999971
1924,5,5.940000057
1924,11,-0.469999999
1924,10,1.970000029
1924,9,6.449999809
1925,4,0.699999988
1925,8,8.989999771
1925,12,-1.230000019
1925,2,-1.179999948
1925,1,-2.890000105
1925,7,11.17000008
1925,6,7.320000172
1925,3,-1.110000014
1925,5,4.429999828
1925,11,-0.159999996
1925,10,2.910000086
1925,9,5.130000114
1926,4,3.069999933
1926,8,7.889999866
1926,12,-3.50999999
1926,2,-2.329999924
1926,1,-4.300000191
1926,7,10.81000042
1926,6,8.640000343
1926,3,0.529999971
1926,5,3.390000105
1926,11,2.269999981
1926,10,3.599999905
1926,9,4.989999771
1927,4,-0.99000001
1927,8,7.949999809
1927,12,-3.230000019
1927,2,-1.590000033
1927,1,-2.589999914
1927,7,13.14000034
1927,6,7.510000229
1927,3,-1.590000033
1927,5,2.5
1927,11,1.75
1927,10,4.170000076
1927,9,5.449999809
1928,4,0
1928,8,12.02999973
1928,12,-4.710000038
1928,2,-2.700000048
1928,1,-3.00999999
1928,7,12.31999969
1928,6,6.409999847
1928,3,0.419999987
1928,5,6.110000134
1928,11,-0.230000004
1928,10,3.049999952
1928,9,7.309999943
1929,4,-2.299999952
1929,8,9.43999958
1929,12,0.109999999
1929,2,-5.980000019
1929,1,-4.510000229
1929,7,9.010000229
1929,6,5.869999886
1929,3,-2.710000038
1929,5,2.869999886
1929,11,0.879999995
1929,10,4.21999979
1929,9,5.340000153
1930,4,0.620000005
1930,8,10.07999992
1930,12,-4.46999979
1930,2,-1.879999995
1930,1,-5.320000172
1930,7,11.10999966
1930,6,10.09000015
1930,3,-1.470000029
1930,5,1.840000033
1930,11,-0.039999999
1930,10,5.179999828
1930,9,6.71999979
1931,4,1.720000029
1931,8,10.98999977
1931,12,-4.199999809
1931,2,-2.49000001
1931,1,-3.609999895
1931,7,15.14000034
1931,6,6.900000095
1931,3,-1.360000014
1931,5,6.559999943
1931,11,-0.769999981
1931,10,5.309999943
1931,9,5.360000134
1932,4,-0.910000026
1932,8,9.43999958
1932,12,-6.25
1932,2,-4.449999809
1932,1,-5.369999886
1932,7,9.43999958
1932,6,8.75
1932,3,-0.850000024
1932,5,3.640000105
1932,11,3.299999952
1932,10,4.269999981
1932,9,10.19999981
1933,4,-0.430000007
1933,8,10.68999958
1933,12,-1.929999948
1933,2,-5.929999828
1933,1,-4.75
1933,7,11.35999966
1933,6,6.849999905
1933,3,-1.690000057
1933,5,1.230000019
1933,11,2.099999905
1933,10,7.670000076
1933,9,5.550000191
1934,4,3.029999971
1934,8,14.01000023
1934,12,-1.029999971
1934,2,0.370000005
1934,1,-1.139999986
1934,7,12.98999977
1934,6,8.520000458
1934,3,2.630000114
1934,5,6.059999943
1934,11,1.100000024
1934,10,5.099999905
1934,9,9.630000114
1935,4,0.800000012
1935,8,14.39000034
1935,12,-2.559999943
1935,2,-1.340000033
1935,1,-2.720000029
1935,7,9.029999733
1935,6,7.78000021
1935,3,-4.690000057
1935,5,3.299999952
1935,11,-1.970000029
1935,10,3.069999933
1935,9,9.319999695
1936,4,1.289999962
1936,8,11.14999962
1936,12,-3.160000086
1936,2,-2.670000076
1936,1,-2.230000019
1936,7,12.02000046
1936,6,7.480000019
1936,3,-1.299999952
1936,5,4.920000076
1936,11,0.569999993
1936,10,4.409999847
1936,9,8.319999695
1937,4,-0.810000002
1937,8,8.800000191
1937,12,-0.839999974
1937,2,-3.75999999
1937,1,-9.829999924
1937,7,10.46000004
1937,6,7.789999962
1937,3,-1.779999971
1937,5,4.710000038
1937,11,0.970000029
1937,10,3.940000057
1937,9,8.579999924
1938,4,0.649999976
1938,8,12.69999981
1938,12,-0.660000026
1938,2,-2.039999962
1938,1,-1.679999948
1938,7,11.63000011
1938,6,8.770000458
1938,3,-2.220000029
1938,5,4.25
1938,11,-1.399999976
1938,10,4.449999809
1938,9,9.170000076
1939,4,2.789999962
1939,8,13.78999996
1939,12,0.680000007
1939,2,-5.46999979
1939,1,-2.25999999
1939,7,13.19999981
1939,6,6.71999979
1939,3,-0.730000019
1939,5,5.300000191
1939,11,1.370000005
1939,10,3.829999924
1939,9,9.359999657
1940,4,1.830000043
1940,8,11.57999992
1940,12,0.01
1940,2,-0.660000026
1940,1,-0.540000021
1940,7,11.03999996
1940,6,10.25
1940,3,0.469999999
