year,month,pck
1927,3,450.0599976
1927,5,0
1927,11,0
1927,10,0
1927,9,0
1928,4,0
1928,8,0
1928,12,86.80999756
1928,2,69.01000214
1928,1,75.18000031
1928,7,0
1928,6,0
1928,3,86.95999908
1928,5,0
1928,11,0
1928,10,0
1928,9,0
1929,4,43.31999969
1929,8,0
1929,12,75.41000366
1929,2,215.4799957
1929,1,132.6100006
1929,7,0
1929,6,0
1929,3,160.4700012
1929,5,0
1929,11,0
1929,10,0
1929,9,0
1930,4,0
1930,8,0
1930,12,0
1930,2,343.9500122
1930,1,340.6099854
1930,7,0
1930,6,0
1930,3,264.2200012
1930,5,0
1930,11,0
1930,10,0
1930,9,0
1931,4,0
1931,8,0
1931,12,407.1700134
1931,2,102.1200027
1931,1,91.22000122
1931,7,0
1931,6,0
1931,3,0
1931,5,0
1931,11,0
1931,10,0
1931,9,0
1932,4,406.4700012
1932,8,0
1932,12,105.8000031
1932,2,711.8900146
1932,1,617.7000122
1932,7,0
1932,6,0
1932,3,578.6199951
1932,5,0
1932,11,0
1932,10,0
1932,9,0
1933,4,109.9199982
1933,8,0
1933,12,107.3000031
1933,2,414.2399902
1933,1,380.9700012
1933,7,0
1933,6,0
1933,3,392.0700073
1933,5,0
1933,11,0
1933,10,0
1933,9,0
1934,4,0
1934,8,0
1934,12,0.689999998
1934,2,84.15000153
1934,1,85.01000214
1934,7,0
1934,6,0
1934,3,0
1934,5,0
1934,11,0
1934,10,0
1934,9,0
1935,4,59.5
1935,8,0
1935,12,0
1935,2,139.5200043
1935,1,154.6999969
1935,7,0
1935,6,0
1935,3,243.1699982
1935,5,0
1935,11,0
1935,10,0
1935,9,0
1936,4,144.3300018
1936,8,0
1936,12,59.31000137
1936,2,616.210022
1936,1,224.6100006
1936,7,0
1936,6,0
1936,3,475.230011
1936,5,0
1936,11,0
1936,10,0
1936,9,0
1937,4,419.5100098
1937,8,0
1937,12,56.47999954
1937,2,629.789978
1937,1,339.5299988
1937,7,0
1937,6,0
1937,3,634.7800293
1937,5,0
1937,11,0
1937,10,0
1937,9,0
1938,4,624.3300171
1938,8,0
1938,12,0
1938,2,602.6900024
1938,1,82.44000244
1938,7,0
1938,6,0
1938,3,887.1699829
1938,5,0
1938,11,0
1938,10,0
1938,9,0
1939,4,0
1939,8,0
1939,12,0
1939,2,149.2299957
1939,1,49.90999985
1939,7,0
1939,6,0
1939,3,70.73999786
1939,5,0
1939,11,0
1939,10,0
1939,9,0
1940,4,126.0100021
1940,8,0
1940,12,108.1800003
1940,2,509.1400146
1940,1,239.2799988
1940,7,0
1940,6,0
1940,3,446.3999939
1940,5,0
1940,11,0
1940,10,0
1940,9,0
1941,4,51.84000015
1941,8,0
1941,12,302.5499878
1941,2,377.1900024
1941,1,298.5599976
1941,7,0
1941,6,0
1941,3,251.6100006
1941,5,0
1941,11,0
1941,10,0
1941,9,0
1942,4,397.3599854
1942,8,0
1942,12,73.48999786
1942,2,702.710022
1942,1,466.6499939
1942,7,0
1942,6,0
1942,3,603.7199707
1942,5,0
1942,11,0
1942,10,0
1942,9,0
1943,4,0
1943,8,0
1943,12,0
1943,2,291.8599854
1943,1,312.2999878
1943,7,0
1943,6,0
1943,3,267.5799866
1943,5,0
1943,11,0
1943,10,0
1943,9,0
1944,4,0
1944,8,0
1944,12,43.95999908
1944,2,239.6600037
1944,1,84.33999634
1944,7,0
1944,6,0
1944,3,148.2700043
1944,5,0
1944,11,35.47999954
1944,10,0
1944,9,0
1945,4,0
1945,8,0
1945,12,307.5
1945,2,177.6300049
1945,1,16.37999916
1945,7,0
1945,6,0
1945,3,249.8800049
1945,5,0
1945,11,21.22999954
1945,10,0
1945,9,0
1946,4,11.75
1946,8,0
1946,12,0.540000021
1946,2,385.8099976
1946,1,320.1300049
1946,7,0
1946,6,0
1946,3,363.8800049
1946,5,0
1946,11,16.30999947
1946,10,0
1946,9,0
1947,4,0
1947,8,0
1947,12,0
1947,2,0
1947,1,7.400000095
1947,7,0
1947,6,0
1947,3,0
1947,5,0
1947,11,0
1947,10,0
1947,9,0
1948,4,163.4600067
1948,8,0
1948,12,218.9499969
1948,2,72.77999878
1948,1,5.96999979
1948,7,0
1948,6,0
1948,3,184.5399933
1948,5,0
1948,11,0
1948,10,0
1948,9,0
1949,4,236.7100067
1949,8,0
1949,12,25.53000069
1949,2,499.7999878
1949,1,319.2099915
1949,7,0
1949,6,0
1949,3,617.1900024
1949,5,0
1949,11,0
1949,10,0
1949,9,0
1950,4,326.9400024
1950,8,0
1950,12,9.619999886
1950,2,635.8900146
1950,1,602.289978
1950,7,0
1950,6,0
1950,3,652.25
1950,5,0
1950,11,0
1950,10,0
1950,9,0
1951,4,0
1951,8,0
1951,12,399.6199951
1951,2,340.8699951
1951,1,271.6000061
1951,7,0
1951,6,0
1951,3,283.9200134
1951,5,0
1951,11,0
1951,10,0
1951,9,0
1952,4,990.7700195
1952,8,0
1952,12,284.8200073
1952,2,1111.339966
1952,1,945.2999878
1952,7,0
1952,6,0
1952,3,1305.670044
1952,5,331.9200134
1952,11,0
1952,10,0
1952,9,0
1953,4,96.26999664
1953,8,0
1953,12,0
1953,2,336.2200012
1953,1,399.8800049
1953,7,0
1953,6,0
1953,3,319.8399963
1953,5,0
1953,11,0
1953,10,0
1953,9,0
1954,4,0
1954,8,0
1954,12,140.6799927
1954,2,159.0099945
1954,1,173.8200073
1954,7,0
1954,6,0
1954,3,236.8999939
1954,5,0
1954,11,0
1954,10,0
1954,9,0
1955,4,200.0599976
1955,8,0
1955,12,665.1400146
1955,2,366.6499939
1955,1,317.7900085
1955,7,0
1955,6,0
1955,3,283.5799866
1955,5,0
1955,11,0
1955,10,0
1955,9,0
1956,4,822.8699951
1956,8,0
1956,12,0
1956,2,1221.800049
1956,1,1057.150024
1956,7,0
1956,6,0
1956,3,1096.290039
1956,5,208.0500031
1956,11,0
1956,10,0
1956,9,0
1957,4,0
1957,8,0
1957,12,44.40000153
1957,2,263
1957,1,165.6900024
1957,7,0
1957,6,0
1957,3,245.0800018
1957,5,0
1957,11,0
1957,10,0
1957,9,0
1958,4,417.4299927
1958,8,0
1958,12,0
1958,2,338.9500122
1958,1,154.7700043
1958,7,0
1958,6,0
1958,3,609.5499878
1958,5,0
1958,11,0
1958,10,0
1958,9,0
1959,4,0
1959,8,0
1959,12,0
1959,2,321.5
1959,1,128.7100067
1959,7,0
1959,6,0
1959,3,154.0500031
1959,5,0
1959,11,0
1959,10,0
1959,9,0
1960,4,163.8500061
1960,8,0
1960,12,0
1960,2,528.8099976
1960,1,304.75
1960,7,0
1960,6,0
1960,3,447.6600037
1960,5,0
1960,11,0
1960,10,0
1960,9,0
1961,4,0
1961,8,0
1961,12,48.25999832
1961,2,8.829999924
1961,1,0
1961,7,0
1961,6,0
1961,3,32.88999939
1961,5,0
1961,11,0
1961,10,0
1961,9,0
1962,4,246.5099945
1962,8,0
1962,12,0
1962,2,503.6000061
1962,1,65.25
1962,7,0
1962,6,0
1962,3,599.9799805
1962,5,0
1962,11,0
1962,10,0
1962,9,0
1963,4,100.7099991
1963,8,0
1963,12,0
1963,2,0
1963,1,54.11000061
1963,7,0
1963,6,0
1963,3,41.97999954
1963,5,0
1963,11,4.119999886
1963,10,0
1963,9,0
1964,4,0
1964,8,0
1964,12,688.1900024
1964,2,120.5400009
1964,1,182.5099945
1964,7,0
1964,6,0
1964,3,99.69999695
1964,5,0
1964,11,83.88999939
1964,10,0
1964,9,0
1965,4,476.6900024
1965,8,0
1965,12,124.7699966
1965,2,811.0200195
1965,1,858.6300049
1965,7,0
1965,6,0
1965,3,707.0700073
1965,5,0
1965,11,0
1965,10,0
1965,9,0
1966,4,0
1966,8,0
1966,12,98.55999756
1966,2,310.2799988
1966,1,233.5
1966,7,0
1966,6,0
1966,3,206.7899933
1966,5,0
1966,11,0
1966,10,0
1966,9,0
1967,4,529
1967,8,0
1967,12,143.4499969
1967,2,245.8200073
1967,1,313.8500061
1967,7,0
1967,6,0
1967,3,336.1700134
1967,5,0
1967,11,0
1967,10,0
1967,9,0
1968,4,0
1968,8,0
1968,12,285.0799866
1968,2,289.3299866
1968,1,290.9100037
1968,7,0
1968,6,0
1968,3,190.8999939
1968,5,0
1968,11,0
1968,10,0
1968,9,0
1969,4,975.4400024
1969,8,0
1969,12,144.6499939
1969,2,1293.819946
1969,1,881.2800293
1969,7,0
1969,6,0
1969,3,1221.410034
1969,5,267.25
1969,11,0
1969,10,0
1969,9,0
1970,4,238.9299927
1970,8,0
1970,12,456.6499939
1970,2,548.8699951
1970,1,594.4799805
1970,7,0
1970,6,0
1970,3,443.4200134
1970,5,0
1970,11,0
1970,10,0
1970,9,0
1971,4,293.8299866
1971,8,0
1971,12,339.1499939
1971,2,489.3299866
1971,1,530.7800293
1971,7,0
1971,6,0
1971,3,524.7399902
1971,5,0
1971,11,0
1971,10,0
1971,9,0
1972,4,23.96999931
1972,8,0
1972,12,198.5099945
1972,2,446.6700134
1972,1,411.6499939
1972,7,0
1972,6,0
1972,3,253.9299927
1972,5,0
1972,11,12.69999981
1972,10,0
1972,9,0
1973,4,431.7799988
1973,8,0
1973,12,490.2900085
1973,2,709.6400146
1973,1,590.9500122
1973,7,0
1973,6,0
1973,3,741.8900146
1973,5,0
1973,11,354.4299927
1973,10,0
1973,9,0
1974,4,602.1199951
1974,8,0
1974,12,20.30999947
1974,2,747.710022
1974,1,701.5900269
1974,7,0
1974,6,0
1974,3,817.8400269
1974,5,0
1974,11,0
1974,10,0
1974,9,0
1975,4,435.480011
1975,8,0
1975,12,0
1975,2,311.2399902
1975,1,42.36000061
1975,7,0
1975,6,0
1975,3,479.9899902
1975,5,0
1975,11,0
1975,10,0
1975,9,0
1976,4,0
1976,8,0
1976,12,0
1976,2,14.01000023
1976,1,0
1976,7,0
1976,6,0
1976,3,0
1976,5,0
1976,11,0
1976,10,0
1976,9,0
1977,4,0
1977,8,0
1977,12,96.01000214
1977,2,0
1977,1,11.56000042
1977,7,0
1977,6,0
1977,3,0
1977,5,0
1977,11,0
1977,10,0
1977,9,0
1978,4,144.9400024
1978,8,0
1978,12,20.89999962
1978,2,433.75
1978,1,359.6199951
1978,7,0
1978,6,0
1978,3,288.980011
1978,5,0
1978,11,0
1978,10,0
1978,9,0
1979,4,130.3099976
1979,8,0
1979,12,13.82999992
1979,2,459.4400024
1979,1,242.2899933
1979,7,0
1979,6,0
1979,3,381.1400146
1979,5,0
1979,11,0
1979,10,0
1979,9,0
1980,4,2.380000114
1980,8,0
1980,12,0
1980,2,355.3099976
1980,1,254.3999939
1980,7,0
1980,6,0
1980,3,319.9100037
1980,5,0
1980,11,0
1980,10,0
1980,9,0
1981,4,0
1981,8,0
1981,12,124.1399994
1981,2,38.13999939
1981,1,54.25999832
1981,7,0
1981,6,0
1981,3,11.38000011
1981,5,0
1981,11,0
1981,10,0
1981,9,0
1982,4,495.7799988
1982,8,0
1982,12,241.5599976
1982,2,424.9299927
1982,1,356.9100037
1982,7,0
1982,6,0
1982,3,595.5200195
1982,5,0
1982,11,53.25999832
1982,10,0
1982,9,0
1983,4,755.9799805
1983,8,0
1983,12,538
1983,2,570.7600098
1983,1,347.6300049
1983,7,0
1983,6,0
1983,3,822.8800049
1983,5,148.0200043
1983,11,155.5899963
1983,10,0
1983,9,0
1984,4,142.7200012
1984,8,0
1984,12,144.3200073
1984,2,523.3800049
1984,1,484.1700134
1984,7,0
1984,6,0
1984,3,380.1400146
1984,5,0
1984,11,107.1800003
1984,10,0
1984,9,0
1985,4,0
1985,8,0
1985,12,80.77999878
1985,2,124.4400024
1985,1,114.9100037
1985,7,0
1985,6,0
1985,3,188.3600006
1985,5,0
1985,11,59.50999832
1985,10,0
1985,9,0
1986,4,0
1986,8,0
1986,12,0
1986,2,380.7399902
1986,1,62.22999954
1986,7,0
1986,6,0
1986,3,223.0399933
1986,5,0
1986,11,0
1986,10,0
1986,9,0
1987,4,0
1987,8,0
1987,12,356.6799927
1987,2,158.0500031
1987,1,106.0500031
1987,7,0
1987,6,0
1987,3,130.9900055
1987,5,0
1987,11,0
1987,10,0
1987,9,0
1988,4,0
1988,8,0
1988,12,96.61000061
1988,2,383.519989
1988,1,483.3900146
1988,7,0
1988,6,0
1988,3,207.9600067
1988,5,0
1988,11,28.94000053
1988,10,0
1988,9,0
1989,4,0
1989,8,0
1989,12,0
1989,2,228.9900055
1989,1,139.3300018
1989,7,0
1989,6,0
1989,3,308.0499878
1989,5,0
1989,11,0
1989,10,0
1989,9,0
1990,4,0
1990,8,0
1990,12,24.28000069
1990,2,215.4600067
1990,1,106.6699982
1990,7,0
1990,6,0
1990,3,81.25
1990,5,0
1990,11,0
1990,10,0
1990,9,0
1991,4,215.0599976
1991,8,0
1991,12,0
1991,2,0
1991,1,0
1991,7,0
1991,6,0
1991,3,457.519989
1991,5,0
1991,11,0
1991,10,0
1991,9,0
1992,4,0
1992,8,0
1992,12,310.8399963
1992,2,55.36000061
1992,1,0
1992,7,0
1992,6,0
1992,3,0
1992,5,0
1992,11,0
1992,10,0
1992,9,0
1993,4,597.4799805
1993,8,0
1993,12,81.58999634
1993,2,1000.76001
1993,1,758.210022
1993,7,0
1993,6,0
1993,3,863.2299805
1993,5,0
1993,11,0
1993,10,0
1993,9,0
1994,4,0
1994,8,0
1994,12,368.9700012
1994,2,232.9400024
1994,1,62.75
1994,7,0
1994,6,0
1994,3,44.61000061
1994,5,0
1994,11,199.8099976
1994,10,0
1994,9,0
1995,4,965.3200073
1995,8,0
1995,12,136.5399933
1995,2,839.2199707
1995,1,954.789978
1995,7,0
1995,6,0
1995,3,1149.109985
1995,5,433.0499878
1995,11,0
1995,10,0
1995,9,0
1996,4,5.579999924
1996,8,0
1996,12,405.2000122
1996,2,400.2200012
1996,1,305.1700134
1996,7,0
1996,6,0
1996,3,311.4200134
1996,5,0
1996,11,0
1996,10,0
1996,9,0
1997,4,249.0899963
1997,8,0
1997,12,27.29999924
1997,2,755.8800049
1997,1,808.5200195
1997,7,0
1997,6,0
1997,3,563.0300293
1997,5,0
1997,11,0
1997,10,0
1997,9,0
1998,4,716.3800049
1998,8,0
1998,12,112.25
1998,2,944.210022
1998,1,370.8900146
1998,7,0
1998,6,0
1998,3,883.9199829
