year,month,ppt
1917,5,44.25
1917,11,47.93999863
1917,10,0.029999999
1917,9,5.800000191
1918,4,86.18000031
1918,8,0
1918,12,76.79000092
1918,2,385.9299927
1918,1,57.06000137
1918,7,0.180000007
1918,6,3.269999981
1918,3,391.1499939
1918,5,15.68000031
1918,11,174.4199982
1918,10,81.25
1918,9,146.6399994
1919,4,49.52999878
1919,8,0
1919,12,245.7899933
1919,2,541.0599976
1919,1,127.0299988
1919,7,0.129999995
1919,6,0
1919,3,222.3999939
1919,5,13.31000042
1919,11,58.16999817
1919,10,44.54999924
1919,9,30.98999977
1920,4,257.75
1920,8,21.97999954
1920,12,388.1700134
1920,2,123.1999969
1920,1,46.86999893
1920,7,2.24000001
1920,6,34.63000107
1920,3,337.980011
1920,5,5.590000153
1920,11,462.2099915
1920,10,204.3399963
1920,9,21.40999985
1921,4,32.68000031
1921,8,0
1921,12,427.0100098
1921,2,137.8600006
1921,1,394.8500061
1921,7,0
1921,6,17.45999908
1921,3,210.25
1921,5,95.29000092
1921,11,80.29000092
1921,10,41.59999847
1921,9,4.78000021
1922,4,61.79000092
1922,8,0
1922,12,490.8200073
1922,2,581.3400269
1922,1,142.7599945
1922,7,2.519999981
1922,6,22.22999954
1922,3,318.3800049
1922,5,115.0999985
1922,11,218.8000031
1922,10,76.58000183
1922,9,0.050000001
1923,4,264.9899902
1923,8,7.070000172
1923,12,145.2400055
1923,2,92.56999969
1923,1,226.5599976
1923,7,0.910000026
1923,6,58.97000122
1923,3,26.96999931
1923,5,17.20999908
1923,11,35.16999817
1923,10,53.08000183
1923,9,88.27999878
1924,4,45.16999817
1924,8,0
1924,12,280.2999878
1924,2,156.5700073
1924,1,114.3399963
1924,7,0
1924,6,0
1924,3,139.2299957
1924,5,3.029999971
1924,11,118.3799973
1924,10,225.2799988
1924,9,5.550000191
1925,4,173.5800018
1925,8,17.04000092
1925,12,100.9899979
1925,2,489.1300049
1925,1,122.9000015
1925,7,2.279999971
1925,6,42.31000137
1925,3,143.8600006
1925,5,90.56999969
1925,11,140.5800018
1925,10,87.77999878
1925,9,34.06000137
1926,4,251.6499939
1926,8,2.109999895
1926,12,70.86000061
1926,2,373.8599854
1926,1,192.7400055
1926,7,0.209999993
1926,6,0.280000001
1926,3,16.68000031
1926,5,60.56000137
1926,11,513.3699951
1926,10,68.87999725
1926,9,1.929999948
1927,4,218.5700073
1927,8,0
1927,12,159.3099976
1927,2,574.4199829
1927,1,269.9299927
1927,7,0
1927,6,26.55999947
1927,3,170.0099945
1927,5,55.38999939
1927,11,304.980011
1927,10,95.79000092
1927,9,9.979999542
1928,4,134.6399994
1928,8,0
1928,12,175.5599976
1928,2,113.2399979
1928,1,119.1900024
1928,7,0.419999987
1928,6,8.739999771
1928,3,562.5100098
1928,5,11.18000031
1928,11,158.6499939
1928,10,16.73999977
1928,9,7.119999886
1929,4,152.7700043
1929,8,0
1929,12,524.1099854
1929,2,154.5299988
1929,1,98.79000092
1929,7,0
1929,6,134.1300049
1929,3,151.2299957
1929,5,6.309999943
1929,11,0
1929,10,6.769999981
1929,9,0
1930,4,130.9900055
1930,8,5.340000153
1930,12,27.09000015
1930,2,176.5
1930,1,285.1300049
1930,7,0
1930,6,0
1930,3,190.3099976
1930,5,64.66000366
1930,11,222.5200043
1930,10,11.14999962
1930,9,33.43999863
1931,4,59.5
1931,8,0
1931,12,464.9200134
1931,2,131.5099945
1931,1,218.5700073
1931,7,0
1931,6,59.15000153
1931,3,137.3399963
1931,5,71.72000122
1931,11,184.3699951
1931,10,154.9199982
1931,9,18.05999947
1932,4,171.2599945
1932,8,0
1932,12,141.7299957
1932,2,209.3699951
1932,1,252.6199951
1932,7,0
1932,6,26.5
1932,3,81.31999969
1932,5,133.2100067
1932,11,40.33000183
1932,10,11.10999966
1932,9,1.330000043
1933,4,52.86000061
1933,8,0
1933,12,329.5899963
1933,2,73.56999969
1933,1,332.6799927
1933,7,0
1933,6,4.599999905
1933,3,238.5200043
1933,5,171.1999969
1933,11,9.880000114
1933,10,171.2400055
1933,9,12.27000046
1934,4,42.33000183
1934,8,4.119999886
1934,12,153.25
1934,2,240.1999969
1934,1,127.9400024
1934,7,0
1934,6,59
1934,3,75.36000061
1934,5,54.43000031
1934,11,299.7900085
1934,10,78.68000031
1934,9,49.88999939
1935,4,379.1600037
1935,8,0.100000001
1935,12,133.9700012
1935,2,110.7300034
1935,1,305.7600098
1935,7,0.209999993
1935,6,0
1935,3,276.3900146
1935,5,29.09000015
1935,11,65.38999939
1935,10,102.1600037
1935,9,1.450000048
1936,4,134.8200073
1936,8,2.00999999
1936,12,194.0800018
1936,2,688.9099731
1936,1,538.9099731
1936,7,0.239999995
1936,6,92.41999817
1936,3,144.2899933
1936,5,45.18000031
1936,11,9.239999771
1936,10,13.57999992
1936,9,17.22999954
1937,4,133.5200043
1937,8,0
1937,12,381.1900024
1937,2,424.3900146
1937,1,286.0700073
1937,7,2.5
1937,6,57.09999847
1937,3,284.4700012
1937,5,19.26000023
1937,11,301.0400085
1937,10,81.87999725
1937,9,0
1938,4,122.2099991
1938,8,0
1938,12,85.87999725
1938,2,799.4699707
1938,1,186.9900055
1938,7,6.730000019
1938,6,13.07999992
1938,3,575.1799927
1938,5,41
1938,11,89.98000336
1938,10,116.1100006
1938,9,12.48999977
1939,4,11.89999962
1939,8,1.340000033
1939,12,103.3300018
1939,2,163.4600067
1939,1,186.7299957
1939,7,0
1939,6,3.700000048
1939,3,226.1199951
1939,5,119.4700012
1939,11,32.11999893
1939,10,113.2399979
1939,9,34.66999817
1940,4,80.26000214
1940,8,0
1940,12,503.1300049
1940,2,613.960022
1940,1,633.5800171
1940,7,0
1940,6,10.02000046
1940,3,440.1600037
1940,5,48.52000046
1940,11,179.7700043
1940,10,75.58000183
1940,9,31.37999916
1941,4,209.4900055
1941,8,1.940000057
1941,12,542.2199707
1941,2,361.5400085
1941,1,414.3399963
1941,7,7.659999847
1941,6,31.86000061
1941,3,172.9100037
1941,5,127.0800018
1941,11,158.5099945
1941,10,50.25999832
1941,9,10.02999973
1942,4,295.1600037
1942,8,0
1942,12,290.0700073
1942,2,364.4400024
1942,1,392.8599854
1942,7,0.01
1942,6,0.75
1942,3,92.25
1942,5,221.9100037
1942,11,403.0799866
1942,10,14.94999981
1942,9,2.829999924
1943,4,120.1900024
1943,8,0
1943,12,111.3099976
1943,2,136.3000031
1943,1,538.6099854
1943,7,0.910000026
1943,6,67.29000092
1943,3,365.730011
1943,5,27.54999924
1943,11,63
1943,10,67.12000275
1943,9,0
1944,4,131.6000061
