year,month,cwd
1917,2,19.87999916
1917,1,14.28999996
1917,7,146.6499939
1917,6,87.72000122
1917,3,30.48999977
1917,5,67.29000092
1917,11,31
1917,10,71.80000305
1917,9,108.8000031
1918,4,57.52999878
1918,8,147.1000061
1918,12,16.17000008
1918,2,20.20999908
1918,1,16.30999947
1918,7,169.6999969
1918,6,111.2600021
1918,3,23.43000031
1918,5,69.01999664
1918,11,24.46999931
1918,10,54.31000137
1918,9,106.9000015
1919,4,58.45000076
1919,8,147.6999969
1919,12,16.26000023
1919,2,18.21999931
1919,1,16.23999977
1919,7,143.7400055
1919,6,85.02999878
1919,3,27.70000076
1919,5,75.34999847
1919,11,25.65999985
1919,10,55.99000168
1919,9,104.6999969
1920,4,41.86000061
1920,8,150.5
1920,12,14.86999989
1920,2,23.29000092
1920,1,17.01000023
1920,7,167
1920,6,75.80000305
1920,3,24.20999908
1920,5,71.55999756
1920,11,22.5
1920,10,52.06000137
1920,9,89.40000153
1921,4,55.45000076
1921,8,142.1000061
1921,12,16.38999939
1921,2,23.13999939
1921,1,12.81999969
1921,7,126.3899994
1921,6,84.75
1921,3,34.25
1921,5,64.94999695
1921,11,27.10000038
1921,10,67.40000153
1921,9,106.4000015
1922,4,52.70000076
1922,8,139.3000031
1922,12,15.36999989
1922,2,17.62000084
1922,1,13.89999962
1922,7,113.2699966
1922,6,81.23000336
1922,3,20.96999931
1922,5,55.59999847
1922,11,24.02000046
1922,10,62.5
1922,9,109.8000031
1923,4,41.20999908
1923,8,140.8999939
1923,12,16.26000023
1923,2,22.84000015
1923,1,14.48999977
1923,7,116.3499985
1923,6,55.40999985
1923,3,34.25
1923,5,69.94000244
1923,11,26.81999969
1923,10,52.72000122
1923,9,103.5800018
1924,4,58.63000107
1924,8,139.6999969
1924,12,15.72999954
1924,2,24.95999908
1924,1,14.84000015
1924,7,167
1924,6,116.8399963
1924,3,31.32999992
1924,5,76.01000214
1924,11,24.81999969
1924,10,60.20000076
1924,9,106.4000015
1925,4,48.61999893
1925,8,139.6999969
1925,12,17.85000038
1925,2,20.20999908
1925,1,15.30000019
1925,7,121.3000031
1925,6,57.90999985
1925,3,33.97000122
1925,5,58.36999893
1925,11,24.38999939
1925,10,54.08000183
1925,9,78.51999664
1926,4,45.63000107
1926,8,140.6999969
1926,12,15.72999954
1926,2,20.86000061
1926,1,15.46000004
1926,7,144.9400024
1926,6,88.19000244
1926,3,36.66999817
1926,5,71.19000244
1926,11,25.12000084
1926,10,65.5
1926,9,102.1999969
1927,4,41.43999863
1927,8,138.8000031
1927,12,15.90999985
1927,2,19.14999962
1927,1,15.06999969
1927,7,116.9199982
1927,6,83.81999969
1927,3,32.29000092
1927,5,68.43000031
1927,11,24.17000008
1927,10,65.80000305
1927,9,100.9000015
1928,4,44.70000076
1928,8,147
1928,12,15.46000004
