year,month,cwd,pck,ppt,str,tmx,tmn,pop,latitude,longitude,elevation,taxon_name
1993,1,12.60999966,758.210022,555.5300293,149.5,5.159999847,-3.839999914,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,7,88.29000092,0,0,69.59999847,25.01000023,11.899999619999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,6,57.56999969,0,91.94000244,147.8099976,21.19000053,8.090000153,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,3,28.799999239999998,863.2299805,234.3699951,149.5,11.81999969,1.610000014,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,5,71.12999725,0,92.26999664,149.5,18.04000092,5.170000076,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,11,25.73999977,0,112.7300034,149.5,12.72999954,0.970000029,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,10,67.09999847,0,75.77999878,118.25,19.299999239999998,5.900000095,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1993,9,110.3000031,0,1.710000038,42.47000122,25.299999239999998,9.739999771,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,4,58.56999969,0,102.4400024,149.5,14.82999992,2.25999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,8,151.1000061,0,0,37.25999832,28.64999962,14.44999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,12,15.28999996,368.9700012,334.2999878,149.5,6.599999905,-1.50999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,2,21.25,232.9400024,286.4100037,149.5,6.1199998859999996,-2.779999971,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,1,16.23999977,62.75,91.5,149.5,9.56000042,-0.550000012,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,7,143.6199951,0,0,44.81999969,29.37000084,14.69999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,6,86.23999786,0,6.239999771,85.08000183,23.700000760000002,9.229999542,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,3,35.70999908,44.61000061,44.11000061,149.5,13.47000027,1.120000005,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,5,72,0,61.97000122,149.5,17.799999239999998,5.679999828,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,11,21.38999939,199.8099976,364.2799988,149.5,6.150000095,-2.329999924,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,10,60.34000015,0,27.14999962,86.98000336,17.81999969,4.809999943,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1994,9,110.6999969,0,27.32999992,64.58999634,25.02000046,10.47999954,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,4,41.52999878,965.3200073,276.4599915,149.5,11.59000015,0.5,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,8,148.8999939,0,0.01,41.24000168,27.47999954,13.75,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,12,17.77000046,136.5399933,434.6700134,149.5,7.900000095,0.050000001,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,2,26.38999939,839.2199707,66.02999878,149.5,13.98999977,2.819999933,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,1,13.44999981,954.789978,831.4099731,149.5,5.1199998859999996,-0.569999993,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,7,66.37000275,0,3.329999924,48.68000031,25.60000038,11.78999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,6,56.91999817,0,75.69000244,149.5,20.39999962,7.820000172,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,3,22.31999969,1149.109985,778.5200195,149.5,7.75,-1.120000005,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,5,46.34999847,433.0499878,177.0299988,149.5,14.78999996,4.059999943,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,11,32.09999847,0,32.68999863,64.83999634,15.82999992,4.070000172,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,10,69.09999847,0,0,32.15000153,21.56999969,6.230000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1995,9,112.5999985,0,0,35.61000061,25.43000031,11.97000027,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,4,44.27999878,5.579999924,210.8699951,149.5,14.43000031,2.0599999429999998,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,8,152.5,0,1.220000029,38.90000153,28.86000061,15.38000011,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,12,15.96000004,405.2000122,980.1799927,149.5,6.929999828,0.699999988,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,2,20.80999947,400.2200012,464.769989,149.5,8.619999886,0.810000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,1,14.21000004,305.1700134,457.5899963,149.5,7.989999771,-0.289999992,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,7,133.7899933,0,5.150000095,45.31000137,29.18000031,15.13000011,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,6,87.01000214,0,11.94999981,90.16000366,23.81999969,10.05000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,3,29.80999947,311.4200134,220.5899963,149.5,11.48999977,-0.180000007,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,5,48.75,0,284.519989,149.5,17.44000053,5.420000076,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,11,25.11000061,0,280.5400085,149.5,12.03999996,2.920000076,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1996,10,60.09000015,0,66.56999969,129.7700043,17.96999931,5.860000134,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
