year,month,tmx
1917,12,11.15999985
1917,2,8.329999924
1917,1,6.519999981
1917,7,29.51000023
1917,6,25.84000015
1917,3,8.720000267
1917,5,15.19999981
1917,11,14.40999985
1917,10,23.10000038
1917,9,23.57999992
1918,4,15.25
1918,8,27.45999908
1918,12,7.570000172
1918,2,8.199999809
1918,1,9.75
1918,7,27.93000031
1918,6,28.22999954
1918,3,9.979999542
1918,5,17.48999977
1918,11,11.61999989
1918,10,19.02000046
1918,9,22.95000076
1919,4,14.94999981
1919,8,28.57999992
1919,12,7.789999962
1919,2,4.429999828
1919,1,10.43999958
1919,7,29.57999992
1919,6,24.39999962
1919,3,9.239999771
1919,5,22.09000015
1919,11,12.85000038
1919,10,15.63000011
1919,9,22.85000038
1920,4,12.5
1920,8,28.77000046
1920,12,6.050000191
1920,2,10.10999966
1920,1,12.15999985
1920,7,26.47999954
1920,6,23.01000023
1920,3,9.029999733
1920,5,19.84000015
1920,11,9.170000076
1920,10,13.80000019
1920,9,22.20999908
1921,4,13.39000034
1921,8,26.76000023
1921,12,9.18999958
1921,2,9.890000343
1921,1,4.690000057
1921,7,28.72999954
1921,6,22.82999992
1921,3,11.52999973
1921,5,15.31999969
1921,11,14.27000046
1921,10,20.48999977
1921,9,23.44000053
1922,4,12.47000027
1922,8,25.29999924
1922,12,6.849999905
1922,2,4.849999905
1922,1,6.440000057
1922,7,28.98999977
1922,6,23.29999924
1922,3,7.659999847
1922,5,19.35000038
1922,11,10.56000042
1922,10,16.28000069
1922,9,26.84000015
1923,4,11.64999962
1923,8,25.93000031
1923,12,8.710000038
1923,2,10.52000046
1923,1,7.329999924
1923,7,26.65999985
1923,6,18.28000069
1923,3,13.25
1923,5,17.62000084
1923,11,14.85999966
1923,10,16.53000069
1923,9,23.39999962
1924,4,16.21999931
1924,8,26.59000015
1924,12,7.840000153
1924,2,12.93000031
1924,1,8.579999924
1924,7,27.53000069
1924,6,24.37000084
1924,3,9.069999695
1924,5,22.31999969
1924,11,12.02000046
1924,10,14.53999996
1924,9,24.90999985
1925,4,13.34000015
1925,8,25.04999924
1925,12,12.77000046
1925,2,8.960000038
1925,1,8.319999695
1925,7,27.61000061
1925,6,22.53000069
1925,3,12.27000046
1925,5,17.12999916
1925,11,10.61999989
1925,10,17.01000023
1925,9,18.77000046
1926,4,15.72999954
1926,8,26.95000076
1926,12,7.349999905
1926,2,9.590000153
1926,1,10.26000023
1926,7,28.36000061
1926,6,26.63999939
1926,3,15.86999989
1926,5,19.11000061
1926,11,13.06000042
1926,10,19.47999954
1926,9,22.45999908
1927,4,12.94999981
1927,8,25.43000031
1927,12,7.889999866
1927,2,6.139999866
1927,1,7.210000038
1927,7,27.79000092
1927,6,22.56999969
1927,3,9.609999657
1927,5,16.81999969
1927,11,11.89000034
1927,10,19.23999977
1927,9,20.84000015
1928,4,12.43999958
1928,8,27.69000053
1928,12,7.809999943
1928,2,10.10999966
1928,1,9.729999542
1928,7,27.78000069
1928,6,22.69000053
1928,3,10.71000004
1928,5,21.28000069
1928,11,11.39999962
1928,10,17.72999954
1928,9,24.61000061
1929,4,9.949999809
1929,8,28.10000038
1929,12,11.47999954
1929,2,7.619999886
1929,1,7.190000057
1929,7,26.80999947
1929,6,20.12999916
1929,3,10.81000042
1929,5,18.96999931
1929,11,18.21999931
1929,10,20.80999947
1929,9,23.20999908
1930,4,13.52999973
1930,8,25.70999908
1930,12,9.520000458
1930,2,10.97000027
1930,1,4.119999886
1930,7,27.23999977
1930,6,24.25
1930,3,11.96000004
1930,5,13.94999981
1930,11,13.35999966
1930,10,17.98999977
1930,9,19.31999969
1931,4,15.78999996
1931,8,28.5
1931,12,4.53000021
1931,2,9.220000267
1931,1,8.819999695
1931,7,30.15999985
1931,6,20.29000092
1931,3,12.28999996
1931,5,20.82999992
1931,11,9.210000038
1931,10,17.59000015
1931,9,21.44000053
1932,4,11.34000015
1932,8,26.36000061
1932,12,6.070000172
1932,2,8.220000267
1932,1,5.099999905
1932,7,25.60000038
1932,6,23.25
1932,3,12.15999985
1932,5,16.52000046
1932,11,16.13999939
1932,10,19.80999947
1932,9,27.46999931
1933,4,14.63000011
1933,8,29.36000061
1933,12,9.170000076
1933,2,6.820000172
1933,1,5.050000191
1933,7,30.29000092
1933,6,22.79000092
1933,3,10.14000034
1933,5,13.52999973
1933,11,16.78000069
1933,10,23.23999977
1933,9,23.52000046
1934,4,18.87000084
1934,8,29.11000061
1934,12,9.529999733
1934,2,10.15999985
1934,1,12.25
1934,7,27.80999947
1934,6,21.62999916
1934,3,17.71999931
1934,5,19.95999908
1934,11,12.02000046
1934,10,19.09000015
1934,9,25.56999969
1935,4,12.27000046
1935,8,28.60000038
1935,12,11.34000015
1935,2,9.430000305
1935,1,7.610000134
1935,7,26.05999947
1935,6,25.05999947
1935,3,8.180000305
1935,5,18.70000076
1935,11,12.05000019
1935,10,17.93000031
1935,9,26.75
1936,4,16.37999916
1936,8,28.64999962
1936,12,9.020000458
1936,2,7.320000172
1936,1,9.449999809
1936,7,28.38999939
1936,6,22.71999931
1936,3,14.80000019
1936,5,19.73999977
1936,11,17.63999939
1936,10,21.46999931
1936,9,25.36000061
1937,4,12.69999981
1937,8,28.54000092
1937,12,11.52999973
1937,2,6.820000172
1937,1,0.99000001
1937,7,29.02000046
1937,6,22.90999985
1937,3,9.949999809
1937,5,21.62000084
1937,11,12.28999996
1937,10,20.23999977
1937,9,25.88999939
1938,4,13.27000046
1938,8,27.64999962
1938,12,11.19999981
1938,2,6.079999924
1938,1,10.51000023
1938,7,27.95000076
1938,6,24.61000061
1938,3,6.860000134
1938,5,19.11000061
1938,11,11.97000027
1938,10,16.32999992
1938,9,25.21999931
1939,4,18.86000061
1939,8,29.21999931
1939,12,10.97000027
1939,2,6.650000095
1939,1,9.25
1939,7,28.40999985
1939,6,23.60000038
1939,3,11.73999977
1939,5,19.53000069
1939,11,16.54000092
1939,10,18.94000053
1939,9,24.04000092
1940,4,14.57999992
1940,8,29.10000038
1940,12,9.930000305
1940,2,7.429999828
1940,1,8.609999657
1940,7,26.77000046
1940,6,27.21999931
1940,3,12.5
1940,5,21.23999977
1940,11,11.47999954
1940,10,18.42000008
1940,9,21.37999916
1941,4,12.13000011
1941,8,25.02000046
1941,12,6.630000114
1941,2,9.010000229
1941,1,7.480000019
1941,7,27.95999908
1941,6,20.80999947
1941,3,12.81000042
1941,5,17.65999985
1941,11,13.81999969
1941,10,17.21999931
1941,9,22.11000061
1942,4,12.77999973
1942,8,27.96999931
1942,12,9.260000229
1942,2,6.150000095
1942,1,8.380000114
1942,7,28.40999985
1942,6,22.72999954
1942,3,11.14000034
1942,5,15.47999954
1942,11,12.61999989
1942,10,20.69000053
1942,9,24.65999985
1943,4,15.64000034
1943,8,26.20000076
1943,12,9.760000229
1943,2,11.25
1943,1,8.590000153
1943,7,28
1943,6,19.88999939
1943,3,10.96000004
1943,5,20.44000053
1943,11,14.97000027
1943,10,18.09000015
1943,9,28.17000008
1944,4,11.35999966
1944,8,27.79999924
1944,12,10.02000046
1944,2,7.079999924
1944,1,8.199999809
1944,7,26.53000069
1944,6,19.81999969
1944,3,11.84000015
1944,5,18.96999931
1944,11,8.659999847
1944,10,20.76000023
1944,9,26.67000008
1945,4,15.26000023
1945,8,27.63999939
1945,12,7.03000021
1945,2,8.829999924
1945,1,9.720000267
1945,7,29.59000015
1945,6,23.02000046
1945,3,7.760000229
1945,5,16.06999969
1945,11,9.010000229
1945,10,19.52000046
1945,9,26.37999916
1946,4,16.18000031
1946,8,28.32999992
1946,12,9.850000381
1946,2,7.340000153
1946,1,9.289999962
1946,7,27.20999908
1946,6,22.23999977
1946,3,10.09000015
1946,5,19.34000015
1946,11,9.75
1946,10,15.59000015
1946,9,24.54000092
1947,4,16.19000053
1947,8,25.65999985
1947,12,8.720000267
1947,2,11.5
1947,1,8.909999847
1947,7,25.97999954
1947,6,21.54999924
1947,3,12.35000038
1947,5,22.87999916
1947,11,10.27999973
1947,10,16.78000069
1947,9,27
1948,4,9.069999695
1948,8,25.96999931
1948,12,4.489999771
1948,2,6.46999979
1948,1,11.60000038
1948,7,26.63999939
1948,6,22.44000053
1948,3,7.369999886
1948,5,15.39000034
1948,11,12.48999977
1948,10,19.81999969
1948,9,24.51000023
1949,4,17.04000092
1949,8,25.62999916
1949,12,8.229999542
1949,2,5.119999886
1949,1,2.890000105
1949,7,27.96999931
1949,6,25.09000015
1949,3,7.059999943
1949,5,17.75
1949,11,17.63999939
1949,10,19.17000008
1949,9,25.48999977
1950,4,15.72999954
1950,8,28.87000084
1950,12,10.93999958
1950,2,10.19999981
1950,1,2.50999999
1950,7,29.32999992
1950,6,22.90999985
1950,3,9.270000458
1950,5,19.62999916
1950,11,13.63000011
1950,10,17.97999954
1950,9,23.34000015
1951,4,16.01000023
1951,8,27.51000023
1951,12,5.059999943
1951,2,7.309999943
1951,1,5.840000153
1951,7,28.53000069
1951,6,25.15999985
1951,3,10.71000004
1951,5,18.5
1951,11,10.77999973
1951,10,16.64999962
1951,9,27.04000092
1952,4,14.51000023
1952,8,27.69000053
1952,12,6.099999905
1952,2,7.150000095
1952,1,3
1952,7,28.90999985
1952,6,20.57999992
1952,3,6.25
1952,5,19.12000084
1952,11,11
1952,10,23.39999962
1952,9,25.28000069
1953,4,13.39000034
1953,8,25.43000031
1953,12,10.84000015
1953,2,10.85999966
1953,1,10
1953,7,29.20999908
1953,6,19.37000084
1953,3,10.56000042
1953,5,13.47000027
1953,11,11.77999973
1953,10,18.53000069
1953,9,27.10000038
1954,4,16.48999977
1954,8,25
1954,12,7.949999809
1954,2,13.69999981
1954,1,6.630000114
1954,7,28.36000061
1954,6,21.38999939
1954,3,8.520000458
1954,5,21.67000008
1954,11,14.10000038
1954,10,19.63999939
1954,9,23.90999985
1955,4,9.699999809
1955,8,29.45999908
1955,12,6.179999828
1955,2,7.78000021
1955,1,5.53000021
1955,7,25.59000015
1955,6,23.04000092
1955,3,10.71000004
1955,5,18.54999924
1955,11,10.92000008
1955,10,20.61000061
1955,9,25.15999985
1956,4,13.51000023
1956,8,26.07999992
1956,12,11.89999962
1956,2,5.860000134
1956,1,5.440000057
1956,7,27.82999992
1956,6,23.87999916
1956,3,11.78999996
1956,5,17.71999931
1956,11,16.12000084
1956,10,15.64999962
1956,9,24.80999947
1957,4,14.06000042
1957,8,26.20999908
1957,12,9.920000076
1957,2,8.739999771
1957,1,4.599999905
1957,7,27.23999977
1957,6,25.34000015
1957,3,9.510000229
1957,5,16.22999954
1957,11,11.05000019
1957,10,14.14999962
1957,9,24.69000053
1958,4,12.52000046
1958,8,29.28000069
1958,12,14.47999954
1958,2,7.900000095
1958,1,8.340000153
1958,7,27.19000053
1958,6,21.44000053
1958,3,5.989999771
1958,5,20.20999908
1958,11,14.07999992
1958,10,22.12999916
1958,9,25.59000015
1959,4,18.70999908
1959,8,27.68000031
1959,12,12.03999996
1959,2,6.449999809
1959,1,8.890000343
1959,7,30.36000061
1959,6,25.73999977
1959,3,13.59000015
1959,5,16.82999992
1959,11,17.68000031
1959,10,21.27000046
1959,9,22.31999969
1960,4,13.78999996
1960,8,28.12999916
1960,12,9.770000458
1960,2,7.550000191
1960,1,4.710000038
1960,7,29.82999992
1960,6,27.10000038
1960,3,11.71000004
1960,5,17.20000076
1960,11,9.319999695
1960,10,18.87999916
1960,9,26.92000008
1961,4,15.09000015
1961,8,27.52000046
1961,12,8.140000343
1961,2,9.470000267
1961,1,12.02999973
1961,7,29.54000092
1961,6,26.39999962
1961,3,8.390000343
1961,5,15.71000004
1961,11,11.28999996
1961,10,18.27000046
1961,9,23.22999954
1962,4,17.40999985
1962,8,26.70000076
1962,12,11.85000038
1962,2,5.570000172
1962,1,10.19999981
1962,7,27.67000008
1962,6,24.12000084
1962,3,7.340000153
1962,5,15.53999996
1962,11,12.63000011
1962,10,18.02000046
1962,9,25.68000031
1963,4,7.710000038
1963,8,26.19000053
1963,12,11.02000046
1963,2,12.34000015
1963,1,9.510000229
1963,7,25.42000008
1963,6,21.17000008
1963,3,8.510000229
1963,5,17.52000046
1963,11,9.949999809
1963,10,18.18000031
1963,9,24.48999977
1964,4,13.63000011
1964,8,27.62999916
1964,12,6.170000076
1964,2,11.28999996
