"","Run Index","Plate","Directory","SampleName","Plate Position","Rack #","Location","leaf_type","dried","3MSO_5.2","OH-Alkenyl_6","4MSO_7.1","Allyl_7.4","5MSO_10.2","Butenyl_12.1","Junk_13","3MT_13.6","MSOO_13.8","OH I3M_15.1","4MT _15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Junk_18.7","Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year"
"126",49,3,"050-P1-A7-103.D","NA","P1-A-07","D3",30,"induced",NA,NA,NA,16.51841,16.69987,NA,966.85864,NA,62.62608,NA,NA,NA,14.34345,10.0893,NA,33.98424,NA,36.38832,"LV1",14,"C",0.08,2593.416641,40.47471,-121.50486,2018
"127",51,3,"052-P1-C7-105.D","NA","P1-C-07","D3",31,"induced","y",24.9567,194.03171,25.32308,212.60703,NA,483.89395,NA,NA,NA,NA,8.508,14.44397,NA,NA,22.15023,NA,5.28713,"KC2",11,"C",0.27,948.1707317,36.82301,-118.83542,2017
"128",53,3,"054-P1-E7-107.D","NA","P1-E-07","D3",32,"induced",NA,NA,NA,51.37107,NA,NA,368.67648,NA,NA,NA,NA,NA,11.58544,38.80024,NA,25.62643,NA,32.32697,"CP2",13,"CW",0.3,2244.132886,38.66169,-120.13065,2020
"129",55,3,"056-P1-G7-109.D","NA","P1-G-07","D3",33,"induced",NA,66.856,134.40587,23.04888,304.01434,NA,524.24683,NA,54.22534,NA,NA,23.39249,9.42917,NA,NA,14.75478,NA,7.63928,"KC2",11,"CW",0.13,948.1707317,36.82301,-118.83542,2017
"130",57,3,"058-P1-A8-111.D","NA","P1-A-08","D3",34,"induced",NA,17.09461,NA,21.62481,63.3452,NA,204.5083,NA,16.63164,NA,NA,NA,25.90218,11.18628,NA,22.88002,NA,35.42923,"CALO",15,"C",0.17,1117.6,39.19494,-120.77055,2022
"131",59,3,"060-P1-C8-113.D","NA","P1-C-08","D3",35,"induced",NA,NA,197.08757,NA,17.34886,NA,638.68549,NA,NA,NA,NA,NA,10.71441,52.61631,NA,28.94375,NA,35.18685,"WL1",2,"C",0.19,1613.837245,38.78608,-120.2143,2020
"132",61,3,"062-P1-E8-115.D","NA","P1-E-08","D3",36,"induced",NA,NA,NA,71.87326,33.89256,NA,881.16498,NA,58.98361,NA,NA,NA,24.87029,14.7171,NA,22.42697,NA,34.53046,"LV2",8,"C",0.12,2500.457178,40.46563,-121.51487,2018
"133",63,3,"064-P1-G8-117.D","NA","P1-G-08","D3",37,"induced",NA,24.27959,NA,NA,522.35645,NA,132.97873,NA,34.1317,NA,10.07574,NA,26.90035,101.96323,NA,48.74755,NA,28.0017,"BH",5,"CW",0.17,511.4294422,37.40985,-119.96458,2018
"134",65,3,"066-P1-A9-119.D","NA","P1-A-09","D3",38,"induced",NA,NA,NA,NA,NA,NA,760.71338,NA,NA,NA,NA,NA,27.53815,NA,NA,29.69757,NA,28.38777,"MtSH",9,"CW",0.28,1282,38.66767778,-122.6272806,2022
"135",67,3,"068-P1-C9-121.D","NA","P1-C-09","D3",39,"induced",NA,100.03138,NA,NA,421.86566,NA,31.47626,NA,54.24597,NA,45.59708,NA,7.01771,153.93898,13.67264,27.16072,NA,5.72285,"SC",7,"CW",0.15,421.5178299,38.41167,-120.73583,2021
"136",69,3,"070-P1-E9-123.D","NA","P1-E-09","D3",40,"induced",NA,NA,NA,46.84695,NA,20.27149,295.78854,NA,NA,NA,NA,NA,21.12856,29.91165,NA,20.59672,NA,5.46657,"CP2",14,"C",0.38,2244.132886,38.66169,-120.13065,2020
"137",71,3,"072-P1-G9-125.D","NA","P1-G-09","D3",41,"induced",NA,NA,NA,87.2592,26.85467,NA,1864.04272,20.98427,109.86611,NA,145.29639,21.26746,50.88174,135.92429,95.86389,151.94122,NA,7.45049,"LV1",13,"CW",0.27,2593.416641,40.47471,-121.50486,2018
"138",73,3,"074-P1-A10-127.D","NA","P1-A-10","D3",42,"induced",NA,50.26302,NA,NA,440.00131,NA,NA,NA,18.83926,NA,NA,NA,15.08541,23.90671,NA,19.95772,NA,6.30765,"SC",20,"C",0.16,421.5178299,38.41167,-120.73583,2021
"139",75,3,"076-P1-C10-129.D","NA","P1-C-10","D3",43,"induced",NA,NA,NA,22.81797,15.76996,NA,224.77121,NA,10.44512,NA,NA,NA,17.92488,95.20817,NA,21.60954,NA,8.56166,"CALO",15,"CW",0.43,1117.6,39.19494,-120.77055,2022
"140",77,3,"078-P1-E10-131.D","NA","P1-E-10","D3",44,"induced",NA,NA,NA,NA,536.27502,NA,NA,NA,NA,NA,14.36691,NA,9.96828,112.18395,NA,21.18388,NA,5.08049,"SQ1",2,"CW",0.31,1921.036585,36.56435,-118.7764,2017
"141",79,3,"080-P1-G10-133.D","NA","P1-G-10","D3",45,"induced",NA,38.10444,NA,NA,176.50146,NA,145.46979,NA,15.0233,18.03984,NA,NA,NA,45.05825,NA,32.49084,NA,41.11108,"LC",10,"C",0.26,1362.3,39.31897,-120.65744,2022
"142",81,3,"082-P1-A11-135.D","NA","P1-A-11","D3",46,"induced",NA,34.61031,NA,79.32322,55.38614,NA,344.41403,NA,33.06126,NA,9.38288,20.58773,23.01731,697.00739,NA,83.72917,NA,6.06892,"CALO",4,"CW",0.46,1117.6,39.19494,-120.77055,2022
"143",83,3,"084-P1-C11-137.D","NA","P1-C-11","D3",47,"induced",NA,NA,NA,52.8986,NA,NA,743.21387,NA,NA,36.18993,20.80879,NA,42.32788,56.9788,NA,30.09777,NA,7.59196,NA,NA,NA,NA,NA,NA,NA,NA
"144",85,3,"086-P1-E11-139.D","NA","P1-E-11","D3",48,"induced",NA,21.55285,NA,15.52655,86.09489,NA,258.08923,NA,31.39343,NA,NA,NA,21.3649,47.32018,NA,31.16782,NA,33.21774,"CALO",3,"CW",0.22,1117.6,39.19494,-120.77055,2022
"145",87,3,"088-P1-G11-141.D","NA","P1-G-11","D4",1,"induced",NA,66.09306,NA,NA,793.48242,NA,40.10754,NA,42.50298,NA,NA,NA,11.92142,9.25007,NA,23.82084,NA,8.8498,"SC",19,"CW",0.07,421.5178299,38.41167,-120.73583,2021
"146",89,3,"090-P1-A12-143.D","NA","P1-A-12","D4",2,"induced",NA,122.89047,NA,NA,593.94885,NA,17.28439,NA,46.46416,NA,NA,NA,NA,NA,NA,19.41444,NA,41.67396,"IH",1,"CW",0.1,454.1298385,39.09332,-120.92114,2020
"147",91,3,"092-P1-C12-145.D","NA","P1-C-12","D4",3,"induced",NA,NA,164.66798,21.68218,NA,43.61164,391.90387,NA,NA,NA,NA,9.2727,42.12585,NA,15.70787,63.66779,NA,8.36614,"WL2",11,"CW",0.32,2020.115818,38.8263,-120.25242,2020
"148",93,3,"094-P1-E12-147.D","NA","P1-E-12","D4",4,"induced",NA,25.21057,NA,27.8444,39.09104,NA,130.90157,NA,11.66581,NA,NA,NA,17.46644,168.97736,NA,35.80042,NA,30.5197,"CALO",2,"CW",0.45,1117.6,39.19494,-120.77055,2022
"149",95,3,"096-P1-G12-149.D","NA","P1-G-12","D4",5,"induced",NA,42.23251,NA,97.35549,202.36172,NA,1115.31506,13.39762,25.8687,12.10653,33.43277,21.50473,12.49886,85.75535,NA,44.32329,NA,9.28654,"TM2",11,"C",0.28,379.1526973,39.59255,-121.55072,2020
"150",1,4,"002-P1-A1-120.D","NA","P1-A-01","D4",11,"induced",NA,NA,NA,23.92521,22.53256,NA,252.46712,NA,21.81034,NA,NA,45.06731,13.23376,NA,NA,29.36211,NA,9.71622,"TM2",3,"CW",0.14,379.1526973,39.59255,-121.55072,2020
"151",3,4,"004-P1-C1-122.D","NA","P1-C-01","D4",12,"induced",NA,17.23614,NA,NA,107.46447,NA,119.57926,NA,37.78591,NA,NA,NA,7.37303,12.6566,NA,9.43705,NA,9.7636,"CP2",11,"C",0.23,2244.132886,38.66169,-120.13065,2020
"152",5,4,"006-P1-E1-124.D","NA","P1-E-01","D4",13,"induced",NA,NA,NA,28.57827,15.48263,NA,981.41779,9.50987,NA,57.59153,NA,8.42368,30.31212,24.25251,NA,17.59289,NA,7.68715,"BH",7,"C",0.07,511.4294422,37.40985,-119.96458,2018
"153",7,4,"008-P1-G1-126.D","NA","P1-G-01","D4",14,"induced",NA,NA,NA,NA,637.69391,35.9874,30.37357,NA,NA,9.66639,NA,NA,10.9045,96.75838,NA,21.05511,NA,40.30977,"LC",10,"CW",0.33,1362.3,39.31897,-120.65744,2022
"154",9,4,"010-P1-A2-128.D","NA","P1-A-02","D4",15,"induced",NA,NA,NA,NA,12.26025,18.38055,592.94489,NA,NA,NA,NA,NA,16.06401,33.29599,NA,39.44908,NA,68.74369,"TM2",9,"C",0.17,379.1526973,39.59255,-121.55072,2020
"155",11,4,"012-P1-C2-130.D","NA","P1-C-02","D4",16,"induced",NA,NA,NA,36.48586,NA,NA,212.90941,NA,NA,NA,NA,NA,16.12886,450.77869,NA,49.77603,35.74632,15.42371,"CP2",14,"CW",0.24,2244.132886,38.66169,-120.13065,2020
"156",12,4,"013-P1-D2-131.D","NA","P1-D-02","D4",18,"induced",NA,NA,NA,44.49602,13.89088,NA,1082.75269,11.30369,NA,85.75382,NA,29.11982,25.72775,22.56154,NA,35.48731,NA,36.48065,"DPR",10,"CW",0.23,1018.591893,39.22846,-120.81518,2020
"157",15,4,"016-P1-G2-134.D","NA","P1-G-02","D4",20,"induced",NA,35.88238,NA,NA,259.59073,NA,274.08383,NA,33.00901,25.25982,NA,NA,10.82043,23.90289,27.58732,97.40516,NA,10.41095,"TFC",2,"CW",0.29,1085,39.42772,-120.93623,2021
"158",17,4,"018-P1-A3-136.D","NA","P1-A-03","D4",21,"induced",NA,NA,NA,NA,19.4637,NA,880.19733,NA,NA,NA,NA,NA,9.70947,31.84776,39.89124,42.34639,NA,47.94014,"LV2",9,"C",0.14,2500.457178,40.46563,-121.51487,2018
"159",19,4,"020-P1-C3-138.D","NA","P1-C-03","D4",22,"induced",NA,NA,NA,20.96597,NA,NA,666.88116,NA,NA,32.77559,NA,NA,24.19585,NA,NA,16.54038,NA,10.13019,"TM2",7,"C",0.24,379.1526973,39.59255,-121.55072,2020
"160",20,4,"021-P1-D3-139.D","NA","P1-D-03","D4",23,"induced",NA,28.54118,NA,NA,366.14075,NA,13.28656,NA,NA,95.37057,NA,NA,14.0241,9.77207,NA,42.63807,NA,85.21955,"TM2",11,"C",0.15,379.1526973,39.59255,-121.55072,2020
"161",21,4,"022-P1-E3-140.D","NA","P1-E-03","D4",24,"induced",NA,44.99855,NA,NA,253.67984,NA,41.04061,NA,NA,87.95624,NA,11.72419,8.11348,15.67885,16.52942,25.52154,NA,7.914,"YOSE8",1,"CW",0.09,2590.97836,37.81117,-119.48624,2020
"162",22,4,"023-P1-F3-141.D","NA","P1-F-03","D4",25,"induced",NA,NA,NA,13.17282,48.64711,48.01941,1810.14172,19.54569,NA,136.22035,NA,NA,15.65189,123.04906,18.00585,84.32391,NA,16.05604,NA,NA,NA,NA,NA,NA,NA,NA
"163",24,4,"025-P1-H3-143.D","NA","P1-H-03","D4",27,"induced",NA,142.31555,NA,51.6772,804.13525,NA,287.96729,NA,NA,143.28021,NA,69.24629,37.38031,416.81073,NA,108.22887,34.47942,16.60418,"LV2",9,"CW",0.11,2500.457178,40.46563,-121.51487,2018
"164",26,4,"027-P1-B4-145.D","NA","P1-B-04","D4",28,"induced",NA,NA,NA,NA,NA,32.06412,1103.8772,10.43533,NA,NA,NA,NA,26.23447,141.978,NA,64.4868,13.61101,26.77859,"IH",9,"CW",0.2,454.1298385,39.09332,-120.92114,2020
"165",28,4,"029-P1-D4-147.D","NA","P1-D-04","D4",29,"induced",NA,NA,NA,NA,15.99045,NA,834.44733,NA,NA,45.2158,NA,NA,27.29073,NA,18.84243,45.76891,NA,35.0733,"IH",1,"C",0.09,454.1298385,39.09332,-120.92114,2020
"166",29,4,"030-P1-E4-148.D","NA","P1-E-04","D4",30,"induced",NA,NA,NA,51.73941,17.52366,NA,258.49966,NA,NA,24.22189,NA,71.76653,30.55096,51.65844,NA,48.15413,NA,80.46079,"IH",10,"CW",0.17,454.1298385,39.09332,-120.92114,2020
"167",30,4,"031-P1-F4-149.D","NA","P1-F-04","D4",31,"induced",NA,NA,NA,44.27076,17.25258,NA,146.90495,NA,NA,34.13763,NA,62.79377,31.76365,NA,10.44703,70.39075,NA,29.74275,"WL2",1,"CW",0.13,2020.115818,38.8263,-120.25242,2020
"168",33,4,"034-P1-A5-152.D","NA","P1-A-05","D4",32,"induced",NA,NA,NA,32.72529,20.0274,NA,949.37311,NA,NA,61.84292,NA,NA,24.70724,25.19585,94.48354,84.19849,28.72757,21.44018,"RB",1,"C",0.17,787,40.01362,-121.18498,2010
"169",35,4,"036-P1-C5-154.D","NA","P1-C-05","D4",33,"induced",NA,NA,NA,NA,1204.8269,NA,25.2327,NA,NA,NA,NA,10.55875,12.39777,330.73792,NA,54.03927,NA,8.35714,"RB",12,"C",0.14,787,40.01362,-121.18498,2010
"170",37,4,"038-P1-E5-156.D","NA","P1-E-05","D4",34,"induced",NA,NA,NA,NA,659.14868,NA,86.48318,NA,16.49276,16.01743,NA,NA,16.19418,NA,10.02994,85.62591,NA,25.66798,"LC",1,"C",0.29,1362.3,39.31897,-120.65744,2022
"171",39,4,"040-P1-G5-158.D","NA","P1-G-05","D4",35,"induced",NA,197.85596,NA,NA,1577.27576,57.4822,30.70094,NA,8.01208,11.31947,NA,9.57843,25.50745,214.92563,51.10747,101.88332,29.91314,16.97767,"IH",10,"C",0.14,454.1298385,39.09332,-120.92114,2020
"172",41,4,"042-P1-A6-160.D","NA","P1-A-06","D4",36,"induced",NA,NA,NA,78.79494,NA,26.85981,1023.58588,NA,NA,71.50494,NA,35.35194,25.89827,40.50755,NA,47.8175,NA,73.94879,"WL3",1,"CW",0.32,2137.762877,38.83528,-120.23824,2020
"173",42,4,"043-P1-B6-161.D","NA","P1-B-06","D4",37,"induced",NA,NA,NA,74.28226,NA,NA,605.82324,NA,NA,62.08115,NA,26.57166,42.66348,NA,18.08109,51.86441,NA,10.93943,"CP2",11,"CW",0.68,2244.132886,38.66169,-120.13065,2020
"174",44,4,"045-P1-D6-163.D","NA","P1-D-06","D4",38,"induced",NA,NA,NA,NA,NA,NA,442.77219,NA,NA,NA,NA,10.25578,22.71957,11.8741,7.79533,51.43486,NA,49.16248,"TM2",4,"CW",0.34,379.1526973,39.59255,-121.55072,2020
"175",46,4,"047-P1-F6-165.D","NA","P1-F-06","D4",39,"induced",NA,NA,61.58524,NA,42.83333,NA,920.04736,8.49087,NA,NA,NA,NA,25.59414,25.52615,6.5338,42.57584,NA,10.3138,"SC",20,"CW",0.12,421.5178299,38.41167,-120.73583,2021
"176",48,4,"049-P1-H6-167.D","NA","P1-H-06","D4",40,"induced",NA,NA,NA,48.8013,31.55354,21.76881,1649.13538,21.67637,NA,89.9798,NA,NA,26.66435,130.8242,30.37891,96.11808,NA,13.75374,"CALO",17,"C",0.15,1117.6,39.19494,-120.77055,2022
"177",50,4,"051-P1-B7-169.D","NA","P1-B-07","D4",41,"induced",NA,NA,35.88474,24.40074,NA,15.23972,428.67313,NA,NA,NA,NA,NA,16.46754,25.31389,NA,26.84329,NA,41.59339,"CALO",17,"CW",0.16,1117.6,39.19494,-120.77055,2022
"178",52,4,"053-P1-D7-171.D","NA","P1-D-07","D4",42,"induced",NA,NA,89.30921,NA,501.53,14.01386,667.93585,NA,NA,15.0946,NA,NA,23.26021,74.27368,NA,37.3548,10.66143,13.52248,"SQ1",2,"C",0.16,1921.036585,36.56435,-118.7764,2017
"179",54,4,"055-P1-F7-173.D","NA","P1-F-07","D4",43,"induced",NA,NA,NA,30.20579,27.18941,NA,1531.9071,22.69885,NA,31.33564,NA,14.41383,16.79689,88.85563,26.43199,50.44066,NA,28.72253,"BH",5,"C",0.32,511.4294422,37.40985,-119.96458,2018
"180",56,4,"057-P1-H7-175.D","NA","P1-H-07","D4",44,"induced",NA,NA,NA,NA,58.73165,NA,280.0354,NA,13.85468,10.02432,NA,9.65252,17.99688,NA,NA,112.41267,NA,14.72027,"WL3",1,"C",0.16,2137.762877,38.83528,-120.23824,2020
"181",57,4,"058-P1-A8-176.D","NA","P1-A-08","D4",45,"induced",NA,NA,NA,30.31368,NA,13.4717,475.36383,NA,NA,NA,NA,NA,24.1123,307.43484,NA,49.99352,21.491,15.34224,"RB",12,"CW",0.1,787,40.01362,-121.18498,2010
"182",59,4,"060-P1-C8-178.D","NA","P1-C-08","D4",46,"induced",NA,NA,NA,102.71612,15.12551,NA,598.79858,NA,NA,92.2245,NA,15.35625,7.9987,49.97748,NA,30.87375,NA,36.39329,"WL2",11,"C",0.1,2020.115818,38.8263,-120.25242,2020
"183",61,4,"062-P1-E8-180.D","NA","P1-E-08","D4",47,"induced",NA,15.18536,NA,NA,106.26087,NA,674.63892,NA,76.06673,NA,NA,8.4068,29.15818,45.84792,48.0951,67.07842,NA,9.34602,"TM2",5,"C",0.11,379.1526973,39.59255,-121.55072,2020
"184",63,4,"064-P1-G8-182.D","NA","P1-G-08","D4",48,"induced",NA,34.16689,NA,NA,2272.79224,71.08192,34.27076,NA,15.96179,17.42082,NA,9.8217,26.91584,217.52196,24.71034,92.67952,24.64573,16.54341,"CALO",16,"C",0.26,1117.6,39.19494,-120.77055,2022
"185",65,4,"066-P1-A9-184.D","NA","P1-A-09","D5",1,"induced",NA,24.69597,NA,NA,336.14673,NA,475.46875,NA,51.18671,29.48215,NA,NA,31.46628,28.46794,12.44309,79.81142,NA,11.4399,"CALO",18,"C",0.2,1117.6,39.19494,-120.77055,2022
"186",67,4,"068-P1-C9-186.D","NA","P1-C-09","D5",2,"induced",NA,25.23861,NA,67.20361,23.7506,NA,195.70665,NA,39.91206,31.02456,NA,51.47334,36.5839,17.91347,18.52914,81.4672,NA,9.59767,"LV2",5,"C",0.18,2500.457178,40.46563,-121.51487,2018
"187",68,4,"069-P1-D9-187.D","NA","P1-D-09","D5",3,"induced",NA,NA,NA,94.30883,NA,36.6807,309.18973,NA,NA,NA,NA,15.06297,21.10706,22.69039,NA,36.14654,NA,34.78889,"TM2",7,"CW",0.12,379.1526973,39.59255,-121.55072,2020
"188",70,4,"071-P1-F9-189.D","NA","P1-F-09","D5",4,"induced",NA,125.41475,NA,NA,430.68674,NA,NA,NA,115.58228,NA,NA,NA,NA,12.06741,NA,39.67817,24.31217,14.24169,"YOSE8",1,"C",0.17,2590.97836,37.81117,-119.48624,2020
"189",72,4,"073-P1-H9-191.D","NA","P1-H-09","D5",5,"induced",NA,47.18037,NA,NA,992.28894,60.14174,378.7179,NA,NA,31.80552,NA,13.4956,30.62553,106.64635,18.44673,149.97202,NA,9.929,"IH",1,"CW",0.25,454.1298385,39.09332,-120.92114,2020
"190",74,4,"075-P1-B10-193.D","NA","P1-B-10","D5",6,"induced",NA,NA,NA,NA,NA,44.51485,948.0882,11.79684,NA,NA,NA,14.0351,59.31232,26.73878,23.21161,59.69187,NA,10.48352,"SQ2",17,"C",0.35,1934.45122,36.66557,-118.83543,2021
"191",76,4,"077-P1-D10-195.D","NA","P1-D-10","D5",7,"induced",NA,NA,NA,80.95077,NA,NA,433.46686,NA,NA,53.38821,NA,18.3457,48.72227,10.50989,9.34715,43.58305,NA,12.31852,"CALO",16,"CW",0.09,1117.6,39.19494,-120.77055,2022
"192",78,4,"079-P1-F10-197.D","NA","P1-F-10","D5",8,"induced",NA,NA,NA,NA,15.55797,NA,1211.64844,9.66063,NA,NA,NA,12.60147,21.25885,64.34612,12.6978,51.1538,NA,12.57433,"SQ1",3,"C",0.09,1921.036585,36.56435,-118.7764,2017
"193",80,4,"081-P1-H10-199.D","NA","P1-H-10","D5",9,"induced",NA,24.61815,NA,NA,117.79003,NA,461.59506,NA,79.61486,NA,NA,NA,36.78617,NA,11.78513,58.32275,NA,14.191,"WL1",2,"CW",0.23,1613.837245,38.78608,-120.2143,2020
"194",82,4,"083-P1-B11-201.D","NA","P1-B-11","D5",10,"induced",NA,NA,120.30284,60.8937,NA,NA,168.03502,NA,NA,NA,NA,NA,11.46307,198.63205,NA,40.09261,22.29155,19.01385,"BH",7,"CW",0.11,511.4294422,37.40985,-119.96458,2018
"195",83,4,"084-P1-C11-202.D","NA","P1-C-11","D5",11,"induced",NA,NA,186.7682,26.45994,NA,32.60522,650.5661,NA,NA,NA,NA,NA,13.29637,41.99581,20.34225,40.49522,NA,10.21986,"LV2",2,"CW",0.19,2500.457178,40.46563,-121.51487,2018
"196",85,4,"086-P1-E11-204.D","NA","P1-E-11","D5",12,"induced",NA,42.77325,NA,14.84098,97.54661,NA,375.1626,NA,111.96899,NA,NA,19.09227,53.85435,NA,14.98194,117.979,NA,15.00362,"CALO",18,"CW",0.43,1117.6,39.19494,-120.77055,2022
"197",87,4,"088-P1-G11-206.D","NA","P1-G-11","D5",13,"induced",NA,NA,NA,12.23769,NA,35.29243,135.83527,NA,NA,NA,NA,NA,15.94639,NA,9.08699,21.06363,NA,14.41653,"SQ1",3,"CW",0.22,1921.036585,36.56435,-118.7764,2017
"198",89,4,"090-P1-A12-208.D","NA","P1-A-12","D4",10,"induced",NA,30.74951,NA,29.59467,61.65189,NA,210.37416,NA,20.43958,NA,NA,12.64296,10.44502,13.85369,NA,35.85932,NA,34.28445,"BH",17,"CW",0.22,511.4294422,37.40985,-119.96458,2018
"199",90,4,"091-P1-B12-209.D","NA","P1-B-12","D4",9,"induced",NA,72.18227,NA,50.09686,42.52314,NA,111.42523,NA,21.6802,NA,NA,NA,9.26218,43.98367,NA,27.39306,NA,60.90774,"TFC",2,"C",0.32,1085,39.42772,-120.93623,2021
"200",92,4,"093-P1-D12-211.D","NA","P1-D-12","D4",8,"induced",NA,NA,NA,NA,490.5155,19.34674,275.05652,NA,NA,170.93268,NA,10.09293,12.59403,500.88483,NA,48.97874,11.83894,8.26044,"TM2",11,"CW",0.21,379.1526973,39.59255,-121.55072,2020
"201",94,4,"095-P1-F12-213.D","NA","P1-F-12","D4",7,"induced",NA,34.48925,NA,34.21427,124.04211,NA,441.5639,NA,36.99097,NA,NA,15.21435,12.77162,31.26264,NA,43.78922,NA,70.65614,"YOSE8",5,"C",0.22,2590.97836,37.81117,-119.48624,2020
"202",96,4,"097-P1-H12-215.D","NA","P1-H-12","D4",6,"induced",NA,NA,121.3089,24.87183,NA,26.34065,507.9147,NA,NA,NA,NA,NA,23.24371,25.65088,11.60603,27.61186,NA,16.0059,"LV2",2,"C",0.16,2500.457178,40.46563,-121.51487,2018
"203",97,5,"098-P2-A1-216.D","NA","P2-A-01","D5",14,"induced",NA,17.67878,NA,20.21354,87.19962,NA,605.63318,NA,26.50781,NA,NA,31.9303,8.96358,33.45518,NA,47.76357,NA,30.99535,"WL3",14,"C",0.21,2137.762877,38.83528,-120.23824,2020
"204",99,5,"100-P2-C1-218.D","NA","P2-C-01","D5",15,"induced",NA,NA,NA,31.6897,NA,22.18838,865.10889,NA,NA,NA,NA,19.11201,26.54036,89.18877,NA,58.75656,16.94483,20.1669,"DPR",10,"C",0.2,1018.591893,39.22846,-120.81518,2020
"205",101,5,"102-P2-E1-220.D","NA","P2-E-01","D5",16,"induced",NA,32.02591,NA,NA,482.02649,NA,44.48919,NA,28.22353,26.94882,NA,NA,7.43085,41.31725,NA,49.10357,NA,57.3707,"LC",1,"CW",0.1,1362.3,39.31897,-120.65744,2022
"206",103,5,"104-P2-G1-222.D","NA","P2-G-01","D5",17,"induced",NA,108.40416,NA,NA,896.70038,20.85991,16.41623,NA,NA,NA,NA,11.23543,44.37265,95.81077,NA,157.49535,NA,11.52218,"TFC",3,"C",0.25,1085,39.42772,-120.93623,2021
"207",105,5,"106-P2-A2-224.D","NA","P2-A-02","D5",18,"induced",NA,16.99352,NA,27.65107,112.77805,NA,416.3038,NA,29.85018,NA,NA,23.95439,9.16117,74.94034,NA,68.96446,NA,38.56384,"TFC",1,"CW",0.29,1085,39.42772,-120.93623,2021
"208",107,5,"108-P2-C2-226.D","NA","P2-C-02","D5",19,"induced",NA,NA,NA,62.58635,NA,NA,225.57936,NA,NA,NA,NA,NA,29.60489,44.85447,NA,52.26649,NA,43.35909,"CP2",14,"C",0.18,2244.132886,38.66169,-120.13065,2020
"209",109,5,"110-P2-E2-228.D","NA","P2-E-02","D5",20,"induced",NA,28.52306,NA,17.0871,101.9727,NA,418.88065,NA,39.12373,NA,NA,NA,15.96889,26.7266,27.40757,83.39035,NA,6.67257,"CALO",2,"C",0.26,1117.6,39.19494,-120.77055,2022
"210",111,5,"112-P2-G2-230.D","NA","P2-G-02","D5",21,"induced",NA,56.78205,NA,67.91064,49.21812,NA,175.51997,NA,27.56,NA,NA,NA,21.1071,125.51842,NA,70.59915,NA,44.08303,"WL2",11,"CW",0.28,2020.115818,38.8263,-120.25242,2020
"211",112,5,"113-P2-H2-231.D","NA","P2-H-02","D5",22,"induced",NA,NA,NA,13.48585,47.50547,33.039,1212.23547,10.97625,NA,112.2141,NA,NA,19.802,20.14065,79.50632,68.26844,NA,91.05952,"SQ2",17,"C",0.21,1934.45122,36.66557,-118.83543,2021
"212",114,5,"115-P2-B3-233.D","NA","P2-B-03","D5",23,"induced",NA,33.10261,NA,NA,299.80963,NA,NA,NA,62.78505,NA,NA,NA,NA,NA,NA,60.30733,NA,88.32576,"LC",1,"C",0.3,1362.3,39.31897,-120.65744,2022
"213",116,5,"117-P2-D3-235.D","NA","P2-D-03","D5",24,"induced",NA,NA,NA,29.53494,20.18681,NA,536.49133,NA,28.04794,NA,NA,49.63608,13.15114,45.47428,NA,95.49467,NA,80.22502,"YO10",5,"CW",0.43,NA,NA,NA,NA
"214",118,5,"119-P2-F3-237.D","NA","P2-F-03","D5",25,"induced",NA,24.88098,NA,NA,338.54361,NA,138.47664,NA,60.53103,NA,NA,NA,21.15788,33.96011,NA,77.35586,NA,47.70156,"LV1",10,"C",0.3,2593.416641,40.47471,-121.50486,2018
"215",120,5,"121-P2-H3-239.D","NA","P2-H-03","D5",26,"induced",NA,NA,NA,NA,34.32335,29.93956,1791.53198,20.5798,NA,107.48951,NA,13.61746,25.69685,364.98895,12.79983,90.01038,27.59266,26.32937,"CP2",7,"C",0.36,2244.132886,38.66169,-120.13065,2020
"216",122,5,"123-P2-B4-241.D","NA","P2-B-04","D5",27,"induced",NA,40.03468,NA,NA,416.20627,NA,NA,NA,45.6015,NA,NA,NA,11.50203,19.64931,NA,76.62127,NA,46.97392,"SQ1",5,"CW",0.4,1921.036585,36.56435,-118.7764,2017
"217",123,5,"124-P2-C4-242.D","NA","P2-C-04","D5",28,"induced",NA,46.82732,NA,NA,177.18735,NA,22.48878,NA,33.32777,NA,NA,NA,NA,NA,NA,81.43002,NA,102.80748,"IH",9,"C",0.3,454.1298385,39.09332,-120.92114,2020
"218",125,5,"126-P2-E4-244.D","NA","P2-E-04","D5",29,"induced",NA,60.59251,NA,NA,373.15808,NA,NA,NA,24.80745,NA,NA,NA,9.90102,14.25257,NA,76.99364,NA,47.47741,"CP2",17,"C",0.49,2244.132886,38.66169,-120.13065,2020
"219",127,5,"128-P2-G4-246.D","NA","P2-G-04","D5",30,"induced",NA,NA,56.04687,183.00667,NA,33.51288,698.68066,NA,NA,NA,NA,NA,22.25628,72.72129,51.55773,170.03613,NA,49.89531,"CALO",1,"C",0.24,1117.6,39.19494,-120.77055,2022
"220",129,5,"130-P2-A5-248.D","NA","P2-A-05","D5",31,"induced",NA,57.51705,NA,42.54118,79.29086,NA,215.48482,NA,56.91203,NA,NA,18.88638,10.95524,45.87605,NA,49.74499,NA,11.18889,"LC",1,"CW",0.05,1362.3,39.31897,-120.65744,2022
