"","Run Index","Plate","Directory","SampleName","Plate Position","Rack #","Location","leaf_type","dried","3MSO_5.2","OH-Alkenyl_6","4MSO_7.1","Allyl_7.4","5MSO_10.2","Butenyl_12.1","Junk_13","3MT_13.6","MSOO_13.8","OH I3M_15.1","4MT _15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Junk_18.7","Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year"
"56",104,2,"106-P2-H1-158.D","NA","P2-H-01","D2",8,"induced",NA,41.23554,NA,NA,845.30609,16.7428,9.75285,NA,9.72176,NA,NA,NA,35.27674,30.5481,15.23528,67.70325,NA,10.36231,"SQ2",14,"CW",0.34,1934.45122,36.66557,-118.83543,2021
"57",105,2,"107-P2-A2-159.D","NA","P2-A-02","D2",9,"induced",NA,NA,NA,33.01287,14.73846,NA,630.37439,NA,NA,24.46518,11.68671,NA,15.69422,59.95097,NA,25.70316,NA,26.01217,"LV2",2,"CW",0.29,2500.457178,40.46563,-121.51487,2018
"58",107,2,"109-P2-C2-161.D","NA","P2-C-02","D2",10,"induced",NA,NA,NA,NA,NA,21.39416,485.91031,NA,NA,NA,NA,NA,16.68384,16.9529,7.32297,22.11771,NA,49.43908,"CP2",17,"C",0.34,2244.132886,38.66169,-120.13065,2020
"59",108,2,"110-P2-D2-162.D","NA","P2-D-02","D2",11,"induced",NA,NA,NA,NA,49.07681,NA,264.56488,NA,23.33726,NA,NA,17.32318,10.75916,NA,NA,14.80557,NA,34.80387,"TM2",11,"CW",0.12,379.1526973,39.59255,-121.55072,2020
"60",110,2,"112-P2-F2-164.D","NA","P2-F-02","D2",12,"induced",NA,NA,NA,NA,11.66286,NA,429.10623,NA,NA,40.17714,NA,NA,18.84289,28.72836,NA,20.12185,NA,46.83303,"LV2",10,"CW",0.09,2500.457178,40.46563,-121.51487,2018
"61",112,2,"114-P2-H2-166.D","NA","P2-H-02","D2",13,"induced",NA,NA,NA,87.97322,14.28337,26.54496,1524.78894,9.71083,NA,120.92133,35.55731,13.51169,11.52476,436.35419,65.77213,100.99244,NA,8.24176,"LV1",9,"C",0.21,2593.416641,40.47471,-121.50486,2018
"62",114,2,"116-P2-B3-168.D","NA","P2-B-03","D2",14,"induced",NA,NA,NA,NA,17.74281,NA,985.07318,NA,NA,NA,9.83162,6.63309,NA,62.65413,NA,10.11559,NA,7.74185,"YO10",5,"CW",0.28,NA,NA,NA,NA
"63",116,2,"118-P2-D3-170.D","NA","P2-D-03","D2",15,"induced",NA,NA,129.10197,NA,NA,14.13412,630.24976,NA,NA,NA,NA,NA,10.64434,69.08279,NA,9.18423,NA,6.63065,"WL2",1,"C",0.15,2020.115818,38.8263,-120.25242,2020
"64",118,2,"120-P2-F3-172.D","NA","P2-F-03","D2",16,"induced",NA,NA,NA,66.41347,NA,11.26652,828.46246,NA,NA,83.92535,NA,16.28141,18.03131,28.83213,NA,9.97219,NA,8.29109,"LV1",10,"C",0.15,2593.416641,40.47471,-121.50486,2018
"65",120,2,"122-P2-H3-174.D","NA","P2-H-03","D2",17,"induced",NA,35.44159,NA,43.94953,166.12114,NA,402.68689,NA,27.74233,15.99103,NA,11.88593,10.28519,636.27832,NA,35.84346,NA,7.44665,"DPR",3,"CW",0.17,1018.591893,39.22846,-120.81518,2020
"66",122,2,"124-P2-B4-176.D","NA","P2-B-04","D2",18,"induced",NA,29.39281,NA,NA,601.66418,11.40157,NA,NA,NA,NA,14.43037,8.15172,16.78591,245.83968,27.30966,26.77597,NA,8.21304,"SQ2",12,"CW",0.17,1934.45122,36.66557,-118.83543,2021
"67",124,2,"126-P2-D4-178.D","NA","P2-D-04","D2",19,"induced",NA,NA,47.43738,NA,12.07771,NA,1079.81763,7.76415,NA,NA,NA,NA,11.09161,42.06924,NA,24.07632,NA,54.38713,"WL1",9,"C",0.31,1613.837245,38.78608,-120.2143,2020
"68",126,2,"128-P2-F4-180.D","NA","P2-F-04","D2",20,"induced",NA,NA,27.42556,NA,NA,NA,531.78265,NA,NA,NA,NA,NA,NA,198.58801,7.58743,23.82895,6.22499,8.38201,"WL1",9,"CW",0.28,1613.837245,38.78608,-120.2143,2020
"69",128,2,"130-P2-H4-182.D","NA","P2-H-04","D2",21,"induced",NA,NA,NA,21.73442,NA,14.45303,351.58292,NA,NA,NA,NA,NA,22.19303,53.99671,NA,13.15908,NA,7.88274,"CP2",17,"CW",0.23,2244.132886,38.66169,-120.13065,2020
"70",130,2,"132-P2-B5-184.D","NA","P2-B-05","D2",23,"induced",NA,NA,NA,26.55971,14.46469,NA,732.34485,NA,NA,46.92445,37.4972,NA,25.24624,44.38782,12.95773,25.65564,NA,8.67443,"LV1",9,"CW",0.24,2593.416641,40.47471,-121.50486,2018
"71",132,2,"134-P2-D5-186.D","NA","P2-D-05","D2",22,"induced",NA,NA,77.91547,37.96326,NA,NA,430.99686,NA,NA,NA,NA,NA,9.88404,34.14459,NA,17.81812,NA,5.97904,"WL2",11,"C",0.14,2020.115818,38.8263,-120.25242,2020
"72",134,2,"136-P2-F5-188.D","NA","P2-F-05","D2",24,"induced",NA,NA,NA,18.39369,37.85765,NA,180.28786,NA,26.48844,NA,NA,8.57885,21.22155,77.9503,NA,20.02317,NA,44.38,"MtSH",9,"CW",0.13,1282,38.66767778,-122.6272806,2022
"73",136,2,"138-P2-H5-190.D","NA","P2-H-05","D2",25,"induced",NA,36.28445,NA,NA,1069.52795,NA,15.84291,NA,39.8838,NA,NA,14.63203,8.26569,36.22773,NA,19.58584,19.57896,12.40931,"SC",18,"CW",0.12,421.5178299,38.41167,-120.73583,2021
"74",138,2,"140-P2-B6-192.D","NA","P2-B-06","D2",26,"induced",NA,84.9453,NA,NA,285.96344,NA,NA,NA,30.68962,13.16891,NA,NA,NA,28.18068,NA,14.31707,NA,8.54697,"IH",1,"C",0.23,454.1298385,39.09332,-120.92114,2020
"75",140,2,"142-P2-D6-194.D","NA","P2-D-06","D2",27,"induced",NA,NA,NA,50.63502,NA,26.78605,783.45776,8.28171,NA,NA,NA,10.38745,87.59834,66.64619,30.67146,77.24911,NA,7.03281,"CP2",2,"C",0.44,2244.132886,38.66169,-120.13065,2020
"76",142,2,"144-P2-F6-196.D","NA","P2-F-06","D2",28,"induced",NA,18.38875,NA,15.77062,261.09058,NA,288.85782,NA,8.11261,33.87576,9.22105,NA,8.72641,365.948,NA,29.05773,8.38243,11.56263,"LC",8,"CW",0.24,1362.3,39.31897,-120.65744,2022
"77",144,2,"146-P2-H6-198.D","NA","P2-H-06","D2",29,"induced",NA,NA,NA,146.28227,NA,12.1191,844.88776,NA,NA,104.96101,26.36003,14.37253,43.96533,55.32686,17.10872,44.45357,6.51974,11.35358,"LV1",10,"CW",0.33,2593.416641,40.47471,-121.50486,2018
"78",146,2,"148-P2-B7-200.D","NA","P2-B-07","D2",30,"induced",NA,16.77498,NA,NA,902.92175,NA,NA,NA,NA,15.26537,NA,NA,19.45854,156.81363,NA,24.52959,NA,9.67337,"SQ2",15,"CW",0.35,1934.45122,36.66557,-118.83543,2021
