Date.Time,Unit,Value
9/19/2024 18:00,C,25.5
9/19/2024 19:00,C,24.5
9/19/2024 20:00,C,24.5
9/19/2024 21:00,C,24.5
9/19/2024 22:00,C,24.5
9/19/2024 23:00,C,24.5
9/20/2024 0:00,C,24.5
9/20/2024 1:00,C,24.5
9/20/2024 2:00,C,24.5
9/20/2024 3:00,C,24.5
9/20/2024 4:00,C,24.5
9/20/2024 5:00,C,24.5
9/20/2024 6:00,C,24.5
9/20/2024 7:00,C,25.5
9/20/2024 8:00,C,25.5
9/20/2024 9:00,C,25.5
9/20/2024 10:00,C,25.5
9/20/2024 11:00,C,25.5
9/20/2024 12:00,C,25.5
9/20/2024 13:00,C,25.5
9/20/2024 14:00,C,25.5
9/20/2024 15:00,C,25.5
9/20/2024 16:00,C,25.5
9/20/2024 17:00,C,25.5
9/20/2024 18:00,C,25.5
9/20/2024 19:00,C,24.5
9/20/2024 20:00,C,24.5
9/20/2024 21:00,C,24.5
9/20/2024 22:00,C,24.5
9/20/2024 23:00,C,24.5
9/21/2024 0:00,C,24.5
9/21/2024 1:00,C,24.5
9/21/2024 2:00,C,24.5
9/21/2024 3:00,C,24.5
9/21/2024 4:00,C,24.5
9/21/2024 5:00,C,24.5
9/21/2024 6:00,C,24.5
9/21/2024 7:00,C,25.5
9/21/2024 8:00,C,25.5
9/21/2024 9:00,C,25.5
9/21/2024 10:00,C,25.5
9/21/2024 11:00,C,25.5
9/21/2024 12:00,C,25.5
9/21/2024 13:00,C,25.5
9/21/2024 14:00,C,25.5
9/21/2024 15:00,C,25.5
9/21/2024 16:00,C,25.5
9/21/2024 17:00,C,25.5
9/21/2024 18:00,C,25.5
9/21/2024 19:00,C,24.5
9/21/2024 20:00,C,24.5
9/21/2024 21:00,C,24.5
9/21/2024 22:00,C,24.5
9/21/2024 23:00,C,24.5
9/22/2024 0:00,C,24.5
9/22/2024 1:00,C,24.5
9/22/2024 2:00,C,24.5
9/22/2024 3:00,C,24.5
9/22/2024 4:00,C,24.5
9/22/2024 5:00,C,24.5
9/22/2024 6:00,C,24.5
9/22/2024 7:00,C,25.5
9/22/2024 8:00,C,25.5
9/22/2024 9:00,C,25.5
9/22/2024 10:00,C,25.5
9/22/2024 11:00,C,25.5
9/22/2024 12:00,C,25.5
9/22/2024 13:00,C,25.5
9/22/2024 14:00,C,25.5
9/22/2024 15:00,C,25.5
9/22/2024 16:00,C,25.5
9/22/2024 17:00,C,25.5
9/22/2024 18:00,C,25.5
9/22/2024 19:00,C,24.5
9/22/2024 20:00,C,24.5
9/22/2024 21:00,C,24.5
9/22/2024 22:00,C,24.5
9/22/2024 23:00,C,24.5
9/23/2024 0:00,C,24
9/23/2024 1:00,C,24.5
9/23/2024 2:00,C,24.5
9/23/2024 3:00,C,24.5
9/23/2024 4:00,C,24.5
9/23/2024 5:00,C,24.5
9/23/2024 6:00,C,24
9/23/2024 7:00,C,25.5
9/23/2024 8:00,C,25.5
9/23/2024 9:00,C,25.5
9/23/2024 10:00,C,25.5
9/23/2024 11:00,C,25.5
9/23/2024 12:00,C,25.5
9/23/2024 13:00,C,29.5
9/23/2024 14:00,C,25
9/23/2024 15:00,C,25
9/23/2024 16:00,C,25
9/23/2024 17:00,C,25
9/23/2024 18:00,C,25
9/23/2024 19:00,C,24.5
9/23/2024 20:00,C,24.5
9/23/2024 21:00,C,24.5
9/23/2024 22:00,C,24.5
9/23/2024 23:00,C,24.5
9/24/2024 0:00,C,24
9/24/2024 1:00,C,24
9/24/2024 2:00,C,24.5
9/24/2024 3:00,C,24.5
9/24/2024 4:00,C,24.5
9/24/2024 5:00,C,24
9/24/2024 6:00,C,24
9/24/2024 7:00,C,25
9/24/2024 8:00,C,25
9/24/2024 9:00,C,25
9/24/2024 10:00,C,25
9/24/2024 11:00,C,25
9/24/2024 12:00,C,25
9/24/2024 13:00,C,25
9/24/2024 14:00,C,25
9/24/2024 15:00,C,25
9/24/2024 16:00,C,25
9/24/2024 17:00,C,25
9/24/2024 18:00,C,26
9/24/2024 19:00,C,25.5
9/24/2024 20:00,C,25.5
9/24/2024 21:00,C,25.5
9/24/2024 22:00,C,25.5
9/24/2024 23:00,C,25.5
9/25/2024 0:00,C,25.5
9/25/2024 1:00,C,25
9/25/2024 2:00,C,25
9/25/2024 3:00,C,24.5
9/25/2024 4:00,C,24.5
9/25/2024 5:00,C,24.5
9/25/2024 6:00,C,24.5
9/25/2024 7:00,C,25
9/25/2024 8:00,C,25
9/25/2024 9:00,C,25
9/25/2024 10:00,C,25
9/25/2024 11:00,C,25
9/25/2024 12:00,C,25
9/25/2024 13:00,C,25
9/25/2024 14:00,C,25
9/25/2024 15:00,C,25
9/25/2024 16:00,C,25
9/25/2024 17:00,C,25
9/25/2024 18:00,C,25.5
9/25/2024 19:00,C,25
9/25/2024 20:00,C,25.5
9/25/2024 21:00,C,25
9/25/2024 22:00,C,25
9/25/2024 23:00,C,25
9/26/2024 0:00,C,25
9/26/2024 1:00,C,25
9/26/2024 2:00,C,25
9/26/2024 3:00,C,24.5
9/26/2024 4:00,C,24.5
9/26/2024 5:00,C,24.5
9/26/2024 6:00,C,24.5
9/26/2024 7:00,C,25
9/26/2024 8:00,C,25
9/26/2024 9:00,C,25
9/26/2024 10:00,C,25
9/26/2024 11:00,C,25
9/26/2024 12:00,C,25
9/26/2024 13:00,C,25
9/26/2024 14:00,C,25
9/26/2024 15:00,C,25
9/26/2024 16:00,C,25
9/26/2024 17:00,C,25
9/26/2024 18:00,C,25.5
9/26/2024 19:00,C,25.5
9/26/2024 20:00,C,25.5
9/26/2024 21:00,C,25.5
9/26/2024 22:00,C,25.5
9/26/2024 23:00,C,25.5
9/27/2024 0:00,C,25.5
9/27/2024 1:00,C,25
9/27/2024 2:00,C,25
9/27/2024 3:00,C,24.5
9/27/2024 4:00,C,24.5
9/27/2024 5:00,C,24.5
9/27/2024 6:00,C,24.5
9/27/2024 7:00,C,25
9/27/2024 8:00,C,25
9/27/2024 9:00,C,25
9/27/2024 10:00,C,25
