"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logGSL","logindoles","logaliphatics","biomass","totalflavonoid","logflavonoids","shannon_diversity"
"20","CALO","CW",3,22.469185,0,23.44266,74.110545,0,206.5688,23.12547,0,3.22892,18.55186,103.101625,0,24.23251,19.82389,352.94558,122.925515,475.871095,6.16448393112712,4.74828472072002,5.85179412974942,0.165,352.94558,5.85179412974942,1.73479613096332
"21","CALO","CW",14,10.1927,0,31.050985,55.24844,0,275.194045,31.123475,6.692335,20.41518,21.33859,112.94317,0,18.887685,6.716605,429.91716,119.659775,549.576935,6.30886686063433,4.77889155748518,6.06359238252137,0.235,429.91716,6.06359238252137,1.68922184617982
"22","CALO","CW",15,0,0,22.81797,15.76996,0,224.77121,10.44512,0,0,17.92488,95.20817,0,21.60954,8.56166,273.80426,103.76983,377.57409,5.93376681433231,4.64217527337743,5.61241347153536,0.43,273.80426,5.61241347153536,1.4138705556769
"23","CALO","CW",16,0,0,80.95077,0,0,433.46686,0,53.38821,18.3457,48.72227,10.50989,9.34715,43.58305,12.31852,586.15154,22.82841,608.97995,6.41178534434363,3.12800581291269,6.37357835682821,0.09,586.15154,6.37357835682821,1.38239656960846
"24","CALO","CW",17,0,35.88474,24.40074,0,15.23972,428.67313,0,0,0,16.46754,25.31389,0,26.84329,41.59339,504.19833,66.90728,571.10561,6.34757414877088,4.20330778034684,6.22296970257063,0.16,504.19833,6.22296970257063,1.18432098500101
"25","CALO","CW",18,55.00946,0,7.42049,185.35921,0,187.5813,68.0882,0,9.546135,26.927175,0,7.49097,89.318195,40.52256,513.004795,40.52256,553.527355,6.29105055112294,3.44928741881014,6.19660239701972,0.38,513.004795,6.19660239701972,1.51865249759623
"26","CP2","C",1,0,0,83.63922,0,24.178985,684.48727,0,14.58521,8.496855,23.29688,37.102095,10.95885,17.81433,28.779345,815.38754,65.88144,881.26898,6.7773247293046,4.08291858970801,6.69486273600666,0.215,815.38754,6.69486273600666,1.06447481379469
"27","CP2","C",2,0,0,62.515765,0,21.39421,720.980405,0,12.586545,13.58812,66.21452,61.10425,32.66856,47.69637,3.516405,831.065045,64.620655,895.6857,6.79607497089829,4.15861145667327,6.72153671308883,0.41,831.065045,6.72153671308883,1.19939511655016
"28","CP2","C",7,0,25.45615,0,17.161675,22.192145,1084.79129,0,53.744755,6.80873,22.942875,182.494475,19.26994,75.88229,19.98321,1210.154745,202.477685,1412.63243,6.94733756363402,4.29115584989147,6.84188784302064,0.225,1210.154745,6.84188784302064,1.1040757949335
"29","CP2","C",11,8.61807,0,18.48233,62.881475,14.034605,546.621905,18.892955,7.162075,0,14.79513,42.855985,3.9381,9.04719,4.8818,676.693415,47.737785,724.4312,6.38062009983851,3.70058999249967,6.30939404912402,0.265,676.693415,6.30939404912402,1.17894515144732
