"","Control_3MSO_5.2","Control_OH-Alkenyl_6","Control_4MSO_7.1","Control_Allyl_7.4","Control_5MSO_10.2","Control_Butenyl_12.1","Control_Junk_13","Control_3MT_13.6","Control_MSOO_13.8","Control_OH I3M_15.1","Control_4MT _15.5","Control_Flavonol_16.1","Control_I3M_16.7","Control_Flavonol_17.5","Control_Flavonol_18.5","Control_Junk_18.7","Control_Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year","totalGSL"
"127",24.9567,194.03171,25.32308,212.60703,NA,483.89395,NA,NA,NA,NA,8.508,14.44397,NA,NA,22.15023,NA,5.28713,"KC2",11,"C",0.27,948.1707317,36.82301,-118.83542,2017,991.2018
"130",17.09461,NA,21.62481,63.3452,NA,204.5083,NA,16.63164,NA,NA,NA,25.90218,11.18628,NA,22.88002,NA,35.42923,"CALO",15,"C",0.17,1117.6,39.19494,-120.77055,2022,418.60227
"131",NA,197.08757,NA,17.34886,NA,638.68549,NA,NA,NA,NA,NA,10.71441,52.61631,NA,28.94375,NA,35.18685,"WL1",2,"C",0.19,1613.837245,38.78608,-120.2143,2020,980.58324
"132",NA,NA,71.87326,33.89256,NA,881.16498,NA,58.98361,NA,NA,NA,24.87029,14.7171,NA,22.42697,NA,34.53046,"LV2",8,"C",0.12,2500.457178,40.46563,-121.51487,2018,1142.45923
"136",NA,NA,46.84695,NA,20.27149,295.78854,NA,NA,NA,NA,NA,21.12856,29.91165,NA,20.59672,NA,5.46657,"CP2",14,"C",0.38,2244.132886,38.66169,-120.13065,2020,440.01048
"138",50.26302,NA,NA,440.00131,NA,NA,NA,18.83926,NA,NA,NA,15.08541,23.90671,NA,19.95772,NA,6.30765,"SC",20,"C",0.16,421.5178299,38.41167,-120.73583,2021,574.36108
"141",38.10444,NA,NA,176.50146,NA,145.46979,NA,15.0233,18.03984,NA,NA,NA,45.05825,NA,32.49084,NA,41.11108,"LC",10,"C",0.26,1362.3,39.31897,-120.65744,2022,511.799
"149",42.23251,NA,97.35549,202.36172,NA,1115.31506,13.39762,25.8687,12.10653,33.43277,21.50473,12.49886,85.75535,NA,44.32329,NA,9.28654,"TM2",11,"C",0.28,379.1526973,39.59255,-121.55072,2020,1702.04155
"151",17.23614,NA,NA,107.46447,NA,119.57926,NA,37.78591,NA,NA,NA,7.37303,12.6566,NA,9.43705,NA,9.7636,"CP2",11,"C",0.23,2244.132886,38.66169,-120.13065,2020,321.29606
"152",NA,NA,28.57827,15.48263,NA,981.41779,9.50987,NA,57.59153,NA,8.42368,30.31212,24.25251,NA,17.59289,NA,7.68715,"BH",7,"C",0.07,511.4294422,37.40985,-119.96458,2018,1171.33857
"154",NA,NA,NA,12.26025,18.38055,592.94489,NA,NA,NA,NA,NA,16.06401,33.29599,NA,39.44908,NA,68.74369,"TM2",9,"C",0.17,379.1526973,39.59255,-121.55072,2020,781.13846
"158",NA,NA,NA,19.4637,NA,880.19733,NA,NA,NA,NA,NA,9.70947,31.84776,39.89124,42.34639,NA,47.94014,"LV2",9,"C",0.14,2500.457178,40.46563,-121.51487,2018,1071.39603
"159",NA,NA,20.96597,NA,NA,666.88116,NA,NA,32.77559,NA,NA,24.19585,NA,NA,16.54038,NA,10.13019,"TM2",7,"C",0.24,379.1526973,39.59255,-121.55072,2020,771.48914
"160",28.54118,NA,NA,366.14075,NA,13.28656,NA,NA,95.37057,NA,NA,14.0241,9.77207,NA,42.63807,NA,85.21955,"TM2",11,"C",0.15,379.1526973,39.59255,-121.55072,2020,654.99285
"165",NA,NA,NA,15.99045,NA,834.44733,NA,NA,45.2158,NA,NA,27.29073,NA,18.84243,45.76891,NA,35.0733,"IH",1,"C",0.09,454.1298385,39.09332,-120.92114,2020,1022.62895
"168",NA,NA,32.72529,20.0274,NA,949.37311,NA,NA,61.84292,NA,NA,24.70724,25.19585,94.48354,84.19849,28.72757,21.44018,"RB",1,"C",0.17,787,40.01362,-121.18498,2010,1313.99402
"169",NA,NA,NA,1204.8269,NA,25.2327,NA,NA,NA,NA,10.55875,12.39777,330.73792,NA,54.03927,NA,8.35714,"RB",12,"C",0.14,787,40.01362,-121.18498,2010,1646.15045
"170",NA,NA,NA,659.14868,NA,86.48318,NA,16.49276,16.01743,NA,NA,16.19418,NA,10.02994,85.62591,NA,25.66798,"LC",1,"C",0.29,1362.3,39.31897,-120.65744,2022,915.66006
"171",197.85596,NA,NA,1577.27576,57.4822,30.70094,NA,8.01208,11.31947,NA,9.57843,25.50745,214.92563,51.10747,101.88332,29.91314,16.97767,"IH",10,"C",0.14,454.1298385,39.09332,-120.92114,2020,2302.62638
"176",NA,NA,48.8013,31.55354,21.76881,1649.13538,21.67637,NA,89.9798,NA,NA,26.66435,130.8242,30.37891,96.11808,NA,13.75374,"CALO",17,"C",0.15,1117.6,39.19494,-120.77055,2022,2138.97811
"178",NA,89.30921,NA,501.53,14.01386,667.93585,NA,NA,15.0946,NA,NA,23.26021,74.27368,NA,37.3548,10.66143,13.52248,"SQ1",2,"C",0.16,1921.036585,36.56435,-118.7764,2017,1436.29469
"179",NA,NA,30.20579,27.18941,NA,1531.9071,22.69885,NA,31.33564,NA,14.41383,16.79689,88.85563,26.43199,50.44066,NA,28.72253,"BH",5,"C",0.32,511.4294422,37.40985,-119.96458,2018,1846.29947
"180",NA,NA,NA,58.73165,NA,280.0354,NA,13.85468,10.02432,NA,9.65252,17.99688,NA,NA,112.41267,NA,14.72027,"WL3",1,"C",0.16,2137.762877,38.83528,-120.23824,2020,517.42839
"182",NA,NA,102.71612,15.12551,NA,598.79858,NA,NA,92.2245,NA,15.35625,7.9987,49.97748,NA,30.87375,NA,36.39329,"WL2",11,"C",0.1,2020.115818,38.8263,-120.25242,2020,949.46418
"183",15.18536,NA,NA,106.26087,NA,674.63892,NA,76.06673,NA,NA,8.4068,29.15818,45.84792,48.0951,67.07842,NA,9.34602,"TM2",5,"C",0.11,379.1526973,39.59255,-121.55072,2020,1080.08432
"184",34.16689,NA,NA,2272.79224,71.08192,34.27076,NA,15.96179,17.42082,NA,9.8217,26.91584,217.52196,24.71034,92.67952,24.64573,16.54341,"CALO",16,"C",0.26,1117.6,39.19494,-120.77055,2022,2833.88719
