"","Control_3MSO_5.2","Control_OH-Alkenyl_6","Control_4MSO_7.1","Control_Allyl_7.4","Control_5MSO_10.2","Control_Butenyl_12.1","Control_Junk_13","Control_3MT_13.6","Control_MSOO_13.8","Control_OH I3M_15.1","Control_4MT _15.5","Control_Flavonol_16.1","Control_I3M_16.7","Control_Flavonol_17.5","Control_Flavonol_18.5","Control_Junk_18.7","Control_Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year","totalGSL"
"236",NA,NA,14.92052,49.35406,NA,514.35651,NA,22.56851,NA,NA,16.29963,19.30218,37.14428,14.35832,87.12953,NA,46.94698,"LC",10,"C",0.14,1362.3,39.31897,-120.65744,2022,822.38052
"237",NA,NA,75.1606,NA,NA,153.73087,NA,NA,NA,NA,39.61592,25.87471,19.85874,27.76761,108.17542,NA,45.13916,"DPR",4,"C",0.56,1018.591893,39.22846,-120.81518,2020,495.32303
"238",NA,NA,22.95923,49.98322,NA,919.56348,NA,NA,62.8006,NA,14.46367,26.98479,NA,81.51327,97.9767,NA,48.89291,"LV1",14,"C",0.31,2593.416641,40.47471,-121.50486,2018,1325.13787
"239",NA,NA,NA,30.31216,NA,249.00137,NA,NA,NA,NA,15.80192,10.14652,18.76669,NA,91.97922,NA,122.10751,"CALO",18,"C",0.21,1117.6,39.19494,-120.77055,2022,538.11539
"244",NA,NA,NA,1097.15247,15.825,NA,NA,NA,NA,NA,NA,13.8195,27.33688,NA,58.96185,NA,13.035,"SC",7,"C",0.06,421.5178299,38.41167,-120.73583,2021,1226.1307
"245",NA,NA,NA,784.66394,14.01665,NA,NA,NA,NA,NA,NA,NA,40.73564,NA,52.78137,NA,47.2972,"LV2",10,"C",0.16,2500.457178,40.46563,-121.51487,2018,939.4948
"247",NA,NA,NA,296.65546,NA,41.67213,NA,17.28284,39.88994,NA,NA,NA,43.73999,NA,74.14562,NA,100.74377,"YO10",5,"C",0.34,NA,NA,NA,NA,614.12975
"248",NA,NA,54.79696,34.41756,NA,533.92438,NA,NA,55.0992,NA,9.4424,15.20023,52.48858,NA,70.35163,NA,120.94405,"LC",3,"C",0.28,1362.3,39.31897,-120.65744,2022,946.66499
"249",NA,NA,16.15219,NA,NA,222.50514,NA,NA,NA,NA,26.86708,9.65696,191.46414,NA,73.65251,28.01398,33.36773,"LV2",4,"C",0.07,2500.457178,40.46563,-121.51487,2018,573.66575
"251",NA,50.9123,NA,NA,14.44473,378.0506,NA,NA,NA,NA,NA,20.1889,NA,25.74005,61.7542,NA,13.63705,"CP2",7,"C",0.09,2244.132886,38.66169,-120.13065,2020,564.72783
"252",73.1967,NA,84.84103,59.67419,NA,92.73213,NA,NA,NA,NA,NA,12.27633,180.85385,NA,53.22643,14.26021,28.3109,"SQ2",14,"C",0.07,1934.45122,36.66557,-118.83543,2021,585.11156
"255",NA,NA,79.12533,NA,NA,423.05466,NA,NA,57.62777,NA,NA,NA,NA,NA,20.88729,NA,80.40266,"TM2",9,"C",0.15,379.1526973,39.59255,-121.55072,2020,661.09771
"256",54.16393,NA,NA,376.37576,NA,16.81881,NA,73.47164,NA,NA,122.15978,22.71209,13.61416,8.24628,28.0709,NA,NA,"SC",18,"C",0.07,421.5178299,38.41167,-120.73583,2021,715.63335
