X3MSO_5.2,OH.Alkenyl_6,X4MSO_7.1,Allyl_7.4,X5MSO_10.2,Butenyl_12.1,X3MT_13.6,MSOO_13.8,OH.I3M_15.1,X4MT._15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Indole_18.8,Population,treatment,mf,rep,ID
NA,NA,-0.913817672,-0.64681744,0.28163005,1.61875263,NA,1.442741698,NA,NA,-0.02224015,-0.638582151,2.779947909,0.72575855,2.74815462,SQ2,C,17,2,SQ2_C_17
-0.184141,NA,NA,-0.521357619,NA,-0.98618321,0.2361095,NA,NA,NA,-0.92401313,-0.668050393,NA,0.58887296,1.276972671,SQ2,CW,17,1,SQ2_CW_17
NA,NA,NA,0.544383931,NA,NA,-0.72778825,-0.8158815311,NA,NA,-1.04985548,-0.46356629,NA,-0.9107713,0.917908106,SQ2,C,18,1,SQ2_C_18
-0.13122829,NA,NA,1.486670871,NA,NA,NA,-0.2403509945,NA,NA,2.62174306,-0.291041818,NA,0.49210888,-0.658749566,SQ2,C,18,2,SQ2_C_18
NA,NA,NA,1.632296928,NA,-1.07601552,NA,-0.6511620986,-0.56141828,-0.73296903,-0.40174499,2.973324271,NA,-0.39113952,-0.703890044,SQ2,CW,18,1,SQ2_CW_18
0.05882767,NA,NA,1.92460539,1.36559763,-1.06934335,-1.13325411,-0.8523638596,NA,-0.72050896,-1.07097098,-0.189592353,NA,-0.89998342,-0.827771633,SQ2,C,20,1,SQ2_C_20
0.23609567,NA,NA,2.130868323,-0.44886578,-1.06456001,NA,-0.650418012,-0.33471381,-0.59899605,-1.30152145,2.909504511,-0.333862443,-0.56943928,-0.764334247,SQ2,C,20,2,SQ2_C_20
-0.73544827,-0.785443534,NA,3.483923826,0.11542941,-0.49102138,-1.16083838,-0.3153204226,0.32091423,-0.54875835,0.36821747,0.919715507,-0.558611295,-0.55147732,-0.613152644,SQ2,CW,20,1,SQ2_CW_20
-1.0818382,NA,1.248041721,-0.731022585,NA,-0.66584839,-0.96292587,-0.827892047,-0.62127914,0.14753391,-0.6550517,-0.327707794,NA,-0.95593433,-0.813117868,TFC,C,1,1,TFC_C_1
-0.86322621,NA,-0.524896694,-0.481733435,NA,-0.16896328,-0.2049139,NA,NA,0.25407582,-0.97108519,-0.244609506,NA,0.74752253,0.539733447,TFC,CW,1,1,TFC_CW_1
-0.82731346,NA,-0.515390586,-0.605756193,NA,-0.72109153,NA,NA,NA,NA,-0.1011005,0.474924634,NA,-0.76389208,NA,TFC,C,2,1,TFC_C_2
0.84111642,NA,0.091376023,-0.659418489,NA,-0.85374099,-0.56035357,NA,NA,NA,-0.96207811,-0.467166991,NA,-0.55238162,1.479710639,TFC,C,2,2,TFC_C_2
-0.24370355,NA,-0.199833544,-0.645213125,NA,-0.79216661,NA,-0.8171358106,3.74389486,NA,-0.31973783,0.138514666,1.458990366,0.61847988,NA,TFC,CW,2,1,TFC_CW_2
-0.27989919,NA,NA,-0.110422461,NA,-0.48839887,-0.06748719,-0.4777543675,NA,NA,-0.82312863,-0.611534194,0.209753133,1.63684028,-0.644619976,TFC,CW,2,2,TFC_CW_2
-0.74953172,NA,-0.87768908,-0.647487285,NA,-0.94044107,NA,NA,NA,NA,-0.57758062,-0.002579814,NA,-0.84139746,-0.752789775,TFC,C,3,1,TFC_C_3
1.95972323,NA,NA,1.500922038,-0.46286305,-1.06713758,NA,NA,NA,-0.47958972,2.16872986,-0.094565254,NA,3.51581206,-0.597872056,TFC,C,3,2,TFC_C_3
NA,NA,-0.520397745,-0.676579061,NA,-0.23456901,-0.83376304,NA,NA,0.3230264,-0.65396204,1.146932463,NA,0.31805986,0.054953943,TFC,CW,3,1,TFC_CW_3
NA,NA,0.54793388,NA,NA,0.18085913,NA,NA,NA,NA,0.2979023,3.601695789,NA,0.91806033,-0.156779559,TM2,C,3,1,TM2_C_3
NA,NA,-0.627194089,-0.709977621,NA,-0.53695145,-0.55469175,NA,NA,1.47192867,-0.60793149,NA,NA,-0.49081102,-0.673846314,TM2,CW,3,1,TM2_CW_3
NA,NA,NA,-0.594782524,NA,-0.3072404,-0.97670452,NA,NA,-0.70443103,-0.46814648,NA,NA,0.10531771,-0.199469119,TM2,C,4,1,TM2_C_4
NA,NA,NA,NA,NA,-0.1095135,NA,NA,NA,-0.5360987,0.23792018,-0.698013045,-0.770028244,0.19938607,0.985603679,TM2,CW,4,1,TM2_CW_4
-0.91906593,NA,NA,-0.498216346,NA,0.41127473,1.80576363,NA,NA,-0.64275309,0.81205238,-0.453764296,1.224968931,0.68854758,-0.689420119,TM2,C,5,1,TM2_C_5
NA,NA,NA,-0.340818497,NA,-0.0737345,-0.95529717,NA,-0.19021009,-0.49663673,-0.85915518,-0.498963279,NA,-0.62399183,NA,TM2,CW,5,1,TM2_CW_5
NA,NA,NA,0.907504361,-0.54505622,NA,NA,NA,NA,NA,0.70660326,-0.626890875,NA,0.70812272,1.569635273,TM2,CW,6,2,TM2_CW_6
NA,NA,-0.708443129,NA,NA,0.39385028,NA,-0.3117590109,NA,NA,0.36956038,NA,NA,-0.89173617,-0.656431164,TM2,C,7,1,TM2_C_7
NA,NA,-0.266010036,-0.531894024,NA,0.21209941,-0.78915199,NA,NA,0.18051579,-0.68934835,-0.493206573,NA,-0.37898112,-0.449274308,TM2,CW,7,1,TM2_CW_7
NA,NA,1.30526205,NA,0.50424278,-0.40954866,NA,NA,NA,-0.2588064,0.09413232,-0.620251248,NA,-0.27866736,0.380926485,TM2,CW,7,2,TM2_CW_7
NA,NA,NA,-0.735957812,-0.61442334,0.22778446,NA,NA,NA,NA,-0.3555575,-0.544004169,NA,-0.1753996,1.809358295,TM2,C,9,1,TM2_C_9
NA,NA,0.888383125,NA,NA,-0.15380039,NA,0.2371330496,NA,NA,NA,NA,NA,-0.7558118,2.299835154,TM2,C,9,2,TM2_C_9
0.09550043,NA,-0.16150133,-0.404209565,NA,-0.42915186,NA,NA,-0.37676334,NA,-1.0494453,-0.603856501,NA,-0.79715249,NA,TM2,C,10,1,TM2_C_10
NA,NA,NA,-0.299263157,NA,-0.05463182,-0.94041522,NA,0.32623801,-0.65066371,-0.17295207,-0.646320306,NA,-0.44196166,-0.797003901,TM2,CW,10,1,TM2_CW_10
-0.08379405,NA,1.388911297,-0.255163089,NA,1.40106289,-0.37813047,-0.7682615363,0.04543695,0.11277251,-0.67346267,-0.166856912,NA,-0.02298698,-0.691922361,TM2,C,11,1,TM2_C_11
-0.50661061,NA,NA,0.159058292,NA,-1.07416703,NA,1.070730877,NA,NA,-0.5374567,-0.713125216,NA,-0.07568245,2.502475101,TM2,C,11,2,TM2_C_11
NA,NA,NA,-0.642843289,NA,-0.50977907,-0.48826222,NA,NA,-0.12843111,-0.82859209,NA,NA,-0.94598228,0.381556673,TM2,CW,11,1,TM2_CW_11
NA,NA,NA,0.473620423,-0.55536131,-0.48621414,NA,2.739616354,NA,-0.54549235,-0.66497634,2.817642799,NA,0.12258518,-0.735088979,TM2,CW,11,2,TM2_CW_11
NA,1.639780145,NA,-0.723087965,NA,0.33052091,NA,NA,NA,NA,-0.83258245,-0.405104158,NA,-0.5038928,0.397668115,WL1,C,2,1,WL1_C_2
-0.62776188,NA,NA,-0.469057396,NA,-0.06723607,1.96012706,NA,NA,NA,1.49224185,NA,-0.572517446,0.41476484,-0.485598464,WL1,CW,2,1,WL1_CW_2
NA,-0.936917523,NA,-0.736419483,NA,1.32133328,NA,NA,NA,NA,-0.79894745,-0.480930445,NA,-0.65609341,1.20539753,WL1,C,9,1,WL1_C_9
NA,0.776228007,NA,NA,0.67909864,1.54847093,NA,-0.8755957488,NA,NA,-0.55643212,-0.437280618,NA,-0.9535857,NA,WL1,CW,9,1,WL1_CW_9
NA,-1.281483807,NA,NA,NA,0.09040996,NA,NA,NA,NA,NA,0.64433347,-0.780320112,-0.66382847,-0.729974696,WL1,CW,9,2,WL1_CW_9
NA,NA,NA,1.277848542,NA,NA,-0.88868143,NA,NA,NA,-0.48453418,NA,NA,-0.91123189,-0.653413582,WL1,C,11,1,WL1_C_11
NA,0.469194682,NA,NA,-0.87400249,0.3115737,NA,NA,NA,NA,-0.83883061,-0.286721322,NA,-1.12175705,-0.803652006,WL2,C,1,2,WL2_C_1
NA,NA,-0.068585666,-0.723331471,NA,-0.77405116,NA,-0.2816766221,NA,2.49444095,1.04438269,NA,-0.63875866,0.79212147,0.168642304,WL2,CW,1,1,WL2_CW_1
NA,-0.566947253,-0.615241098,NA,-1.07857795,0.17994175,NA,NA,NA,NA,-1.1879088,-0.545671948,NA,-0.91848541,NA,WL2,C,10,1,WL2_C_10
NA,-1.186873064,-0.8058517,NA,NA,-0.16182245,NA,NA,NA,NA,-0.92373403,-0.688113923,NA,-1.19912767,-0.646280846,WL2,C,10,2,WL2_C_10
NA,-0.412141554,-0.241764697,NA,NA,-0.13596168,NA,NA,NA,NA,-0.90662672,-0.53790331,NA,-0.85178227,-0.831064344,WL2,C,11,1,WL2_C_11
NA,NA,1.536093018,-0.728711146,NA,0.24093224,NA,1.001245913,NA,-0.24188918,-1.07474288,-0.424075558,NA,-0.44354325,0.448421389,WL2,C,11,2,WL2_C_11
NA,1.081575161,-0.688778832,NA,0.92792279,-0.22376716,NA,NA,NA,-0.59280553,1.96838223,NA,-0.378326382,0.58189993,-0.730642325,WL2,CW,11,1,WL2_CW_11
0.36552581,NA,0.580472044,-0.642485895,NA,-0.70977991,-0.3045495,NA,NA,NA,0.09413589,0.119012622,NA,0.79863797,0.771918192,WL2,CW,11,2,WL2_CW_11
NA,-0.492923549,NA,NA,NA,-0.04850648,NA,NA,NA,NA,0.74055393,-0.566119747,NA,-0.93440518,-0.672015066,WL2,C,12,1,WL2_C_12
NA,NA,NA,-0.618424771,NA,-0.47503124,-0.90080731,-0.8142497972,NA,-0.57089644,-0.18320308,NA,NA,2.10611302,-0.463332801,WL3,C,1,1,WL3_C_1
NA,NA,0.879311921,NA,-0.09609639,1.195033,NA,0.5436280305,NA,0.91151869,0.52136552,-0.492157938,NA,0.08627414,2.028329705,WL3,CW,1,1,WL3_CW_1
NA,NA,-0.019829763,NA,-0.17219441,-0.3578384,NA,-0.8092481395,NA,NA,NA,-0.565829586,NA,-0.62115853,1.117758484,WL3,C,14,1,WL3_C_14
-0.84206397,NA,-0.729101884,-0.546425066,NA,0.25628321,-0.35032562,NA,NA,0.71414883,-0.98870433,-0.542859701,NA,0.0845878,0.221337466,WL3,C,14,2,WL3_C_14
NA,2.104343767,-0.311490432,-0.732855205,-1.03142748,-0.1094261,NA,NA,NA,NA,-0.96237594,2.066197989,NA,-0.3187085,-0.67986381,WL3,CW,14,1,WL3_CW_14
NA,NA,NA,-0.725467615,NA,1.64915679,NA,NA,NA,-0.43840938,-0.78709227,0.389007125,NA,-1.11641252,-0.718349452,YO10,C,5,1,YO10_C_5
NA,NA,NA,-0.016680279,NA,-1.01041113,-0.75166324,-0.1546295264,NA,NA,NA,-0.468918885,NA,0.90953322,3.15555772,YO10,C,5,2,YO10_C_5
NA,NA,NA,-0.722091607,NA,1.10853089,NA,NA,-0.5164921,-0.74506569,NA,-0.332939032,NA,-1.09263418,-0.756905348,YO10,CW,5,1,YO10_CW_5
NA,NA,-0.473173066,-0.71591037,NA,0.10098598,-0.28332139,NA,NA,1.73546823,-0.61529873,-0.456450515,NA,1.5771008,2.292362083,YO10,CW,5,2,YO10_CW_5
2.4850454,NA,NA,0.322304644,NA,NA,3.5249103,NA,NA,NA,NA,-0.696623277,NA,-0.16823614,-0.483466005,YOSE8,C,1,1,YOSE8_C_1
0.00162698,NA,NA,-0.125371976,NA,-1.01182957,NA,0.9069759523,NA,-0.45139666,-1.06450793,-0.67065947,-0.337656424,-0.61090254,-0.749663234,YOSE8,CW,1,1,YOSE8_CW_1
-0.32292192,NA,-0.344697151,-0.453244962,NA,-0.1122274,0.10575027,NA,NA,-0.25007438,-0.64914061,-0.558622578,NA,-0.03968692,1.889812441,YOSE8,C,5,1,YOSE8_C_5
0.13055652,NA,NA,-0.343063496,NA,NA,0.05353096,NA,NA,NA,-0.56029944,NA,NA,0.93728182,2.050567181,YOSE8,C,5,2,YOSE8_C_5
NA,NA,0.067732795,-0.736664279,-0.77522814,0.14204922,NA,-0.489390521,NA,-0.07133376,-0.97921395,0.367718463,NA,-0.97473962,-0.862996115,YOSE8,CW,5,1,YOSE8_CW_5
NA,NA,NA,NA,NA,-0.27192524,NA,NA,NA,NA,-0.64383498,-0.557096716,NA,-0.64619546,-0.823528591,YOSE8,CW,5,2,YOSE8_CW_5
