"","Population","treatment","mf","biomass","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","totalflavonoid","logGSL","logindoles","logaliphatics","logflavonoids","shannon_diversity","cwd","ppt","pck","tmin","tmax","elevation","str","avg_growing_season","contemporary_PC1","contemporary_PC2","historic_PC1","historic_PC2"
"1","BH","C",5,0.32,0,0,30.20579,27.18941,0,1531.9071,0,31.33564,0,14.41383,16.79689,88.85563,26.43199,50.44066,28.72253,1635.05177,117.57816,1752.62993,93.66954,7.46887275596081,4.76710330393178,7.39942974643863,4.53977305635172,0.804037524866918,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"2","BH","C",7,0.07,0,0,28.57827,15.48263,0,981.41779,0,57.59153,0,8.42368,30.31212,24.25251,0,17.59289,7.68715,1091.4939,31.93966,1123.43356,47.90501,7.02414495325013,3.46384849777091,6.9953025873349,3.86922009184929,0.750500072589879,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"3","BH","C",9,0.19,14.81113,0,0,359.88889,0,29.24652,31.3145,8.4459,0,0,13.86213,11.20167,0,28.27715,9.8219,443.70694,21.02357,464.73051,42.13928,6.14145768919718,3.04564418927721,6.09516429946155,3.74098032232595,1.17132132674564,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"4","BH","C",17,0.16,0,0,0,61.40265,0,423.57709,0,0,0,0,20.98177,0,19.16614,158.01237,7.24828,484.97974,7.24828,492.22802,198.16028,6.19894206441463,1.98076419934109,6.18410711686908,5.2890761981797,1.10594531463058,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"5","BH","CW",5,0.17,24.27959,0,0,522.35645,0,132.97873,34.1317,0,10.07574,0,26.90035,101.96323,0,48.74755,28.0017,713.74647,140.04067,853.78714,75.6479,6.749681912135,4.94193288042235,6.57052781524871,4.32608968043069,1.47275323248137,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"6","BH","CW",7,0.11,0,120.30284,60.8937,0,0,168.03502,0,0,0,0,11.46307,198.63205,0,40.09261,19.01385,349.23156,217.6459,566.87746,51.55568,6.34014316044102,5.3828694302376,5.85573519788847,3.94266238868023,1.62389959389138,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"7","BH","CW",9,0.1,31.43873,0,0,599.22467,0,20.49561,51.01878,45.06938,7.35133,12.11376,13.5891,107.96035,0,44.0093,12.86921,759.36093,128.18089,887.54182,57.5984,6.78845564136617,4.85344246941287,6.6324771979622,4.05349478953826,1.39162875729861,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"8","BH","CW",17,0.22,30.74951,0,29.59467,61.65189,0,210.37416,20.43958,0,0,12.64296,10.44502,13.85369,0,35.85932,34.28445,365.45277,48.13814,413.59091,46.30434,6.02487734519642,3.87407479430063,5.90113705059394,3.83523569320028,1.80569888249149,27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101,-3.02254993641818,0.843054151490829
"9","CP2","C",1,0.215,0,0,83.63922,0,24.178985,684.48727,0,14.58521,0,8.496855,23.29688,37.102095,10.95885,17.81433,28.779345,815.38754,65.88144,881.26898,52.07006,6.7773247293046,4.08291858970801,6.69486273600666,3.9343472922132,1.06447481379469,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"10","CP2","C",2,0.41,0,0,62.515765,0,21.39421,720.980405,0,12.586545,0,13.58812,66.21452,61.10425,32.66856,47.69637,3.516405,831.065045,64.620655,895.6857,146.57945,6.79607497089829,4.15861145667327,6.72153671308883,4.92847212209908,1.19939511655016,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
