"","Population","treatment","compound type","compound","value"
"127","DPR","C","GSL","Flavonol17",6.42797166666667
"128","DPR","C","GSL","Flavonol18",46.0400416666667
"129","DPR","C","GSL","Indole",13.138315
"130","DPR","C","GSL","totalaliphatic",600.104298333333
"131","DPR","C","GSL","totalindole",80.8594616666667
"132","DPR","C","GSL","totalGSL",680.96376
"133","DPR","C","GSL","logindoles",1.87874416418817
"134","DPR","CW","GSL","X3MSO",12.4676283333333
"135","DPR","CW","GSL","OHAlkenyl",0
"136","DPR","CW","GSL","X4MSO",26.5347383333333
"137","DPR","CW","GSL","Allyl",85.94111
"138","DPR","CW","GSL","X5MSO",0
"139","DPR","CW","GSL","Butenyl",693.218295
"140","DPR","CW","GSL","X3MT",23.890075
"141","DPR","CW","GSL","MSOO",34.0250983333333
"142","DPR","CW","GSL","OHI3M",0
"143","DPR","CW","GSL","X4MT",21.5360616666667
"144","DPR","CW","GSL","Flavonol16",19.1311966666667
"145","DPR","CW","GSL","I3M",190.707208333333
"146","DPR","CW","GSL","Flavonol17",0
"147","DPR","CW","GSL","Flavonol18",36.418065
"148","DPR","CW","GSL","Indole",22.4615766666667
"149","DPR","CW","GSL","totalaliphatic",897.613006666667
"150","DPR","CW","GSL","totalindole",213.168785
"151","DPR","CW","GSL","totalGSL",1110.78179166667
"152","DPR","CW","GSL","logindoles",2.02957151148763
"153","IH","C","GSL","X3MSO",81.515475
"154","IH","C","GSL","OHAlkenyl",0
"155","IH","C","GSL","X4MSO",0
"156","IH","C","GSL","Allyl",454.876248333333
"157","IH","C","GSL","X5MSO",9.58036666666667
"158","IH","C","GSL","Butenyl",154.19755
"159","IH","C","GSL","X3MT",28.0187916666667
"160","IH","C","GSL","MSOO",11.6173633333333
"161","IH","C","GSL","OHI3M",0
"162","IH","C","GSL","X4MT",1.596405
"163","IH","C","GSL","Flavonol16",11.645445
"164","IH","C","GSL","I3M",42.4693016666667
"165","IH","C","GSL","Flavonol17",11.6583166666667
"166","IH","C","GSL","Flavonol18",58.356245
"167","IH","C","GSL","Indole",44.3688166666667
"168","IH","C","GSL","totalaliphatic",741.4022
"169","IH","C","GSL","totalindole",86.8381183333333
"170","IH","C","GSL","totalGSL",828.240318333333
"171","IH","C","GSL","logindoles",1.76131074643677
"172","IH","CW","GSL","X3MSO",28.34514
"173","IH","CW","GSL","OHAlkenyl",0
"174","IH","CW","GSL","X4MSO",17.24647
"175","IH","CW","GSL","Allyl",270.214185
"176","IH","CW","GSL","X5MSO",20.7116633333333
"177","IH","CW","GSL","Butenyl",520.126001666667
"178","IH","CW","GSL","X3MT",7.74402666666667
"179","IH","CW","GSL","MSOO",13.3748833333333
"180","IH","CW","GSL","OHI3M",0
"181","IH","CW","GSL","X4MT",26.1714433333333
"182","IH","CW","GSL","Flavonol16",24.0327316666667
"183","IH","CW","GSL","I3M",82.3198716666667
"184","IH","CW","GSL","Flavonol17",3.074455
"185","IH","CW","GSL","Flavonol18",65.7780533333333
"186","IH","CW","GSL","Indole",44.3469533333333
"187","IH","CW","GSL","totalaliphatic",903.933813333333
"188","IH","CW","GSL","totalindole",126.666825
"189","IH","CW","GSL","totalGSL",1030.60063833333
"190","IH","CW","GSL","logindoles",2.06382084146383
"191","KC2","C","GSL","X3MSO",27.592465
"192","KC2","C","GSL","OHAlkenyl",97.015855
"193","KC2","C","GSL","X4MSO",25.45466
"194","KC2","C","GSL","Allyl",168.60729
"195","KC2","C","GSL","X5MSO",0
"196","KC2","C","GSL","Butenyl",433.143125
"197","KC2","C","GSL","X3MT",17.905965
"198","KC2","C","GSL","MSOO",0
"199","KC2","C","GSL","OHI3M",0
"200","KC2","C","GSL","X4MT",9.951675
"201","KC2","C","GSL","Flavonol16",15.17541
"202","KC2","C","GSL","I3M",43.75287
"203","KC2","C","GSL","Flavonol17",0
"204","KC2","C","GSL","Flavonol18",20.11848
"205","KC2","C","GSL","Indole",2.643565
"206","KC2","C","GSL","totalaliphatic",779.671035
"207","KC2","C","GSL","totalindole",46.396435
"208","KC2","C","GSL","totalGSL",826.06747
"209","KC2","C","GSL","logindoles",1.33262826538946
"210","KC2","CW","GSL","X3MSO",64.164255
"211","KC2","CW","GSL","OHAlkenyl",67.202935
"212","KC2","CW","GSL","X4MSO",47.639445
"213","KC2","CW","GSL","Allyl",231.210125
"214","KC2","CW","GSL","X5MSO",0
"215","KC2","CW","GSL","Butenyl",451.227585
"216","KC2","CW","GSL","X3MT",77.006395
"217","KC2","CW","GSL","MSOO",5.063715
"218","KC2","CW","GSL","OHI3M",0
"219","KC2","CW","GSL","X4MT",31.41996
"220","KC2","CW","GSL","Flavonol16",10.35633
"221","KC2","CW","GSL","I3M",30.505555
"222","KC2","CW","GSL","Flavonol17",0
