"","Population","treatment","compound type","compound","value"
"555","TFC","CW","GSL","Allyl",100.793778333333
"556","TFC","CW","GSL","X5MSO",0
"557","TFC","CW","GSL","Butenyl",336.620041666667
"558","TFC","CW","GSL","X3MT",20.5834716666667
"559","TFC","CW","GSL","MSOO",5.85891166666667
"560","TFC","CW","GSL","OHI3M",31.4614766666667
"561","TFC","CW","GSL","X4MT",16.36804
"562","TFC","CW","GSL","Flavonol16",11.8405966666667
"563","TFC","CW","GSL","I3M",139.834805
"564","TFC","CW","GSL","Flavonol17",13.401625
"565","TFC","CW","GSL","Flavonol18",68.4386483333333
"566","TFC","CW","GSL","Indole",23.603205
"567","TFC","CW","GSL","totalaliphatic",523.115298333333
"568","TFC","CW","GSL","totalindole",194.899486666667
"569","TFC","CW","GSL","totalGSL",718.014785
"570","TFC","CW","GSL","logindoles",2.18129618035044
"571","TM2","C","GSL","X3MSO",15.942430625
"572","TM2","C","GSL","OHAlkenyl",0
"573","TM2","C","GSL","X4MSO",27.102315
"574","TM2","C","GSL","Allyl",111.8508075
"575","TM2","C","GSL","X5MSO",1.148784375
"576","TM2","C","GSL","Butenyl",457.637980625
"577","TM2","C","GSL","X3MT",23.77232875
"578","TM2","C","GSL","MSOO",14.416003125
"579","TM2","C","GSL","OHI3M",4.052080625
"580","TM2","C","GSL","X4MT",3.312088125
"581","TM2","C","GSL","Flavonol16",17.870141875
"582","TM2","C","GSL","I3M",93.146656875
"583","TM2","C","GSL","Flavonol17",6.0118875
"584","TM2","C","GSL","Flavonol18",39.687663125
"585","TM2","C","GSL","Indole",23.03777125
"586","TM2","C","GSL","totalaliphatic",655.182738125
"587","TM2","C","GSL","totalindole",120.23650875
"588","TM2","C","GSL","totalGSL",775.419246875
"589","TM2","C","GSL","logindoles",-Inf
"590","TM2","CW","GSL","X3MSO",0
"591","TM2","CW","GSL","OHAlkenyl",0
"592","TM2","CW","GSL","X4MSO",14.238089375
"593","TM2","CW","GSL","Allyl",178.27071125
"594","TM2","CW","GSL","X5MSO",5.94113
"595","TM2","CW","GSL","Butenyl",350.452485
"596","TM2","CW","GSL","X3MT",12.01186125
"597","TM2","CW","GSL","MSOO",10.6832925
"598","TM2","CW","GSL","OHI3M",24.541165
"599","TM2","CW","GSL","X4MT",17.29612625
"600","TM2","CW","GSL","Flavonol16",21.0175725
"601","TM2","CW","GSL","I3M",49.532580625
"602","TM2","CW","GSL","Flavonol17",2.2008175
"603","TM2","CW","GSL","Flavonol18",50.32734375
"604","TM2","CW","GSL","Indole",21.895814375
"605","TM2","CW","GSL","totalaliphatic",588.893695625
"606","TM2","CW","GSL","totalindole",95.96956
"607","TM2","CW","GSL","totalGSL",684.863255625
"608","TM2","CW","GSL","logindoles",1.80050194776356
"609","WL1","C","GSL","X3MSO",0
"610","WL1","C","GSL","OHAlkenyl",88.7644433333333
"611","WL1","C","GSL","X4MSO",0
"612","WL1","C","GSL","Allyl",144.558745
"613","WL1","C","GSL","X5MSO",0
"614","WL1","C","GSL","Butenyl",647.353563333333
"615","WL1","C","GSL","X3MT",2.35556666666667
"616","WL1","C","GSL","MSOO",0
"617","WL1","C","GSL","OHI3M",0
"618","WL1","C","GSL","X4MT",0
"619","WL1","C","GSL","Flavonol16",14.1600616666667
"620","WL1","C","GSL","I3M",34.9323983333333
"621","WL1","C","GSL","Flavonol17",0
"622","WL1","C","GSL","Flavonol18",28.3059366666667
"623","WL1","C","GSL","Indole",58.3245566666667
"624","WL1","C","GSL","totalaliphatic",883.032318333333
"625","WL1","C","GSL","totalindole",93.256955
"626","WL1","C","GSL","totalGSL",976.289273333333
"627","WL1","C","GSL","logindoles",1.85360205001257
"628","WL1","CW","GSL","X3MSO",8.20605
"629","WL1","CW","GSL","OHAlkenyl",98.5048833333333
"630","WL1","CW","GSL","X4MSO",0
"631","WL1","CW","GSL","Allyl",49.7959133333333
"632","WL1","CW","GSL","X5MSO",19.7179316666667
"633","WL1","CW","GSL","Butenyl",901.045408333333
"634","WL1","CW","GSL","X3MT",26.5382866666667
"635","WL1","CW","GSL","MSOO",1.20779333333333
"636","WL1","CW","GSL","OHI3M",2.64028
"637","WL1","CW","GSL","X4MT",5.21501
"638","WL1","CW","GSL","Flavonol16",29.8886233333333
"639","WL1","CW","GSL","I3M",106.035841666667
"640","WL1","CW","GSL","Flavonol17",5.19294833333333
"641","WL1","CW","GSL","Flavonol18",32.3955
"642","WL1","CW","GSL","Indole",6.127335
"643","WL1","CW","GSL","totalaliphatic",1110.23127666667
"644","WL1","CW","GSL","totalindole",114.803456666667
"645","WL1","CW","GSL","totalGSL",1225.03473333333
"646","WL1","CW","GSL","logindoles",1.81933320722103
"647","WL2","C","GSL","X3MSO",0
"648","WL2","C","GSL","OHAlkenyl",73.0515
"649","WL2","C","GSL","X4MSO",22.80726375
"650","WL2","C","GSL","Allyl",1.89068875
"651","WL2","C","GSL","X5MSO",4.88196625
"652","WL2","C","GSL","Butenyl",527.66125625
"653","WL2","C","GSL","X3MT",0
"654","WL2","C","GSL","MSOO",11.5280625
"655","WL2","C","GSL","OHI3M",0
"656","WL2","C","GSL","X4MT",1.91953125
"657","WL2","C","GSL","Flavonol16",14.03824125
"658","WL2","C","GSL","I3M",41.13029
"659","WL2","C","GSL","Flavonol17",0
"660","WL2","C","GSL","Flavonol18",14.97584625
"661","WL2","C","GSL","Indole",10.690575
"662","WL2","C","GSL","totalaliphatic",643.74026875
"663","WL2","C","GSL","totalindole",51.820865
"664","WL2","C","GSL","totalGSL",695.56113375
"665","WL2","C","GSL","logindoles",1.67430880004725
"666","WL2","CW","GSL","X3MSO",7.09775625
"667","WL2","CW","GSL","OHAlkenyl",77.67457
"668","WL2","CW","GSL","X4MSO",34.529035
"669","WL2","CW","GSL","Allyl",17.289815
"670","WL2","CW","GSL","X5MSO",9.077415
"671","WL2","CW","GSL","Butenyl",319.9036825
"672","WL2","CW","GSL","X3MT",3.445
"673","WL2","CW","GSL","MSOO",8.5344075
"674","WL2","CW","GSL","OHI3M",0
"675","WL2","CW","GSL","X4MT",27.6482125
"676","WL2","CW","GSL","Flavonol16",29.55171125
"677","WL2","CW","GSL","I3M",113.5344975
"678","WL2","CW","GSL","Flavonol17",4.57524125
"679","WL2","CW","GSL","Flavonol18",55.0638675
"680","WL2","CW","GSL","Indole",13.99183375
"681","WL2","CW","GSL","totalaliphatic",505.19989375
"682","WL2","CW","GSL","totalindole",127.52633125
"683","WL2","CW","GSL","totalGSL",632.726225
"684","WL2","CW","GSL","logindoles",1.88169454156037
"685","WL3","C","GSL","X3MSO",4.419695
"686","WL3","C","GSL","OHAlkenyl",0
"687","WL3","C","GSL","X4MSO",16.56502
"688","WL3","C","GSL","Allyl",51.16573
"689","WL3","C","GSL","X5MSO",6.4037325
"690","WL3","C","GSL","Butenyl",374.4790725
"691","WL3","C","GSL","X3MT",13.5542925
"692","WL3","C","GSL","MSOO",7.574855
"693","WL3","C","GSL","OHI3M",0
"694","WL3","C","GSL","X4MT",12.808835
"695","WL3","C","GSL","Flavonol16",11.239335
"696","WL3","C","GSL","I3M",15.92884
"697","WL3","C","GSL","Flavonol17",0
"698","WL3","C","GSL","Flavonol18",74.445615
"699","WL3","C","GSL","Indole",28.184945
"700","WL3","C","GSL","totalaliphatic",486.9712325
"701","WL3","C","GSL","totalindole",44.113785
"702","WL3","C","GSL","totalGSL",531.0850175
"703","WL3","C","GSL","logindoles",1.51546228457483
"704","WL3","CW","GSL","X3MSO",0
"705","WL3","CW","GSL","OHAlkenyl",112.034315
"706","WL3","CW","GSL","X4MSO",57.10933
"707","WL3","CW","GSL","Allyl",6.743495
"708","WL3","CW","GSL","X5MSO",19.209315
"709","WL3","CW","GSL","Butenyl",733.19849
"710","WL3","CW","GSL","X3MT",0
"711","WL3","CW","GSL","MSOO",35.75247
"712","WL3","CW","GSL","OHI3M",0
"713","WL3","CW","GSL","X4MT",17.67597
"714","WL3","CW","GSL","Flavonol16",17.578555
"715","WL3","CW","GSL","I3M",218.43502
"716","WL3","CW","GSL","Flavonol17",0
"717","WL3","CW","GSL","Flavonol18",41.341755
"718","WL3","CW","GSL","Indole",41.760985
"719","WL3","CW","GSL","totalaliphatic",981.723385
"720","WL3","CW","GSL","totalindole",260.196005
"721","WL3","CW","GSL","totalGSL",1241.91939
"722","WL3","CW","GSL","logindoles",2.33354853458023
"723","YO10","C","GSL","X3MSO",0
"724","YO10","C","GSL","OHAlkenyl",0
"725","YO10","C","GSL","X4MSO",0
"726","YO10","C","GSL","Allyl",156.531715
"727","YO10","C","GSL","X5MSO",0
"728","YO10","C","GSL","Butenyl",633.72211
"729","YO10","C","GSL","X3MT",8.64142
"730","YO10","C","GSL","MSOO",19.94497
"731","YO10","C","GSL","OHI3M",0
"732","YO10","C","GSL","X4MT",5.97467
"733","YO10","C","GSL","Flavonol16",5.61228
"734","YO10","C","GSL","I3M",103.40667
"735","YO10","C","GSL","Flavonol17",0
"736","YO10","C","GSL","Flavonol18",41.750385
"737","YO10","C","GSL","Indole",54.70106
"738","YO10","C","GSL","totalaliphatic",824.814885
"739","YO10","C","GSL","totalindole",158.10773
"740","YO10","C","GSL","totalGSL",982.922615
"741","YO10","C","GSL","logindoles",2.197334752077
"742","YO10","CW","GSL","X3MSO",0
"743","YO10","CW","GSL","OHAlkenyl",0
"744","YO10","CW","GSL","X4MSO",14.76747
"745","YO10","CW","GSL","Allyl",18.96481
"746","YO10","CW","GSL","X5MSO",0
"747","YO10","CW","GSL","Butenyl",760.782255
"748","YO10","CW","GSL","X3MT",14.02397
"749","YO10","CW","GSL","MSOO",0
"750","YO10","CW","GSL","OHI3M",4.91581
"751","YO10","CW","GSL","X4MT",28.134585
"752","YO10","CW","GSL","Flavonol16",6.57557
"753","YO10","CW","GSL","I3M",54.064205
"754","YO10","CW","GSL","Flavonol17",0
"755","YO10","CW","GSL","Flavonol18",52.80513
"756","YO10","CW","GSL","Indole",43.983435
"757","YO10","CW","GSL","totalaliphatic",836.67309
"758","YO10","CW","GSL","totalindole",102.96345
"759","YO10","CW","GSL","totalGSL",939.63654
"760","YO10","CW","GSL","logindoles",2.001828329849
"761","YOSE8","C","GSL","X3MSO",83.62305
"762","YOSE8","C","GSL","OHAlkenyl",0
"763","YOSE8","C","GSL","X4MSO",8.5535675
"764","YOSE8","C","GSL","Allyl",288.25559
"765","YOSE8","C","GSL","X5MSO",0
"766","YOSE8","C","GSL","Butenyl",110.390975
"767","YOSE8","C","GSL","X3MT",75.9865525
"768","YOSE8","C","GSL","MSOO",0
"769","YOSE8","C","GSL","OHI3M",0
"770","YOSE8","C","GSL","X4MT",3.8035875
"771","YOSE8","C","GSL","Flavonol16",6.6348875
"772","YOSE8","C","GSL","I3M",13.849365
"773","YOSE8","C","GSL","Flavonol17",0
"774","YOSE8","C","GSL","Flavonol18",49.5446475
"775","YOSE8","C","GSL","Indole",43.4042275
"776","YOSE8","C","GSL","totalaliphatic",570.6133225
"777","YOSE8","C","GSL","totalindole",57.2535925
"778","YOSE8","C","GSL","totalGSL",627.866915
"779","YOSE8","C","GSL","logindoles",1.68012266212616
"780","YOSE8","CW","GSL","X3MSO",22.499275
"781","YOSE8","CW","GSL","OHAlkenyl",0
"782","YOSE8","CW","GSL","X4MSO",12.3089325
"783","YOSE8","CW","GSL","Allyl",129.83515
"784","YOSE8","CW","GSL","X5MSO",3.93749
"785","YOSE8","CW","GSL","Butenyl",251.82941
"786","YOSE8","CW","GSL","X3MT",0
"787","YOSE8","CW","GSL","MSOO",50.1613625
"788","YOSE8","CW","GSL","OHI3M",0
"789","YOSE8","CW","GSL","X4MT",10.4403525
"790","YOSE8","CW","GSL","Flavonol16",9.5320225
"791","YOSE8","CW","GSL","I3M",55.736195
"792","YOSE8","CW","GSL","Flavonol17",8.26471
"793","YOSE8","CW","GSL","Flavonol18",22.33046
"794","YOSE8","CW","GSL","Indole",6.8015425
"795","YOSE8","CW","GSL","totalaliphatic",481.0119725
"796","YOSE8","CW","GSL","totalindole",62.5377375
"797","YOSE8","CW","GSL","totalGSL",543.54971
"798","YOSE8","CW","GSL","logindoles",1.63487191882021
