"","Population","mf","Elevation","X3MSO_C","X3MSO_CW","OHAlkenyl_C","OHAlkenyl_CW","X4MSO_C","X4MSO_CW","Allyl_C","Allyl_CW","X5MSO_C","X5MSO_CW","Butenyl_C","Butenyl_CW","X3MT_C","X3MT_CW","MSOO_C","MSOO_CW","OHI3M_C","OHI3M_CW","X4MT_C","X4MT_CW","I3M_C","I3M_CW","Indole_C","Indole_CW","totalaliphatic_C","totalaliphatic_CW","totalindole_C","totalindole_CW","totalGSL_C","totalGSL_CW"
"22","DPR",3,1018.591893,14.7274,25.722425,0,0,32.80556,28.30973,87.744375,152.131675,9.384725,0,539.68285,355.215655,14.587045,13.871165,10.028855,7.995515,0,0,6.20933,5.942965,74.06626,512.914505,6.761915,12.20117,715.17014,589.18913,80.828175,525.115675,795.998315,1114.304805
"23","DPR",4,1018.591893,22.80636,11.68046,0,0,37.5803,6.798465,142.000795,91.800775,0,0,163.09737,641.68654,41.384695,57.79906,6.702045,8.32596,0,0,19.80796,29.5454,65.030815,36.64558,22.56958,18.70291,433.379525,847.63666,87.600395,55.34849,520.97992,902.98515
"24","DPR",10,1018.591893,11.997415,0,0,0,26.99399,44.49602,43.51676,13.89088,11.09419,0,542.42049,1082.75269,6.18438,0,0,85.75382,0,0,9.556005,29.11982,64.066365,22.56154,10.08345,36.48065,651.76323,1256.01323,74.149815,59.04219,725.913045,1315.05542
"25","IH",1,454.1298385,42.47265,85.03542,0,0,0,0,150.976945,793.118895,0,30.07087,417.223665,198.001145,15.34481,23.23208,29.192355,15.90276,0,0,0,6.7478,14.09034,53.323175,21.810135,25.80148,655.210425,1152.10897,35.900475,79.124655,691.1109,1231.233625
"26","IH",9,454.1298385,46.82732,0,0,0,0,0,177.18735,0,0,32.06412,22.48878,1103.8772,33.32777,0,0,0,0,0,0,0,0,141.978,102.80748,26.77859,279.83122,1135.94132,102.80748,168.75659,382.6387,1304.69791
"27","IH",10,454.1298385,155.246455,0,0,0,0,51.73941,1036.46445,17.52366,28.7411,0,22.880205,258.49966,35.383795,0,5.659735,24.22189,0,0,4.789215,71.76653,113.317565,51.65844,8.488835,80.46079,1289.164955,423.75115,121.8064,132.11923,1410.971355,555.87038
"28","KC2",3,948.1707317,30.22823,61.47251,0,0,25.58624,72.23001,124.60755,158.40591,0,0,382.3923,378.20834,35.81193,99.78745,0,10.12743,0,0,11.39535,39.44743,87.50574,61.01111,0,5.42003,610.0216,819.67908,87.50574,66.43114,697.52734,886.11022
"29","KC2",11,948.1707317,24.9567,66.856,194.03171,134.40587,25.32308,23.04888,212.60703,304.01434,0,0,483.89395,524.24683,0,54.22534,0,0,0,0,8.508,23.39249,0,0,5.28713,7.63928,949.32047,1130.18975,5.28713,7.63928,954.6076,1137.82903
"30","LC",1,1362.3,16.551305,44.77148,0,0,0,21.27059,479.479155,280.658675,0,0,43.24159,129.987005,39.638905,42.56778,8.008715,13.47441,0,0,0,9.44319,0,43.59665,56.99687,34.279795,586.91967,542.17313,56.99687,77.876445,643.91654,620.049575
"31","LC",3,1362.3,0,41.48827,0,0,54.79696,0,34.41756,298.67767,0,0,533.92438,304.50839,0,15.77964,55.0992,23.44389,0,14.31229,9.4424,0,52.48858,184.47427,120.94405,0,687.6805,683.89786,173.43263,198.78656,861.11313,882.68442
"32","LC",7,1362.3,24.80297,101.71136,0,0,26.2974,21.04375,274.66934,607.53119,0,0,383.35526,452.87094,33.93338,28.90315,22.79669,0,0,52.6206,9.81245,0,125.99339,1036.76758,6.65563,11.04292,775.66749,1212.06039,132.64902,1100.4311,908.31651,2312.49149
"33","LC",8,1362.3,38.24234,46.48981,0,0,18.708555,14.949035,314.0567,330.594025,0,4.923155,202.744775,262.21608,21.102415,17.918245,43.86311,47.85472,0,90.17571,0,0,156.551325,249.54233,2.75794,8.42649,638.717895,724.94507,159.309265,348.14453,798.02716,1073.0896
"34","LC",10,1362.3,19.05222,45.84322,0,0,7.46026,13.90641,112.92776,479.02588,0,17.9937,329.91315,183.12926,18.795905,10.44307,9.01992,4.833195,0,4.462405,8.149815,4.62451,41.101265,276.20898,44.02903,26.105675,505.31903,759.799245,85.130295,306.77706,590.449325,1066.576305
"35","LV1",9,2593.416641,0,0,0,0,135.64213,42.09427,13.27898,19.80552,20.865365,0,1481.31903,807.17084,0,0,132.16763,47.87488,17.778655,66.852935,14.77233,16.55035,230.181375,34.62925,4.12088,4.337215,1798.045465,933.49586,252.08091,105.8194,2050.126375,1039.31526
"36","LV1",10,2593.416641,12.44049,0,0,54.947185,33.206735,73.141135,169.271805,11.79222,5.63326,6.05955,483.46955,683.5412,30.265515,0,41.962675,52.480505,0,13.180015,8.140705,7.186265,31.39612,47.373925,27.996325,43.59454,784.390735,889.14806,59.392445,104.14848,843.78318,993.29654
