Date,Time,Unit,Value
11/16/21,19:30:00,C,24
11/16/21,20:30:00,C,24
11/16/21,21:30:00,C,24
11/16/21,22:30:00,C,24
11/16/21,23:30:00,C,24.5
11/17/21,0:30:00,C,25
11/17/21,1:30:00,C,25
11/17/21,2:30:00,C,25
11/17/21,3:30:00,C,25
11/17/21,4:30:00,C,25
11/17/21,5:30:00,C,25
11/17/21,6:30:00,C,25
11/17/21,7:30:00,C,25
11/17/21,8:30:00,C,25
11/17/21,9:30:00,C,24.5
11/17/21,10:30:00,C,24.5
11/17/21,11:30:00,C,24.5
11/17/21,12:30:00,C,24.5
11/17/21,13:30:00,C,24.5
11/17/21,14:30:00,C,24.5
11/17/21,15:30:00,C,24.5
11/17/21,16:30:00,C,24.5
11/17/21,17:30:00,C,24.5
11/17/21,18:30:00,C,24
11/17/21,19:30:00,C,24
11/17/21,20:30:00,C,24
11/17/21,21:30:00,C,24
11/17/21,22:30:00,C,24
11/17/21,23:30:00,C,24.5
11/18/21,0:30:00,C,24.5
11/18/21,1:30:00,C,24.5
11/18/21,2:30:00,C,24.5
11/18/21,3:30:00,C,24.5
11/18/21,4:30:00,C,24.5
11/18/21,5:30:00,C,24.5
11/18/21,6:30:00,C,24.5
11/18/21,7:30:00,C,24.5
11/18/21,8:30:00,C,24.5
11/18/21,9:30:00,C,25
11/18/21,10:30:00,C,25
11/18/21,11:30:00,C,25
11/18/21,12:30:00,C,25
11/18/21,13:30:00,C,25
11/18/21,14:30:00,C,25
11/18/21,15:30:00,C,25
11/18/21,16:30:00,C,25
11/18/21,17:30:00,C,24.5
11/18/21,18:30:00,C,24
11/18/21,19:30:00,C,24
11/18/21,20:30:00,C,24
11/18/21,21:30:00,C,24
11/18/21,22:30:00,C,24
11/18/21,23:30:00,C,24.5
11/19/21,0:30:00,C,25
11/19/21,1:30:00,C,24.5
11/19/21,2:30:00,C,24.5
11/19/21,3:30:00,C,24.5
11/19/21,4:30:00,C,24.5
11/19/21,5:30:00,C,24.5
11/19/21,6:30:00,C,25
11/19/21,7:30:00,C,25
11/19/21,8:30:00,C,25
11/19/21,9:30:00,C,24.5
11/19/21,10:30:00,C,25
11/19/21,11:30:00,C,25
11/19/21,12:30:00,C,24.5
11/19/21,13:30:00,C,24.5
11/19/21,14:30:00,C,24.5
11/19/21,15:30:00,C,24.5
11/19/21,16:30:00,C,24.5
11/19/21,17:30:00,C,24.5
11/19/21,18:30:00,C,24
11/19/21,19:30:00,C,24
11/19/21,20:30:00,C,24
11/19/21,21:30:00,C,24
11/19/21,22:30:00,C,24
11/19/21,23:30:00,C,24.5
11/20/21,0:30:00,C,24.5
11/20/21,1:30:00,C,24.5
11/20/21,2:30:00,C,24.5
11/20/21,3:30:00,C,24.5
11/20/21,4:30:00,C,24.5
11/20/21,5:30:00,C,24.5
11/20/21,6:30:00,C,24.5
11/20/21,7:30:00,C,24.5
11/20/21,8:30:00,C,24.5
11/20/21,9:30:00,C,24.5
11/20/21,10:30:00,C,24.5
11/20/21,11:30:00,C,24.5
11/20/21,12:30:00,C,24.5
11/20/21,13:30:00,C,24.5
11/20/21,14:30:00,C,24.5
11/20/21,15:30:00,C,24.5
11/20/21,16:30:00,C,24.5
11/20/21,17:30:00,C,24.5
11/20/21,18:30:00,C,24
11/20/21,19:30:00,C,24
11/20/21,20:30:00,C,24
11/20/21,21:30:00,C,24
11/20/21,22:30:00,C,24
11/20/21,23:30:00,C,24.5
11/21/21,0:30:00,C,24.5
11/21/21,1:30:00,C,24.5
11/21/21,2:30:00,C,24.5
11/21/21,3:30:00,C,24.5
11/21/21,4:30:00,C,24.5
11/21/21,5:30:00,C,24.5
11/21/21,6:30:00,C,24.5
11/21/21,7:30:00,C,24.5
11/21/21,8:30:00,C,24.5
11/21/21,9:30:00,C,25
11/21/21,10:30:00,C,24.5
11/21/21,11:30:00,C,24.5
11/21/21,12:30:00,C,24.5
11/21/21,13:30:00,C,24.5
11/21/21,14:30:00,C,24.5
11/21/21,15:30:00,C,24.5
11/21/21,16:30:00,C,24.5
11/21/21,17:30:00,C,24.5
11/21/21,18:30:00,C,24
11/21/21,19:30:00,C,24
11/21/21,20:30:00,C,24
11/21/21,21:30:00,C,24
11/21/21,22:30:00,C,24
11/21/21,23:30:00,C,24.5
11/22/21,0:30:00,C,24.5
11/22/21,1:30:00,C,24.5
11/22/21,2:30:00,C,24.5
11/22/21,3:30:00,C,24.5
11/22/21,4:30:00,C,24.5
11/22/21,5:30:00,C,24.5
11/22/21,6:30:00,C,24.5
11/22/21,7:30:00,C,24.5
11/22/21,8:30:00,C,24.5
11/22/21,9:30:00,C,24.5
11/22/21,10:30:00,C,25
11/22/21,11:30:00,C,25
11/22/21,12:30:00,C,25
11/22/21,13:30:00,C,25
11/22/21,14:30:00,C,25
11/22/21,15:30:00,C,25
11/22/21,16:30:00,C,25
11/22/21,17:30:00,C,25
11/22/21,18:30:00,C,24
11/22/21,19:30:00,C,24
11/22/21,20:30:00,C,24
11/22/21,21:30:00,C,24
11/22/21,22:30:00,C,24
11/22/21,23:30:00,C,25
11/23/21,0:30:00,C,25
11/23/21,1:30:00,C,25
11/23/21,2:30:00,C,25
11/23/21,3:30:00,C,25
11/23/21,4:30:00,C,25
11/23/21,5:30:00,C,25
11/23/21,6:30:00,C,25
11/23/21,7:30:00,C,25
11/23/21,8:30:00,C,25
11/23/21,9:30:00,C,24.5
11/23/21,10:30:00,C,24.5
11/23/21,11:30:00,C,24.5
11/23/21,12:30:00,C,25
11/23/21,13:30:00,C,24.5
11/23/21,14:30:00,C,24.5
11/23/21,15:30:00,C,24.5
11/23/21,16:30:00,C,24.5
11/23/21,17:30:00,C,24.5
11/23/21,18:30:00,C,24
11/23/21,19:30:00,C,24
11/23/21,20:30:00,C,24
11/23/21,21:30:00,C,24
11/23/21,22:30:00,C,23.5
11/23/21,23:30:00,C,24.5
11/24/21,0:30:00,C,24.5
11/24/21,1:30:00,C,24.5
11/24/21,2:30:00,C,24.5
11/24/21,3:30:00,C,25
11/24/21,4:30:00,C,24.5
11/24/21,5:30:00,C,24.5
11/24/21,6:30:00,C,24.5
11/24/21,7:30:00,C,24.5
11/24/21,8:30:00,C,24.5
11/24/21,9:30:00,C,25
11/24/21,10:30:00,C,24.5
11/24/21,11:30:00,C,24.5
11/24/21,12:30:00,C,24.5
11/24/21,13:30:00,C,24.5
11/24/21,14:30:00,C,24.5
11/24/21,15:30:00,C,24.5
11/24/21,16:30:00,C,24.5
11/24/21,17:30:00,C,24.5
11/24/21,18:30:00,C,24
11/24/21,19:30:00,C,24
11/24/21,20:30:00,C,24
11/24/21,21:30:00,C,24
11/24/21,22:30:00,C,24
11/24/21,23:30:00,C,24.5
11/25/21,0:30:00,C,24.5
11/25/21,1:30:00,C,24.5
11/25/21,2:30:00,C,24.5
11/25/21,3:30:00,C,24.5
11/25/21,4:30:00,C,24.5
11/25/21,5:30:00,C,24.5
11/25/21,6:30:00,C,24.5
11/25/21,7:30:00,C,24.5
11/25/21,8:30:00,C,24.5
11/25/21,9:30:00,C,24.5
11/25/21,10:30:00,C,25
11/25/21,11:30:00,C,24.5
11/25/21,12:30:00,C,25
11/25/21,13:30:00,C,24.5
11/25/21,14:30:00,C,24.5
11/25/21,15:30:00,C,24.5
11/25/21,16:30:00,C,24.5
11/25/21,17:30:00,C,25
11/25/21,18:30:00,C,24
11/25/21,19:30:00,C,24
11/25/21,20:30:00,C,24
11/25/21,21:30:00,C,24
11/25/21,22:30:00,C,24
11/25/21,23:30:00,C,24.5
11/26/21,0:30:00,C,24.5
11/26/21,1:30:00,C,24.5
11/26/21,2:30:00,C,24.5
11/26/21,3:30:00,C,24.5
11/26/21,4:30:00,C,24.5
11/26/21,5:30:00,C,24.5
11/26/21,6:30:00,C,24.5
11/26/21,7:30:00,C,24.5
11/26/21,8:30:00,C,24.5
11/26/21,9:30:00,C,24.5
11/26/21,10:30:00,C,25
11/26/21,11:30:00,C,24.5
11/26/21,12:30:00,C,25
11/26/21,13:30:00,C,24.5
11/26/21,14:30:00,C,25
11/26/21,15:30:00,C,25
11/26/21,16:30:00,C,25
11/26/21,17:30:00,C,24.5
11/26/21,18:30:00,C,24
11/26/21,19:30:00,C,24
11/26/21,20:30:00,C,24
11/26/21,21:30:00,C,24
11/26/21,22:30:00,C,24
11/26/21,23:30:00,C,24.5
11/27/21,0:30:00,C,25
11/27/21,1:30:00,C,24.5
11/27/21,2:30:00,C,24.5
11/27/21,3:30:00,C,24.5
11/27/21,4:30:00,C,24.5
11/27/21,5:30:00,C,24.5
11/27/21,6:30:00,C,24.5
11/27/21,7:30:00,C,24.5
11/27/21,8:30:00,C,25
11/27/21,9:30:00,C,25
11/27/21,10:30:00,C,25
11/27/21,11:30:00,C,25
11/27/21,12:30:00,C,25
11/27/21,13:30:00,C,25
11/27/21,14:30:00,C,25
11/27/21,15:30:00,C,25
11/27/21,16:30:00,C,25
11/27/21,17:30:00,C,25
11/27/21,18:30:00,C,24
11/27/21,19:30:00,C,24
11/27/21,20:30:00,C,24
11/27/21,21:30:00,C,24
11/27/21,22:30:00,C,24
11/27/21,23:30:00,C,25
11/28/21,0:30:00,C,25
11/28/21,1:30:00,C,25
11/28/21,2:30:00,C,25
11/28/21,3:30:00,C,25
11/28/21,4:30:00,C,25
11/28/21,5:30:00,C,25
11/28/21,6:30:00,C,25
11/28/21,7:30:00,C,25
11/28/21,8:30:00,C,25
11/28/21,9:30:00,C,25
11/28/21,10:30:00,C,25
11/28/21,11:30:00,C,25
11/28/21,12:30:00,C,25
11/28/21,13:30:00,C,24.5
11/28/21,14:30:00,C,25
11/28/21,15:30:00,C,25
11/28/21,16:30:00,C,25
11/28/21,17:30:00,C,25
11/28/21,18:30:00,C,24
11/28/21,19:30:00,C,24
11/28/21,20:30:00,C,24
11/28/21,21:30:00,C,24
11/28/21,10:30:00,C,24
11/28/21,11:30:00,C,24.5
11/29/21,12:30:00,C,24.5
11/29/21,1:30:00,C,25
11/29/21,2:30:00,C,24.5
11/29/21,3:30:00,C,24.5
11/29/21,4:30:00,C,25
11/29/21,5:30:00,C,25
11/29/21,6:30:00,C,25
11/29/21,7:30:00,C,24.5
11/29/21,8:30:00,C,24.5
11/29/21,9:30:00,C,25
11/29/21,10:30:00,C,25
11/29/21,11:30:00,C,25
11/29/21,12:30:00,C,25
11/29/21,1:30:00,C,25
11/29/21,2:30:00,C,25
11/29/21,3:30:00,C,25
11/29/21,4:30:00,C,25
11/29/21,5:30:00,C,25
11/29/21,6:30:00,C,24
11/29/21,7:30:00,C,24
11/29/21,8:30:00,C,24
11/29/21,9:30:00,C,24
11/29/21,10:30:00,C,24
11/29/21,11:30:00,C,25
11/30/21,12:30:00,C,25
11/30/21,1:30:00,C,25
11/30/21,2:30:00,C,25
11/30/21,3:30:00,C,25
11/30/21,4:30:00,C,25
11/30/21,5:30:00,C,25
11/30/21,6:30:00,C,25
11/30/21,7:30:00,C,25
11/30/21,8:30:00,C,25
11/30/21,9:30:00,C,25
11/30/21,10:30:00,C,25
11/30/21,11:30:00,C,25
11/30/21,12:30:00,C,25
11/30/21,1:30:00,C,25
11/30/21,2:30:00,C,25
11/30/21,3:30:00,C,25
11/30/21,4:30:00,C,25
11/30/21,5:30:00,C,25
11/30/21,6:30:00,C,24
11/30/21,7:30:00,C,24
11/30/21,8:30:00,C,24
11/30/21,9:30:00,C,24
11/30/21,10:30:00,C,24
11/30/21,11:30:00,C,24.5
12/1/21,12:30:00,C,25
12/1/21,1:30:00,C,25
12/1/21,2:30:00,C,25
12/1/21,3:30:00,C,25
12/1/21,4:30:00,C,25
12/1/21,5:30:00,C,25
12/1/21,6:30:00,C,24.5
12/1/21,7:30:00,C,25
12/1/21,8:30:00,C,25
12/1/21,9:30:00,C,24.5
12/1/21,10:30:00,C,24.5
12/1/21,11:30:00,C,25
12/1/21,12:30:00,C,25
12/1/21,1:30:00,C,25
12/1/21,2:30:00,C,24.5
12/1/21,3:30:00,C,25
12/1/21,4:30:00,C,25
12/1/21,5:30:00,C,25
12/1/21,6:30:00,C,24
12/1/21,7:30:00,C,24
12/1/21,8:30:00,C,24
12/1/21,9:30:00,C,24
12/1/21,10:30:00,C,24
12/1/21,11:30:00,C,24.5
12/2/21,12:30:00,C,24.5
12/2/21,1:30:00,C,25
12/2/21,2:30:00,C,24.5
12/2/21,3:30:00,C,24.5
12/2/21,4:30:00,C,24.5
12/2/21,5:30:00,C,25
12/2/21,6:30:00,C,24.5
12/2/21,7:30:00,C,24.5
12/2/21,8:30:00,C,25
12/2/21,9:30:00,C,25
12/2/21,10:30:00,C,24.5
12/2/21,11:30:00,C,24.5
12/2/21,12:30:00,C,24.5
12/2/21,1:30:00,C,24.5
12/2/21,2:30:00,C,24.5
12/2/21,3:30:00,C,24.5
12/2/21,4:30:00,C,24.5
12/2/21,5:30:00,C,24.5
12/2/21,6:30:00,C,24
12/2/21,7:30:00,C,24
12/2/21,8:30:00,C,24
12/2/21,9:30:00,C,24
12/2/21,10:30:00,C,24
12/2/21,11:30:00,C,24.5
12/3/21,12:30:00,C,24.5
12/3/21,1:30:00,C,24.5
12/3/21,2:30:00,C,24.5
12/3/21,3:30:00,C,24.5
12/3/21,4:30:00,C,24.5
12/3/21,5:30:00,C,24.5
12/3/21,6:30:00,C,24.5
12/3/21,7:30:00,C,24.5
12/3/21,8:30:00,C,24.5
12/3/21,9:30:00,C,24.5
12/3/21,10:30:00,C,25
12/3/21,11:30:00,C,24.5
12/3/21,12:30:00,C,25
12/3/21,1:30:00,C,24.5
12/3/21,2:30:00,C,25
12/3/21,3:30:00,C,24.5
12/3/21,4:30:00,C,25
12/3/21,5:30:00,C,24.5
12/3/21,6:30:00,C,24
12/3/21,7:30:00,C,24
12/3/21,8:30:00,C,24
12/3/21,9:30:00,C,24
12/3/21,10:30:00,C,24
12/3/21,11:30:00,C,24.5
12/4/21,12:30:00,C,24.5
12/4/21,1:30:00,C,25
12/4/21,2:30:00,C,24.5
12/4/21,3:30:00,C,24.5
12/4/21,4:30:00,C,24.5
12/4/21,5:30:00,C,24.5
12/4/21,6:30:00,C,24.5
12/4/21,7:30:00,C,24.5
12/4/21,8:30:00,C,25
12/4/21,9:30:00,C,24.5
12/4/21,10:30:00,C,25
12/4/21,11:30:00,C,24.5
12/4/21,12:30:00,C,24.5
12/4/21,1:30:00,C,24.5
12/4/21,2:30:00,C,24.5
12/4/21,3:30:00,C,24.5
12/4/21,4:30:00,C,24.5
12/4/21,5:30:00,C,24.5
12/4/21,6:30:00,C,24
12/4/21,7:30:00,C,24
12/4/21,8:30:00,C,24
12/4/21,9:30:00,C,24
12/4/21,10:30:00,C,23.5
12/4/21,11:30:00,C,24.5
12/5/21,12:30:00,C,24.5
12/5/21,1:30:00,C,24.5
12/5/21,2:30:00,C,24.5
12/5/21,3:30:00,C,24.5
12/5/21,4:30:00,C,24.5
12/5/21,5:30:00,C,24.5
12/5/21,6:30:00,C,24.5
12/5/21,7:30:00,C,24.5
12/5/21,8:30:00,C,24.5
12/5/21,9:30:00,C,24.5
12/5/21,10:30:00,C,25
12/5/21,11:30:00,C,25
12/5/21,12:30:00,C,25
12/5/21,1:30:00,C,25
12/5/21,2:30:00,C,25
12/5/21,3:30:00,C,25
12/5/21,4:30:00,C,25
12/5/21,5:30:00,C,24.5
12/5/21,6:30:00,C,24
12/5/21,7:30:00,C,24
12/5/21,8:30:00,C,24
12/5/21,9:30:00,C,24
12/5/21,10:30:00,C,24
12/5/21,11:30:00,C,24.5
12/6/21,12:30:00,C,24.5
12/6/21,1:30:00,C,24.5
12/6/21,2:30:00,C,24.5
12/6/21,3:30:00,C,24.5
12/6/21,4:30:00,C,24.5
12/6/21,5:30:00,C,24.5
12/6/21,6:30:00,C,24.5
12/6/21,7:30:00,C,24.5
12/6/21,8:30:00,C,24.5
12/6/21,9:30:00,C,24.5
12/6/21,10:30:00,C,25
12/6/21,11:30:00,C,24.5
12/6/21,12:30:00,C,25
12/6/21,1:30:00,C,25
12/6/21,2:30:00,C,25
12/6/21,3:30:00,C,25
12/6/21,4:30:00,C,25
12/6/21,5:30:00,C,25
12/6/21,6:30:00,C,24
12/6/21,7:30:00,C,24
12/6/21,8:30:00,C,24
12/6/21,9:30:00,C,24
12/6/21,10:30:00,C,24
12/6/21,11:30:00,C,24.5
12/7/21,12:30:00,C,25
12/7/21,1:30:00,C,25
12/7/21,2:30:00,C,25
12/7/21,3:30:00,C,25
12/7/21,4:30:00,C,25
12/7/21,5:30:00,C,25
12/7/21,6:30:00,C,25
12/7/21,7:30:00,C,25
12/7/21,8:30:00,C,25
12/7/21,9:30:00,C,24.5
12/7/21,10:30:00,C,24.5
12/7/21,11:30:00,C,24.5
12/7/21,12:30:00,C,25
12/7/21,1:30:00,C,25
12/7/21,2:30:00,C,25
12/7/21,3:30:00,C,25
12/7/21,4:30:00,C,25
