"","Population","treatment","biomass","Rack","Location","mf","rep","leaf_type","X3MSO_5.2","OH.Alkenyl_6","X4MSO_7.1","Allyl_7.4","X5MSO_10.2","Butenyl_12.1","X3MT_13.6","MSOO_13.8","OH.I3M_15.1","X4MT._15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Indole_18.8","key"
"33","CALO","CW",0.33,"D6",6,18,1,"induced",67.24567,0,0,273.17181,0,0,24.20741,0,0,0,0,0,0,60.65739,66.0415,"D6 6"
"34","CALO","CW",0.43,"D5",12,18,2,"induced",42.77325,0,14.84098,97.54661,0,375.1626,111.96899,0,0,19.09227,53.85435,0,14.98194,117.979,15.00362,"D5 12"
"35","CP2","C",0.32,"D1",4,1,1,"induced",0,0,42.52415,0,23.82374,848.00671,0,0,0,8.73679,35.5279,37.21616,14.42536,11.97278,0,"D1 4"
"36","CP2","C",0.11,"D1",24,1,2,"induced",0,0,124.75429,0,24.53423,520.96783,0,29.17042,0,8.25692,11.06586,36.98803,7.49234,23.65588,57.55869,"D1 24"
"37","CP2","CW",0.2,"D1",42,1,1,"induced",0,0,82.67404,14.52855,52.10976,1390.60022,0,10.26663,0,7.0485,28.83949,205.15193,18.16978,30.87436,6.63301,"D1 42"
"38","CP2","CW",0.52,"D1",23,1,2,"induced",0,0,153.85724,0,56.13031,897.72888,0,22.45121,0,27.01082,23.93227,123.88816,6.41065,12.60687,0,"D1 23"
"39","CP2","C",0.38,"D1",9,2,1,"induced",0,0,74.39651,0,16.00237,658.50305,0,25.17309,0,16.78879,44.8307,55.56231,34.66566,18.14363,0,"D1 9"
"40","CP2","C",0.44,"D2",27,2,2,"induced",0,0,50.63502,0,26.78605,783.45776,0,0,0,10.38745,87.59834,66.64619,30.67146,77.24911,7.03281,"D2 27"
"41","CP2","CW",0.24,"D3",16,2,1,"induced",0,0,11.38918,0,16.78142,288.27362,0,0,18.49526,0,12.47705,225.08507,0,63.39824,32.87956,"D3 16"
"42","CP2","CW",0.31,"D6",38,2,2,"induced",0,0,27.72241,13.53152,17.5499,380.96811,0,0,0,11.81545,62.60015,72.06194,0,62.73006,0,"D6 38"
"43","CP2","C",0.09,"D6",15,7,1,"induced",0,50.9123,0,0,14.44473,378.0506,0,0,0,0,20.1889,0,25.74005,61.7542,13.63705,"D6 15"
"44","CP2","C",0.36,"D5",26,7,2,"induced",0,0,0,34.32335,29.93956,1791.53198,0,107.48951,0,13.61746,25.69685,364.98895,12.79983,90.01038,26.32937,"D5 26"
"45","CP2","CW",0.33,"D2",7,7,1,"induced",0,0,77.07464,11.80876,19.86656,341.54474,0,0,0,0,37.38148,46.86375,0,8.63172,8.10945,"D2 7"
"46","CP2","CW",0.52,"D5",35,7,2,"induced",0,0,0,42.43285,0,1568.92542,0,0,0,0,10.08062,61.5944,17.67485,49.33968,10.81085,"D5 35"
"47","CP2","C",0.3,"D1",2,11,1,"induced",0,0,36.96466,18.29848,28.06921,973.66455,0,14.32415,0,0,22.21723,73.05537,7.8762,8.65733,0,"D1 2"
"48","CP2","C",0.23,"D4",12,11,2,"induced",17.23614,0,0,107.46447,0,119.57926,37.78591,0,0,0,7.37303,12.6566,0,9.43705,9.7636,"D4 12"
"49","CP2","CW",0.68,"D4",37,11,1,"induced",0,0,74.28226,0,0,605.82324,0,62.08115,0,26.57166,42.66348,0,18.08109,51.86441,10.93943,"D4 37"
"50","CP2","CW",0.12,"D1",10,11,2,"induced",0,0,29.0639,0,18.63766,679.54559,0,0,0,0,41.01753,33.97436,0,9.30078,0,"D1 10"
"51","CP2","C",0.24,"D1",1,13,1,"induced",0,0,36.58859,0,0,152.43221,0,0,0,0,34.75586,25.46206,6.93054,9.44801,0,"D1 1"
"52","CP2","C",0.44,"D2",3,13,2,"induced",0,0,78.57601,16.25497,13.38577,546.76685,0,10.70237,0,0,20.96443,93.44359,0,19.96854,38.52455,"D2 3"
"53","CP2","CW",0.12,"D6",14,13,1,"induced",17.48316,0,0,1289.0813,15.39783,36.53189,0,0,0,0,13.34556,108.05408,13.75869,113.23907,36.31155,"D6 14"
"54","CP2","CW",0.3,"D3",32,13,2,"induced",0,0,51.37107,0,0,368.67648,0,0,0,0,11.58544,38.80024,0,25.62643,32.32697,"D3 32"
"55","CP2","C",0.38,"D3",40,14,1,"induced",0,0,46.84695,0,20.27149,295.78854,0,0,0,0,21.12856,29.91165,0,20.59672,5.46657,"D3 40"
"56","CP2","C",0.18,"D5",19,14,2,"induced",0,0,62.58635,0,0,225.57936,0,0,0,0,29.60489,44.85447,0,52.26649,43.35909,"D5 19"
"57","CP2","CW",0.41,"D6",5,14,1,"induced",43.64252,0,0,233.89444,0,0,39.50008,0,0,0,0,0,21.30409,85.27642,56.79868,"D6 5"
"58","CP2","CW",0.24,"D4",16,14,2,"induced",0,0,36.48586,0,0,212.90941,0,0,0,0,16.12886,450.77869,0,49.77603,15.42371,"D4 16"
"59","CP2","C",0.26,"D2",46,15,1,"induced",0,0,54.54426,0,26.16615,634.88953,0,0,0,0,19.43993,166.84341,0,20.13812,10.19923,"D2 46"
"60","CP2","C",0.37,"D5",39,15,2,"induced",21.85658,0,41.71041,63.99485,0,336.27917,23.85478,19.0929,0,20.87787,25.76801,10.18877,23.55862,65.24863,11.68213,"D5 39"
"61","CP2","CW",0.48,"D6",31,15,1,"induced",0,41.50437,0,51.53999,26.62716,223.38731,0,0,0,15.78724,34.36028,87.23938,7.55919,32.42812,0,"D6 31"
"62","CP2","CW",0.42,"D3",5,15,2,"induced",0,101.63408,33.70129,0,22.01256,389.62231,0,0,0,0,20.24488,221.47336,0,40.10144,10.82282,"D3 5"
"63","CP2","C",0.49,"D5",29,17,1,"induced",60.59251,0,0,373.15808,0,0,24.80745,0,0,0,9.90102,14.25257,0,76.99364,47.47741,"D5 29"
"64","CP2","C",0.34,"D2",10,17,2,"induced",0,0,0,0,21.39416,485.91031,0,0,0,0,16.68384,16.9529,7.32297,22.11771,49.43908,"D2 10"
"65","CP2","CW",0.23,"D2",21,17,1,"induced",0,0,21.73442,0,14.45303,351.58292,0,0,0,0,22.19303,53.99671,0,13.15908,7.88274,"D2 21"
"66","CP2","CW",0.33,"D1",45,17,2,"induced",0,0,56.76164,10.04725,0,217.28288,0,0,0,8.19362,10.53104,159.98459,0,21.93978,6.04298,"D1 45"
"67","DPR","C",0.19,"D1",22,3,1,"induced",29.4548,0,46.23318,175.48875,0,429.05521,29.17409,20.05771,0,12.41866,30.00908,95.02926,0,24.89922,5.6555,"D1 22"
"68","DPR","C",0.57,"D2",47,3,2,"induced",0,0,19.37794,0,18.76945,650.31049,0,0,0,0,39.93435,53.10326,10.80022,33.36295,7.86833,"D2 47"
"69","DPR","CW",0.17,"D2",17,3,1,"induced",35.44159,0,43.94953,166.12114,0,402.68689,27.74233,15.99103,0,11.88593,10.28519,636.27832,0,35.84346,7.44665,"D2 17"
"70","DPR","CW",0.12,"D3",17,3,2,"induced",16.00326,0,12.66993,138.14221,0,307.74442,0,0,0,0,14.45084,389.55069,0,52.95395,16.95569,"D3 17"
"71","DPR","C",0.32,"D6",23,4,1,"induced",45.61272,0,0,284.00159,0,172.46387,82.76939,13.40409,0,0,43.15924,110.20289,0,22.86841,0,"D6 23"
"72","DPR","C",0.56,"D6",1,4,2,"induced",0,0,75.1606,0,0,153.73087,0,0,0,39.61592,25.87471,19.85874,27.76761,108.17542,45.13916,"D6 1"
"73","DPR","CW",0.12,"D6",35,4,1,"induced",23.36092,0,13.59693,163.42996,0,284.0145,115.59812,0,0,15.88478,21.93432,17.74509,0,32.66778,0,"D6 35"
"74","DPR","CW",0.21,"D6",18,4,2,"induced",0,0,0,20.17159,0,999.35858,0,16.65192,0,43.20602,16.66133,55.54607,0,26.06858,37.40582,"D6 18"
"75","DPR","C",0.51,"D3",21,10,1,"induced",23.99483,0,22.29828,87.03352,0,219.73209,12.36876,0,0,0,12.4117,38.94396,0,28.17769,0,"D3 21"
"76","DPR","C",0.2,"D5",15,10,2,"induced",0,0,31.6897,0,22.18838,865.10889,0,0,0,19.11201,26.54036,89.18877,0,58.75656,20.1669,"D5 15"
"77","DPR","CW",0.23,"D4",18,10,1,"induced",0,0,44.49602,13.89088,0,1082.75269,0,85.75382,0,29.11982,25.72775,22.56154,0,35.48731,36.48065,"D4 18"
"78","IH","C",0.09,"D4",29,1,1,"induced",0,0,0,15.99045,0,834.44733,0,45.2158,0,0,27.29073,0,18.84243,45.76891,35.0733,"D4 29"
"79","IH","C",0.23,"D2",26,1,2,"induced",84.9453,0,0,285.96344,0,0,30.68962,13.16891,0,0,0,28.18068,0,14.31707,8.54697,"D2 26"
"80","IH","CW",0.1,"D4",2,1,1,"induced",122.89047,0,0,593.94885,0,17.28439,46.46416,0,0,0,0,0,0,19.41444,41.67396,"D4 2"
"81","IH","CW",0.25,"D5",5,1,2,"induced",47.18037,0,0,992.28894,60.14174,378.7179,0,31.80552,0,13.4956,30.62553,106.64635,18.44673,149.97202,9.929,"D5 5"
"82","IH","C",0.3,"D5",28,9,1,"induced",46.82732,0,0,177.18735,0,22.48878,33.32777,0,0,0,0,0,0,81.43002,102.80748,"D5 28"
"83","IH","CW",0.2,"D4",28,9,1,"induced",0,0,0,0,32.06412,1103.8772,0,0,0,0,26.23447,141.978,0,64.4868,26.77859,"D4 28"
"84","IH","C",0.28,"D1",3,10,1,"induced",112.63695,0,0,495.65314,0,15.05947,62.75551,0,0,0,17.07449,11.7095,0,25.30813,0,"D1 3"
"85","IH","C",0.14,"D4",35,10,2,"induced",197.85596,0,0,1577.27576,57.4822,30.70094,8.01208,11.31947,0,9.57843,25.50745,214.92563,51.10747,101.88332,16.97767,"D4 35"
"86","IH","CW",0.17,"D4",30,10,1,"induced",0,0,51.73941,17.52366,0,258.49966,0,24.22189,0,71.76653,30.55096,51.65844,0,48.15413,80.46079,"D4 30"
"87","KC2","C",0.47,"D3",7,3,1,"induced",30.22823,0,25.58624,124.60755,0,382.3923,35.81193,0,0,11.39535,15.90685,87.50574,0,18.08673,0,"D3 7"
"88","KC2","CW",0.41,"D1",32,3,1,"induced",61.47251,0,72.23001,158.40591,0,378.20834,99.78745,10.12743,0,39.44743,11.28349,61.01111,0,26.86492,5.42003,"D1 32"
