"","Population","treatment","Allyl_7.4","OH.Alkenyl_6","X4MSO_7.1","X3MSO_5.2","X5MSO_10.2","Butenyl_12.1","X3MT_13.6","MSOO_13.8","OH.I3M_15.1","Flavonol_16.1","X4MT._15.5","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Indole_18.8"
"30","LV2","CW",114.214725833333,186.7682,33.6991791666667,81.34578,24.66080125,904.780395,32.020955,66.9211425,22.18856625,23.3799175,27.10755375,134.7350325,15.1876,59.4781991666667,17.4805933333333
"31","MtSH","CW",37.85765,NA,18.39369,NA,NA,470.50062,26.48844,NA,NA,24.37985,8.57885,77.9503,NA,24.86037,36.383885
"32","RB","CW",115.00072,NA,24.41063,37.62507,13.4717,167.944265,24.12691,NA,8.011435,24.1123,NA,104.435375,NA,34.546565,23.153515
"33","SC","CW",686.09160625,61.58524,NA,70.83242,NA,252.019145,57.81290625,NA,35.6231,10.9216975,13.446245,50.51343875,10.10322,31.10260875,12.89900875
"34","SQ1","CW",660.86034,NA,12.23769,32.301905,29.980035,72.9476,35.49696,NA,14.36691,11.72884,NA,134.51218,9.08699,35.82891,20.0400225
"35","SQ2","CW",799.821893571429,47.25351,16.52837,38.7831083333333,39.004698,141.645384166667,20.299422,19.570882,22.45932,22.3944592857143,8.72969125,169.940822142857,17.471415,41.9605028571429,16.4060585714286
"36","TFC","CW",100.793778333333,NA,31.6521566666667,26.730965,NA,336.620041666667,26.0849733333333,17.576735,188.76886,11.8405966666667,24.55206,139.834805,40.204875,68.4386483333333,25.3383633333333
"37","TM2","CW",233.4603475,NA,44.8098625,NA,25.18092,389.755703333333,17.423042,170.93268,34.38101,17.2639542857143,17.85196,104.112848333333,7.79533,38.7090485714286,29.1944191666667
"38","WL1","CW",117.79003,87.17975,NA,24.61815,39.54115,658.9793075,79.61486,7.24676,NA,25.298735,NA,123.364365,9.68628,38.759215,11.286505
"39","WL2","CW",33.23535,164.66798,44.533585,56.78205,43.61164,215.308435,27.56,34.13763,NA,31.6900625,36.033235,125.51842,13.07745,68.76211,27.9836675
"40","WL3","CW",13.48699,224.06863,57.10933,NA,19.209315,733.19849,NA,71.50494,NA,17.578555,35.35194,218.43502,NA,41.341755,41.760985
"41","YO10","CW",18.96481,NA,29.53494,NA,NA,760.782255,28.04794,NA,9.83162,13.15114,28.134585,54.064205,NA,52.80513,43.983435
"42","YOSE8","CW",132.83038,NA,49.23573,44.99855,15.74996,251.82941,NA,56.344605,NA,9.5320225,15.01861,55.736195,16.52942,22.33046,6.8015425
