Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
168,7,169-P2-H9-287.D,NA,P2-H-09,,,,,437.08545,226.67752,,,186.65027,,24.38736,,,265.58768,11.02543,,,57.43494,,
169,7,170-P2-A10-288.D,NA,P2-A-10,,,,,395.45477,214.04457,,85.65273,797.62323,,,10.91576,,459.31073,36.02496,,18.16529,487.45166,,
170,7,171-P2-B10-289.D,NA,P2-B-10,,,,,,,49.78981,,2532.92188,15.9421,,,,191.43877,26.72205,,10.69813,369.51682,,
171,7,172-P2-C10-290.D,NA,P2-C-10,,,,,,,,,138.36496,,,,,,,,,37.10486,,
172,7,173-P2-D10-291.D,NA,P2-D-10,,,,,,,,,46.86537,,,,,,,,,46.24606,,80.07672
173,7,174-P2-E10-292.D,NA,P2-E-10,,,,,,,,,20.05768,,,,,,,,,47.47801,,41.9355
174,7,175-P2-F10-293.D,NA,P2-F-10,,,,,,,,,23.37532,,,,,12.15795,,,,12.08981,,
175,7,176-P2-G10-294.D,NA,P2-G-10,,,,,,,,,,,,,,,,,,14.64907,,
176,7,177-P2-H10-295.D,NA,P2-H-10,,,,,,,,,,,,,,,,,,,,254.61563
177,7,178-P2-A11-296.D,NA,P2-A-11,,,,22.63135,,,155.54866,,37.93154,,762.89813,,,23.77423,,24.95458,,8.76373,,
178,7,179-P2-B11-297.D,NA,P2-B-11,,,,,,,,,40.54317,,,,,,,,,,,20.29093
179,7,180-P2-C11-298.D,NA,P2-C-11,,,,,,,,,17.92889,,,,,,,,,,,106.16634
180,7,181-P2-D11-299.D,NA,P2-D-11,,,,,,,,,17.9245,,,,,,,,,33.34107,,67.94977
181,7,182-P2-E11-300.D,NA,P2-E-11,,,,,,,,,,,,,,,,,,32.21979,,200.98004
182,7,183-P2-F11-301.D,NA,P2-F-11,,,,,,,,,,,,,,,,,,,,
183,7,184-P2-G11-302.D,NA,P2-G-11,,,,,,,,,,,,,,,,,,,,130.56027
184,7,185-P2-H11-303.D,NA,P2-H-11,,,,,,,,,,,,,,,,,,,,197.21091
185,7,186-P2-A12-304.D,NA,P2-A-12,,,,,,,123.35877,,336.65445,,,,,,43.75315,37.64843,10.66074,48.91458,,
186,7,187-P2-B12-305.D,NA,P2-B-12,,,,,,,274.21927,,1527.78674,20.10964,,,22.09294,,164.24763,95.83749,,54.11183,,13.0461
187,7,188-P2-C12-306.D,NA,P2-C-12,,,,,,,287.57993,,1032.7616,,,,16.64429,,67.42611,161.29678,12.49254,52.26669,,24.28315
188,7,189-P2-D12-307.D,NA,P2-D-12,,,,,,,247.79736,,1245.62585,,,,19.08775,,108.1234,110.0893,15.93459,72.80404,,26.24112
189,7,190-P2-E12-308.D,NA,P2-E-12,,,,,,,,,,,,,,,,,,,,99.0288
190,7,191-P2-F12-309.D,NA,P2-F-12,,,,,,,,,,,,,,,,,,21.35639,,119.42696
191,7,192-P2-G12-310.D,NA,P2-G-12,,,,,,,,,,,,,,,,,,,,78.30405
192,7,193-P2-H12-311.D,NA,P2-H-12,,,,,,,,,,,,,,,,,,,,82.18385
