Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
49,6,050-P1-A7-168.D,NA,P1-A-07,,,,,20.41569,,,,19.86885,,,,,119.29505,21.89097,,,181.15178,,
50,6,051-P1-B7-169.D,NA,P1-B-07,,,,,,48.95096,,,637.2298,13.0328,,,,8.83703,27.46612,8.27951,,474.57776,,
51,6,052-P1-C7-170.D,NA,P1-C-07,,,,,,15.6287,425.41238,,4391.53613,40.36334,88.00989,23.66175,,799.59534,65.73337,,47.04504,524.64893,,
52,6,053-P1-D7-171.D,NA,P1-D-07,,,,,518.79559,78.7581,,16.08171,313.50671,,,,,2301.46533,21.16934,,86.93085,514.52148,,
53,6,054-P1-E7-172.D,NA,P1-E-07,,,,,,61.6909,,26.95341,1035.65259,,12.69776,8.94395,,3677.45874,32.73373,,92.61169,417.40231,,
54,6,055-P1-F7-173.D,NA,P1-F-07,,,,,,82.31796,40.25008,,3698.38354,39.90666,,,9.86144,56.21548,32.34386,,,179.57056,,
55,6,056-P1-G7-174.D,NA,P1-G-07,,,,,866.57922,183.62016,,50.73244,953.7229,,,65.96413,,139.27507,22.63012,,10.15647,232.81804,,
56,6,057-P1-H7-175.D,NA,P1-H-07,,,,,78.29056,90.84132,,,278.67337,,20.9465,,,3070.4248,44.81144,,52.92583,700.98706,,
57,6,058-P1-A8-176.D,NA,P1-A-08,,,,69.32536,,,707.55975,,18.89141,,2523.25562,,,45.47443,42.60841,73.26522,,233.89053,,
58,6,059-P1-B8-177.D,NA,P1-B-08,,,,,,42.9305,15.80426,,1066.47253,,18.34599,75.05219,,1480.20776,48.78464,,25.682,314.13071,,
59,6,060-P1-C8-178.D,NA,P1-C-08,,,,53.59938,,,204.40425,,,,1007.3114,,,50.44394,29.8302,30.45055,,422.84677,,
60,6,061-P1-D8-179.D,NA,P1-D-08,,,,,,83.70555,,,620.14838,,,78.74947,,69.46774,26.71556,,,254.84973,,31.49779
61,6,062-P1-E8-180.D,NA,P1-E-08,,,,,,17.40304,,,236.68184,,,57.26865,,142.09352,23.98911,,,332.3385,,36.14451
62,6,063-P1-F8-181.D,NA,P1-F-08,,,,,,28.54223,,,265.63245,,,,,54.65221,25.77858,,,427.57986,,
63,6,064-P1-G8-182.D,NA,P1-G-08,,,,,,34.44052,37.79249,,2204.1394,15.12451,,,,27.09064,54.29561,,,259.9765,,
64,6,065-P1-H8-183.D,NA,P1-H-08,,,,102.31209,21.2574,,2151.18701,,42.94949,,4699.41602,,19.69958,126.72605,103.83585,142.40877,41.93325,528.42767,,
65,6,066-P1-A9-184.D,NA,P1-A-09,,,,,70.96062,223.23035,,34.55152,1744.50537,14.26528,39.98929,,,1924.52905,85.86379,,26.9487,328.40619,,
66,6,067-P1-B9-185.D,NA,P1-B-09,,,,,184.05342,85.68926,41.47646,24.47196,1763.05701,15.7516,24.99504,,,566.45587,41.88728,,15.45097,149.77687,,
67,6,068-P1-C9-186.D,NA,P1-C-09,,,,,,,,,54.75845,,,,,17.5518,36.15417,,,157.77831,,24.32932
68,6,069-P1-D9-187.D,NA,P1-D-09,,,,,,38.47208,,22.55001,385.66113,,,,,758.71259,25.36682,,8.48332,319.80136,,30.10632
69,6,070-P1-E9-188.D,NA,P1-E-09,,,,,,15.00287,32.06548,,3843.79761,28.2959,122.24812,,,3106.69775,49.76044,,141.34108,437.88156,,
